更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-07-01,学校法人渕野学園,公社・官公庁・学校・研究施設,2,幼保連携型認定こども園 富士見が丘幼稚園の運営を行っています。■幼稚園・保育園の特徴：＜安心・安全な幼稚園を目指します＞子どもは環境（人的・物的）の中で育っていきます。『目に見える環境』は整えやすく理解されやすいものですが、実は子どもたちにとって最も重要なことは『目に見えない環境』の充実です。,大分県大分市富士見が丘東2-8-6,1976,25,,40.0,http://fujimigaoka-youchien.com,,
2024-08-01,社会福祉法人慶美会,公社・官公庁・学校・研究施設,2,"■概要：社会福祉法人として、設立から40年千葉県内で福祉事業を展開しています。当法人の介護サービスのご利用者の数は1日に約1,200人、職員数は1134名を超え、県内でも、大規模な総合福祉サービスを行っている法人です。・特別養護老人ホーム 6ヶ所（市川市、鎌ヶ谷市、市原市、習志野市）・デイサービスセンター 3ヶ所（市川市）・ケアハウス 2ヶ所（市川市、習志野市）・地域包括支援センター 3ヶ所（市川市、習志野市）",千葉県市川市柏井町4-314,1981,964,,46.0,http://care-net.biz/12/keibikai/,,
2024-06-01,学校法人廣池学園,公社・官公庁・学校・研究施設,9,■当学園について： 麗澤各校は、学祖・廣池千九郎（法学博士）の提唱するモラロジー（道徳科学）に基づく知徳一体の教育を基本理念として、昭和10年（1935年）の創立以来、世界の平和と繁栄に貢献できる｢真の国際人」を養成してきました。今後も、学生・生徒の心に仁愛の精神を培い、その上に最新の科学技術、知識を修得させる建学の精神を堅持し、なお一層、教育・研究の充実を図り、国家社会、世界にとって真に有用な人材を養成してまいります。,千葉県柏市光ケ丘2-1-1,1935,394,,,https://www.reitaku.jp/,,
2024-07-01,学校法人Ｃ２Ｃ　Ｇｌｏｂａｌ　Ｅｄｕｃａｔｉｏｎ　Ｊａｐａｎ,公社・官公庁・学校・研究施設,1,■事業内容： 山梨学院大学をはじめ、幼稚園から大学までの全学校種の運営を行っている総合学園です。社会変化の大きい環境下でもグローバルに活躍できる学生を育成するため、様々な業界から経験豊富な方をお招きし、新しい制度や価値観を取り入れたりと、変革を日々進めています。,山梨県甲府市酒折2-4-5,1946,710,,,https://www.c2c.ac.jp/,,
2024-08-01,学校法人戸板学園,その他・各種スクール,無,短期大学・私立中学校・高等学校の運営三田国際学園中学校、三田国際学園高等学校、戸板女子短期大学 2024年6月doda掲載求人より引用,東京都港区芝2-21-17,1913,,"9,475 百万円",,"Failed to retrieve page, status code: 410",,理事長 湯尾 健児
2024-08-01,学校法人瓜生山学園,公社・官公庁・学校・研究施設,無,京都芸術大学をはじめとする教育・研究に関わる諸事業＜設置校＞■京都芸術大学■京都芸術デザイン専門学校■京都文化日本語学校■京都芸術大学附属高等学校■認可保育園 こども芸術大学 2024年6月doda掲載求人より引用,京都府京都市左京区北白川瓜生山町2-116,1948,,"18,285 百万円",,"Failed to retrieve page, status code: 410",,理事長 徳山 豊
2024-06-01,一般社団法人日本油料検定協会,公社・官公庁・学校・研究施設,1,■事業内容：・油脂及び油脂原料等の輸出入の検量、鑑定、検査・油脂原料、輸入食品及び環境の細菌学的・理化学的分析検査,兵庫県神戸市東灘区御影塚町1-2-15,1952,120,5百万円,,https://www.nykk.or.jp/,,
2024-07-01,学校法人東京国際大学,公社・官公庁・学校・研究施設,2,■事業内容：・学校法人東京国際大学・東京国際大学付属日本語学校・予備校の運営,東京都新宿区高田馬場4-23-23,1951,,,,https://www.tiu.ac.jp/,,
2024-08-01,公益財団法人日本英語検定協会,公社・官公庁・学校・研究施設,10,60年以上の実績をもつ試験実施団体です。実用英語技能検定(英検)をはじめとする多様な試験の実施・運営を行っており、小さいお子様からご年配の方まで、学習ステージや目的に合わせた試験を展開することで受験者の生涯学習を支えています。,東京都新宿区横寺町55,1963,159,"1,981百万円",40.0,http://www.eiken.or.jp/,,
2024-07-01,学校法人穴吹学園,公社・官公庁・学校・研究施設,1,■事業内容：専門学校の運営,香川県高松市錦町1-22-23,1985,204,,,http://www.anabuki-college.net/,,
2024-08-01,公益財団法人東京都道路整備保全公社,公社・官公庁・学校・研究施設,無,■道路事業都内の道路ネットワークの早期完成と防災機能の向上に向けた道路整備及び円滑な道路交通の確保に向けた道路管理並びにこれらに関する普及・支援に取り組む■駐車対策事業違法路上駐車の削減及び都市の環境負荷軽減のため、駐車場を通じて展開可能な施策を都内駐車場に普及促進する■自主経営事業都有地を活用した駐車場やイベントコーナーの運営等を通じて、公益目的事業を実施するための原資を確保する 2024年7月doda掲載求人より引用,東京都新宿区西新宿2-7-1小田急第一生命ビル 20Ｆ,1960,,,,"Failed to retrieve page, status code: 410",,代表理事 三浦 隆
2024-07-01,学校法人辻料理学館,公社・官公庁・学校・研究施設,1,学校法人辻料理学館は、辻調グループの中核を担っている「辻調理師専門学校」と「辻調理師専門学校 東京」の二つの専修学校を設置し、運営しています。,大阪府大阪市阿倍野区松崎町3-16-11,1960,340,,40.0,なし,,
2024-06-01,学校法人名古屋自由学院,公社・官公庁・学校・研究施設,1,■事業内容： 大学、幼稚園の運営（名古屋芸術大学大学院／名古屋芸術大学／滝子幼稚園／名古屋芸術大学附属クリエ幼稚園）■事業特徴本学は、芸術学部芸術学科音楽領域・舞台芸術領域・美術領域・デザイン領域および芸術教養領域におきましては、芸術に関する学術技芸の能力修得を目標とした教育を、また教育学部では、保育・教育・福祉の知識・技術の修得を目指した教育を行っております。各学部とも社会人として充分な能力を有する人材の育成に努めています。,愛知県名古屋市昭和区永金町1-1-15,1954,562,,,https://www.nua.ac.jp/about/disclosure/jiyuu-gakuin/,,
2024-08-01,学校法人都築教育学園,公社・官公庁・学校・研究施設,2,■設置学校・園 一覧： ・第一工科大学（鹿児島キャンパス／東京上野キャンパス）・鹿児島第一中学校／高等学校・鹿児島第一幼稚園・鹿児島第一医療リハビリ専門学校・札幌医療リハビリ専門学校■都築学園グループ建学の精神・理念：＜建学の精神＞個性の伸展による人生練磨＜教育の基本理念＞個性を伸ばし、自信をつけさせ世界へ送り出したい,鹿児島県霧島市国分中央1-10-2,1985,314,,,http://www.tsuzukigakuengroup.com/affiliated_school/institute_3,,
2024-08-01,学校法人相愛学園,公社・官公庁・学校・研究施設,1,「當相敬愛」の精神に基づいた学校の運営・相愛大学（大学院）・相愛高等学校・相愛中学校,大阪府大阪市中央区本町4丁目1-23,1888,600,,,https://www.soai.jp/,,理事長 金児 曉嗣
2024-08-01,学校法人セムイ学園,公社・官公庁・学校・研究施設,求人なし,,愛知県名古屋市中村区名駅南2-7-2,1992,,533 百万円,,"Failed to retrieve page, status code: 410",,理事長 野村 斉史
2024-08-01,学校法人産業能率大学,公社・官公庁・学校・研究施設,6,■概要：『マネジメントの総合教育研究機関』学生教育部門と社会人教育部門およびマネジメントに関する総合的な研究機関としての総合研究所を併せ持つ「学校法人」として、国内のみならず世界的に見ても非常にユニークな存在です。「実学教育」を伝統とする大学の使命を礎に、総合研究所は創立当初から欧米の経営手法を日本の産業界に紹介・普及し、個別企業向けの研修やコンサルテーション等を通して産業界と緊密な関係を築いてきております。■事業領域：通信研修、企業内研修、コンサルテーション、eラーニング、公開セミナー、組織・個人診断、調査・研究活動、大会・イベント,東京都世田谷区等々力6-39-15,1925,532,,50.0,https://www.sanno.ac.jp/,,
2024-07-01,学校法人宝塚大学,公社・官公庁・学校・研究施設,1,■学校法人宝塚大学の運営,【東京新宿キャンパス】東京都新宿区西新宿7丁目11番1号,1987,,,,https://www.takara-univ.ac.jp/,,理事長 玉本 隆一
2024-06-01,株式会社サンアロマ,公社・官公庁・学校・研究施設,1,・食品及び食品添加物の研究開発・乳呈味素材の開発業務及び乳をはじめとする天然物からの抽出素材の開発業務・冷菓、飲料をはじめとする食品に対し香味を付与する素材として、酵素や乳酸菌等を用いた乳呈味素材の開発や、天然物から香り成分を抽出した抽出物の開発・上記業務内容を担う部署の管理職として部下の指導、育成,大阪府吹田市寿町2-1-11,1959,92,5000万円,,http://sun-aroma.com/,,代表取締役社長 杉山 勲
2024-07-01,学校法人後藤学園,公社・官公庁・学校・研究施設,1,■当学園について：学校法人後藤学園、武蔵野栄養専門学校、武蔵野調理師専門学校、専門学校武蔵野ファッションカレッジ、武蔵丘短期大学は、学生自身が自分の個性にあった職業に必要な基本となる「知識・技術」をしっかりと身につけ習得する学校であり、「身体で覚える授業」を提唱しています。,東京都豊島区南池袋3-12-2,1947,190,,,https://www.goto.ac.jp/,,
2024-07-01,株式会社帝京サービス,公社・官公庁・学校・研究施設,4,■事業内容：帝京大学グループと連携しながら、学生、教職員、地域社会のニーズに応え、高品質なサービスを提供することを目指しています。,東京都板橋区稲荷台10-7帝京大学大学棟3号館,1979,46,30百万円,,http://www.teikyo-service.com/,,
2024-06-01,株式会社前橋天川自動車教習所,公社・官公庁・学校・研究施設,1,■事業内容： 自動車教習業務（普通車・普通二輪車）高齢者講習・取得時講習・ペーパードライバー教習業務■ビジョン： 運転の責任を教えます・生命の大切さを教えます・運転の楽しさを教えます・地域の安全に貢献します,群馬県前橋市天川大島町1065-2,1981,,10百万円,,http://www.amagawa.com/,,
2024-06-01,一般財団法人大蔵財務協会,公社・官公庁・学校・研究施設,2,■事業内容：・書籍出版事業・公益事業（財務行政に関する調査研究、財務行政に関する啓蒙普及、その他、財務行政の改良発達への寄与等の目的を達成するために必要な事業）・税務データベース,東京都墨田区東駒形1-14-1財協ビル,1936,70,,44.0,http://www.zaikyo.or.jp/,,
2024-07-01,ユニバース開発株式会社,公社・官公庁・学校・研究施設,3,■事業内容： ・環境事業・ビル事業・フランチャイズ事業・知育事業,東京都文京区本郷2-10-9冨士ビル2F,1970,498,50百万円,,https://www.universe-dev.co.jp/,,
2024-05-01,株式会社日本総合科学,公社・官公庁・学校・研究施設,1,測定分析・食品衛生・環境調査・環境創造研究所の運営,広島県福山市箕島町南丘399番地46,1987,71,5000万円,,https://www.ntsc.co.jp,,代表取締役 近本 陽一
