更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,学校法人横浜石川学園,その他・各種スクール,求人なし,神奈川県横浜市保土ケ谷区鎌谷町26,1985,理事長 石川 元式,284 百万円,,,,,
2024-08-01,学校法人田中学園,その他・各種スクール,求人なし,神奈川県横浜市旭区中白根1-9-19,1985,理事長 宮武 慎一,231 百万円,,,,,
2024-08-01,学校法人横浜加藤学園,その他・各種スクール,求人なし,神奈川県横浜市瀬谷区三ツ境104-3,1985,理事長 加藤 健一,136 百万円,,,,,
2024-08-01,学校法人泉学園,その他・各種スクール,求人なし,神奈川県横浜市鶴見区矢向5-3-25,1980,理事長 石渡 秀夫,912 百万円,,,,,
2024-08-01,学校法人神奈川県住宅福祉学園,その他・各種スクール,求人なし,神奈川県横浜市磯子区汐見台1-6,1979,,,,,,,
2024-08-01,学校法人都ケ丘学園,その他・各種スクール,求人なし,神奈川県横浜市旭区上川井町1212-6,1982,理事長 阿部 力,740 百万円,,,,,
2024-08-01,学校法人横浜アイリス学園,その他・各種スクール,求人なし,神奈川県横浜市神奈川区白幡上町17-26,1998,理事長 木元 茂,971 百万円,,,,,
2024-08-01,学校法人内藤学園,その他・各種スクール,求人なし,神奈川県横浜市泉区上飯田町2106,1973,理事長 内藤 啓充,146 百万円,,,,,
2024-08-01,学校法人西武学園,学習塾・予備校・専門学校,求人なし,埼玉県所沢市くすのき台1-11-1西武鉄道ビル,1973,理事長 太田 秀和,"1,543 百万円",,,,,
2024-08-01,学校法人御国幼稚園,その他・各種スクール,求人なし,神奈川県三浦郡葉山町木古庭1768,1987,理事長 淺野 剛,218 百万円,,,,,
2024-08-01,学校法人湘南ふれあい学園,その他・各種スクール,求人なし,神奈川県横浜市戸塚区上品濃16-48,1994,理事長 大屋敷 芙志枝,"7,443 百万円",,,,,
2024-08-01,学校法人本願寺松本学園,その他・各種スクール,求人なし,長野県松本市蟻ケ崎4-4-10,1983,理事長 野川大卓,,,,,,
2024-08-01,学校法人光徳学園,その他・各種スクール,求人なし,長野県佐久市甲1181-8,1996,理事長 関川 政宏,53 百万円,,,,,
2024-08-01,学校法人余合学園,その他・各種スクール,求人なし,愛知県北名古屋市井瀬木1086,1969,理事長 余合 等,"1,021 百万円",,,,,
2024-08-01,学校法人わかば学園,その他・各種スクール,求人なし,愛知県名古屋市千種区池上町2-38,1956,理事長 大島 文子,582 百万円,,,,,
2024-08-01,学校法人建中学園,その他・各種スクール,求人なし,愛知県名古屋市東区筒井1-7-52,1985,理事長 村上 真瑞,300 百万円,,,,,
2024-08-01,学校法人名古屋近藤学園,その他・各種スクール,求人なし,愛知県名古屋市中村区日比津町4-7-27,1985,理事長 近藤 義光,106 百万円,,,,,
2024-08-01,学校法人妙覚寺学園,その他・各種スクール,求人なし,愛知県名古屋市熱田区白鳥2-12-15,1985,理事長 五十嵐 幸彦,106 百万円,,,,,
2024-08-01,学校法人聖霊会,その他・各種スクール,求人なし,愛知県豊田市聖心町4-10-6,1985,理事長 兒玉 昌子,662 百万円,,,,,
2024-08-01,学校法人福寿学園,その他・各種スクール,求人なし,愛知県あま市七宝町安松8-92,1985,理事長 竹腰 憲成,877 百万円,,,,,
2024-08-01,学校法人大昌学園,その他・各種スクール,求人なし,愛知県名古屋市千種区内山2-18-12,1977,理事長 松塚広明,,,,,,
2024-08-01,学校法人湊学園,その他・各種スクール,求人なし,愛知県名古屋市港区福屋2-70,1977,,392 百万円,,,,,
2024-08-01,学校法人ひかり学園,その他・各種スクール,求人なし,愛知県春日井市高森台7-4-1,1977,,,,,,,
2024-08-01,学校法人近藤学園,その他・各種スクール,求人なし,愛知県名古屋市港区宝神5-3302,1978,理事長 近藤 康人,237 百万円,,,,,
2024-08-01,学校法人名進研学園,その他・各種スクール,求人なし,愛知県名古屋市守山区緑ヶ丘853-1,1980,理事長 下島 一峰,"2,917 百万円",,,,,
2024-08-01,学校法人高岸学園,その他・各種スクール,求人なし,愛知県名古屋市中川区大当郎2-1604,1980,理事長 髙岸 元康,582 百万円,,,,,
2024-08-01,学校法人木村学園,その他・各種スクール,求人なし,愛知県名古屋市中村区中村町7-19,1980,理事長 木村 康晴,614 百万円,,,,,
2024-08-01,学校法人吉田学園,その他・各種スクール,求人なし,愛知県長久手市蟹原1601,1981,理事長 吉田 治子,"1,965 百万円",,,,,
2024-08-01,学校法人田土学園,その他・各種スクール,求人なし,大阪府大阪市旭区赤川4-22-31,1977,理事長 田土 和子,369 百万円,,,,,
2024-08-01,学校法人桜台学園,その他・各種スクール,求人なし,愛知県名古屋市中川区供米田2-1509,1989,理事長 和仁 隆幸,208 百万円,,,,,
2024-08-01,学校法人聖フランシスコ学園,その他・各種スクール,求人なし,愛知県名古屋市熱田区伝馬2-28-14,1997,理事長 村上 芳隆,236 百万円,,,,,
2024-08-01,学校法人大西学園,その他・各種スクール,求人なし,愛知県名古屋市港区稲永1-9-18,1998,理事長 林 大裕,385 百万円,,,,,
2024-08-01,学校法人あかね学園,その他・各種スクール,求人なし,京都府長岡京市今里4-17-19,1967,理事長 稲葉 嘉久,,,,,,
2024-08-01,学校法人日本教育学園,その他・各種スクール,求人なし,京都府京都市伏見区小栗栖中山田町35-1,1973,理事長 坂口 真一,,,,,,
2024-08-01,学校法人くるみ学園,その他・各種スクール,求人なし,京都府京都市南区吉祥院車道町28-2,1977,理事長 浅井 健史,,,,,,
2024-08-01,学校法人上田学園,その他・各種スクール,求人なし,大阪府堺市西区草部1601,1970,理事長 上田 貢三,914 百万円,,,,,
2024-08-01,学校法人大阪東学園,その他・各種スクール,求人なし,大阪府門真市三ツ島3-12-28,1967,理事長 足立 喜美夫,"1,168 百万円",,,,,
2024-08-01,学校法人久宝文化学院,その他・各種スクール,求人なし,大阪府八尾市末広町2-8-23,1954,理事長 田中 昌之,"5,018 百万円",,,,,
2024-08-01,学校法人邨橋学園,その他・各種スクール,求人なし,大阪府門真市柳田町6-2,1968,理事長 邨橋 雅廣,534 百万円,,,,,
2024-08-01,学校法人茨木学園,その他・各種スクール,求人なし,大阪府茨木市水尾3-1-41,1972,理事長 中 好枝,"1,025 百万円",,,,,
