更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社ＦＩＴＳ　ＡＬＬ,その他・各種スクール,求人なし,愛知県碧南市西山町4-30,2014,代表取締役 小笠原 巧,3 百万円,,,,
2024-08-01,株式会社ディー・エフ・シー,学習塾・予備校・専門学校,求人なし,茨城県つくば市梅園2-1-15スプリングテックつくばビル 401,2014,代表取締役 田﨑 宏幸,3 百万円,,,,
2024-08-01,株式会社ＭＩＲＡＩＡＳ,学習塾・予備校・専門学校,求人なし,大阪府堺市中区大野芝町188-12,2014,代表取締役 西 謙一,5 百万円,,,,
2024-08-01,社会福祉法人健翠会,その他・各種スクール,求人なし,東京都葛飾区南水元4-18-11,2012,理事長 茂澤 健一,465 百万円,,,,
2024-08-01,ＳＯＥＬＵ株式会社,その他・各種スクール,求人なし,東京都港区六本木7-15-7新六本木ビル701,2014,代表取締役 白土 聡志,100 百万円,,,,
2024-08-01,株式会社ベストリンクス,学習塾・予備校・専門学校,求人なし,東京都中野区上鷺宮4-15-6富士見台ビル3Ｆ,2014,代表取締役 竹内 正徳,3 百万円,,,,
2024-08-01,インタラング・サービス株式会社,その他・各種スクール,求人なし,東京都港区赤坂8-4-3,2012,代表取締役 日置 茉莉花,5 百万円,,,,
2024-08-01,株式会社エフェクトプラン,その他・各種スクール,求人なし,埼玉県さいたま市北区宮原町2-38-12ネクスト第1ビル 1Ｆ,2006,代表取締役 太田 雄士,10 百万円,,,,
2024-08-01,エコーズブリングアップフィールド株式会社,学習塾・予備校・専門学校,求人なし,京都府京都市南区吉祥院九条町59-1,2009,代表取締役 園田 誠大,,,,,
2024-08-01,有限会社ハートリンク,その他・各種スクール,求人なし,福岡県福岡市中央区地行2-12-34408,2004,代表取締役 川上 政行,4 百万円,,,,
2024-08-01,株式会社フォークス,学習塾・予備校・専門学校,無,愛知県名古屋市天白区植田3-810ステーションビルＡＳＡＴＯＫＵ 2Ｆ,2007,代表取締役 石橋 晃,10 百万円,,,,■学習塾等の運営・個別指導塾「エストスーパースクール」・放課後児童クラブ「キッズデイズ」・フリースクール「ハーベスト」・松陰高等学校 日進校■グランピング施設の運営・森の空 2023年10月doda掲載求人より引用
2024-08-01,株式会社マリンフェローズ,その他・各種スクール,求人なし,福岡県福岡市早良区南庄3-3-1,1985,代表取締役 阿部 健司,10 百万円,,,,
2024-08-01,株式会社キョーリク,学習塾・予備校・専門学校,求人なし,埼玉県熊谷市桜木町2-82セレッソ 1Ｆ,1992,代表取締役 原田 勲,10 百万円,,,,
2024-08-01,株式会社まなびおキッズ,その他・各種スクール,求人なし,大阪府大阪市北区東天満1-10-20,2014,代表取締役 山口 勝美,3 百万円,,,,
2024-08-01,有限会社和歌山キンダースクール,その他・各種スクール,求人なし,和歌山県和歌山市築港3-18,1987,代表取締役 藤田 ヒサヱ,5 百万円,,,,
2024-08-01,株式会社ワタナベアカデミー,教育業界,求人なし,東京都大田区北千束2-32-10,1987,代表取締役 渡邊 節子,15 百万円,,,,
2024-08-01,株式会社アインツ,その他・各種スクール,求人なし,宮城県仙台市若林区河原町1-3-49,1999,代表取締役 田代 伸夫,35 百万円,,,,
2024-08-01,株式会社メーティス・リル,その他・各種スクール,求人なし,神奈川県川崎市高津区梶ケ谷4-1-1クロスポイント梶ヶ谷 102,2014,代表取締役 垣本 輪,1 百万円,,,,
2024-08-01,株式会社Ｆ・Ｉ・Ｇ,その他・各種スクール,求人なし,埼玉県日高市大字猿田68-2,2014,代表取締役 ジェームス 紗織,1 百万円,,,,
2024-08-01,株式会社エスシャイン,学習塾・予備校・専門学校,求人なし,徳島県板野郡藍住町勝瑞字成長203-13,2014,代表取締役 森誉範,2 百万円,,,,
2024-08-01,特定非営利活動法人もあなキッズ自然楽校,その他・各種スクール,求人なし,神奈川県横浜市都筑区中川中央1-39-11ライフ＆シニア 1Ｆ,2014,代表理事 関山 隆一,,,,,
2024-08-01,スクールプラス株式会社,その他・各種スクール,求人なし,高知県高知市はりまや町1-4-8ＴＮはりまやビル,2014,代表取締役 竹本 直樹,,,,,
2024-08-01,学校法人理知の杜,学習塾・予備校・専門学校,無,長野県松本市村井町南3-6-25,1955,理事長 麦島 善光,357 百万円,,,,
2024-08-01,株式会社Ｔ８,その他・各種スクール,求人なし,東京都渋谷区渋谷1-19-2ｎａｌｕビル 4Ｆ,2014,代表取締役 戸田 成郎,10 百万円,,,,
2024-08-01,株式会社ケー・エム・シー,その他・各種スクール,求人なし,徳島県徳島市幟町3-30,2014,代表取締役 野木井 晃久,3 百万円,,,,
2024-08-01,株式会社ＡＥＧ,その他・各種スクール,無,大阪府大阪市福島区福島3-3-9,2014,代表取締役 松原 英司,5 百万円,,,,■広告代理業■インターナショナルスクール事業 2024年5月doda掲載求人より引用
2024-08-01,株式会社マインドマークス,学習塾・予備校・専門学校,無,埼玉県さいたま市大宮区桜木町4-248ミヤサカビル 5Ｆ,2014,代表取締役 半田 基,6 百万円,,,,
2024-08-01,株式会社Ｃａｌｍ,その他・各種スクール,求人なし,愛知県名古屋市名東区西山本通3-22メイツ西山本通 306,2014,代表取締役 片浦 啓子,,,,,
2024-08-01,株式会社叶夢楼,教育業界,求人なし,北海道札幌市北区新琴似五条2-1-8,2014,代表取締役 高橋 朋子,8 百万円,,,,
2024-08-01,株式会社アイルビーワム,学習塾・予備校・専門学校,求人なし,東京都台東区浅草橋4-10-7ＤＫＫＢＬＤ． 8Ｆ,2014,代表取締役 田中 淳吾,10 百万円,,,,
2024-08-01,株式会社エデュリー,その他・各種スクール,無,東京都港区西新橋3-4-2ＳＳビル 6Ｆ,2014,代表取締役 菊地 翔豊,10 百万円,,,,
2024-08-01,株式会社オー・イー・エス,その他・各種スクール,求人なし,沖縄県那覇市安里2-9-11ハマ・ブリーゼ那覇第1,1993,代表取締役 竹森 勝俊,10 百万円,,,,
2024-08-01,キートス・アイ・アール株式会社,その他・各種スクール,求人なし,埼玉県富士見市西みずほ台1-22-20,2013,,7 百万円,,,,
2024-08-01,株式会社リアル,その他・各種スクール,求人なし,埼玉県川越市大字的場946-3,2010,代表取締役 工藤 陽介,10 百万円,,,,
2024-08-01,株式会社今西数英教室,学習塾・予備校・専門学校,求人なし,福井県福井市日之出5-8-19,1991,代表取締役 今西 淳二,3 百万円,,,,
2024-08-01,株式会社上尾スイミングスクール,その他・各種スクール,無,埼玉県上尾市春日1-4-16,1975,代表取締役 山田 惠一,100 百万円,,,,
2024-08-01,株式会社Ｆａｒｍ　ａｎｄ　Ｄｉｎｉｎｇ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,その他・各種スクール,求人なし,東京都港区新橋2-16-1ニュー新橋ビル 9Ｆ,2014,代表取締役 中村 覚,,,,,
2024-08-01,有限会社葛城自動車学校,その他・各種スクール,求人なし,奈良県香芝市瓦口2226,2001,取締役 池原 伸幸,3 百万円,,,,
2024-08-01,フューチャーインスティテュート株式会社,その他・各種スクール,求人なし,東京都港区六本木7-18-18住友不動産六本木通ビル,1999,代表取締役 為田 裕行,134 百万円,,,,
2024-08-01,株式会社アカデミック・ロード,その他・各種スクール,求人なし,栃木県宇都宮市伝馬町1-6若山ビル,2014,代表取締役 藤咲 綾子,,,,,
2024-08-01,一般社団法人テトラｃｏｃｏ,その他・各種スクール,求人なし,大阪府大阪市北区天神橋5-7-12キングスコート 4Ｆ,2013,代表理事 藤井 良美,,,,,
2024-08-01,Ａｇｏａｌ　Ａｓｓｏｃｉａｔｅｓ株式会社,その他・各種スクール,求人なし,東京都豊島区西池袋3-31-5パークハイムウエスト 801,2009,代表取締役 梅田 瑞樹,13 百万円,,,,
