更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-06-01,株式会社リーチングラボ,機能性化学（有機・高分子）メーカー,1,■事業内容：同社は射出成形を主体としており、取り扱い樹脂はゲル状エラストマーからスーパーエンプラと幅広く、外観と寸度精度を両立した精密射出成形を得意としています。特にエラストマー樹脂の成形では高い評価を得ています。極小ロット多品種の対応も可能で、細かな動きに即時対応できる体勢を整えています。また、製品デザイン・設計段階からの相談、金型製作、成形、各種二次加工、組み立て等、一貫して管理・対応することができるので、総合的な費用削減に貢献できます。,埼玉県さいたま市岩槻区釣上新田1030-1,8,30百万円,1997,,http://www.le-lab.co.jp/pc/,,
2024-06-01,株式会社イーカムグループ,繊維メーカー,1,世界を代表するブランドと約80社程、直接ライセンス契約し、アパレル・服飾雑貨の企画から製造・卸までワンストップで提供しているメーカーです。すべて自社で行なっているため、高品質な商品を素早くお客様の元へお届けすることを可能にしています。イーカムグループは、創業以来ファッションを通じた幸せづくりをミッションとしてきました。思いもしない価格で私たちの商品を手に入れられるよろこび。お気に入りのファッションとして、毎日身に付けられるよろこび。私たちのファッションが生み出すよろこびは、これからも無限に広がります。私たちの生み出すサービスが、お客様の生活を豊かにする誇りと幸福感を胸に。,福岡県福岡市博多区東比恵3-6-3,,10百万円,2007,,http://ecome.co.jp/index.html,,
2024-05-01,株式会社ヤマナカ家具工業,家具・インテリア・生活雑貨メーカー,1,■会社概要・1981年設立、栃木県小山市に本社を構えております。店舗家具製造や椅子の張替え、取付作業を一貫して請け負う企業です。約30年間、椅子のプロフェッショナルとして、お客様からご好評いただいております。■事業内容・業務用椅子製造、販売、配送、取付,栃木県小山市大字乙女1346,15,10百万円,1981,,なし,,
2024-06-01,株式会社グルマンディーズ,家具・インテリア・生活雑貨メーカー,1,■雑貨商品の企画、販売■キャラクターカフェの運営＜取扱商品＞スマートフォン関連商品、携帯音楽プレーヤー関連商品、雑貨・日用品、食物販など,本社／大阪府大阪市中央区西心斎橋2-1-3 御堂筋ダイヤモンドビル6F東京営業所／東京都豊島区西池袋1-22-8 池袋千歳ビル6F,48,"1,000万円",1976,,http://www.gourmandise.co.jp,代表取締役社長 久保田 秀一,
2024-08-01,株式会社レイス,化粧品メーカー,4,◆事業内容レイスでは、日本の規格を厳守する徹底した品質管理のもと、国内外のネットワークにより、スムーズな製造管理を実現し、コストパフォーマンスが高く魅力的な商品(化粧品・化粧雑貨）を製造販売します。化粧品・化粧雑貨：企画、デザイン、製造（日本・中国・韓国・台湾）、輸入、自社商品卸売り販売、OEM製造受託◆取扱い商品・キャラクターライセンスコスメ（ハンドクリーム、リップクリーム、リップスティック、リップグロス、アイシャドウ、チークカラー、ネイルカラー、入浴剤等）・キッズコスメ（リップクリーム、リップスティック、リップグロス、アイシャドウ、水溶性ネイルカラー等）,東京都港区麻布永坂町1麻布パークサイドビル203,15,50百万円,2009,38.0,http://race-corp.jp/index.html,,
2024-08-01,アデル株式会社,金属・製綱・鉱業・非鉄金属メーカー,3,■事業内容：アルミなどの非鉄金属鋳造用の金型に塗る塗型剤、その他溶湯と接する部分に塗るコーティング剤の製造・販売を行っています。また、顧客の様々なウォンツやニーズにあった商品をタイムリーに提供できるように研究・開発に力をいれています。,愛知県額田郡幸田町深溝里前1-1,10,9百万円,2010,,https://www.adele-co.jp/index.html,,
2024-08-01,株式会社柳都入船,食品・飲料メーカー（原料含む）,3,■企業概要：・柳都入船としては、設立から間もないですが、70年以上の歴史がある｢つきじ入船｣の伝統を受け継ぎ、最高の原料と伝統的特殊製法により仕上げた｢伊達巻｣・｢錦玉子｣・｢蒲鉾｣などを製造しております。・高級魚を使用し、手作りと特殊製法による｢つきじ入船｣ブランドを守りながら、｢柳都入船｣独自の商品も製造しております。・お客様からも多くの支持を得ており、増産のため、第二工場を建設中です。■事業内容：・魚肉練り製品・高級惣菜の製造・販売■商品：・伊達巻、かまぼこ、錦玉子、厚焼き玉子、栗きんとん他,新潟県新潟市東区下場25-3,39,15百万円,2014,,http://www.r-irifune.com,,
2024-07-01,東京精密鍛造株式会社,金属・製綱・鉱業・非鉄金属メーカー,7,■事業内容：自動車、建設機械等の鍛工品製造,埼玉県草加市谷塚町1518,50,81百万円,1940,,http://www.tokyo-seimitsu-tanzo.co.jp/,,
2024-08-01,株式会社東海精技,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,埼玉県川口市青木1-8-34,,10 百万円,1986,,"Failed to retrieve page, status code: 410",代表取締役 廣瀬 友洋,
2024-05-01,株式会社シーヴァ,化粧品メーカー,1,"■代表メッセージ：通販向け化粧品の企画・販売に携わって20年以上特に株式会社シーヴァを立ち上げてから一貫している想いそれが「新たな美容価値の創造」です。お客様の「キレイになりたい」という気持ちにこれまでにない、より簡単で効果的な商品で応えたい。その一心で、日々努力を重ねてきました。そういった努力を認めていただき商品選定の厳しい大手通販企業や高い品質管理が求められるテレビショッピング、生活協同組合等でさまざまな商品をお取り扱いいただいています。そして2018年度には、企画商品・新規ブランド商品の販売累計は1,100万個を超えるまでになりました。",東京都目黒区上目黒3-1-12アークレスタ中目黒,4,8百万円,2007,,http://xiva.jp/,,
2024-08-01,株式会社クラツクス,文房具・事務・オフィス用品メーカー,1,ステーショナリー、傘、バッグ、アニメ商品、雑貨などの、企画・デザイン・製造・販売■製造品目レター・ステッカー・ペンケース・鉛筆・鉛筆キャップ・消しゴム・シャープペン替芯・ペン・ノート・プロフィールブック・文具小物・化粧雑貨・コスメ・ランチ・タオル・雑貨・ギフト商材・サマー商材・ぬいぐるみ・傘・バック・サイフ・キーホルダー等■関連会社株式会社KJホールディングス株式会社カミオジャパン,■大阪本社大阪府大阪市中央区南久宝寺町2-2-9 船場フジイビル4F（受付：7F）,165,1000万円,1992,,"Failed to retrieve page, status code: 410",代表取締役社長 北田 和樹,
2024-07-01,長谷川繊維株式会社,ファッション・アパレル・アクセサリーメーカー,1,■事業内容 毛糸の生産・販売 ネットショップの運営■会社・仕事の魅力当社が手掛ける様々な毛糸は、国内でもトップクラスのシェア率を誇ります。それは、この伝統的な技術を、今まで守ってきたからこそです。現在は楽天市場などのECモールに、毛糸や手芸キットを展開するなど時代の変化に合わせて新しいことにも積極的にチャレンジしています。成長にゴールはありません。それは、会社も、人も同じ。今回ご入社頂く方には今までの経験を活かしながら、スキルを磨き、当社の成長を牽引するコアメンバーとして活躍していただけることを期待しています。,愛知県江南市鹿子島町生島30,21,18百万円,1967,,なし,,
2024-08-01,株式会社マッシュホールディングス,ファッション・アパレル・アクセサリーメーカー,18,【企業概要】「私たちの発想を形にし、人々に幸せを届ける。」という企業理念、そして、人の24時間を豊かにし、笑顔を届ける「ウェルネスデザイン」の考えに則った企業です。材料を選ぶ時、調達する時、商品をつくる時、提供する時。ものづくりの過程でウェルネスデザインに当てはまらないものがあれば、どんなに利益が出るビジネスだとしても決してやらない。それが、自分たちの誇りであり使命でもある、マッシュのビジネスモデルです。,東京都千代田区麹町5-7-1麹町ダイビル,3704,1百万円,2012,,http://www.mash-holdings.com/,,
2024-07-01,株式会社テラスハートジャパン,ファッション・アパレル・アクセサリーメーカー,3,■医療用ウィッグ・人工乳房の製造販売・メンテナンス■ウィッグ専用美容室「ワンステップ」の経営,大阪府大阪市北区梅田3-3-45,100,1000万円,2008,29.0,https://terasuheartjapan.co.jp/,代表取締役 堀江 貴嘉,
2024-06-01,株式会社オー・ケー・シー,その他メーカー,1,■事業内容：・切削工具の設計製造、再生／再研磨・市販切削工具の改造・特殊切削工具の設計製造・医療用切削工具の設計製造・各種表面処理（TiN・TiCN・TiAlN・CrN・DLC・ダイヤコート、ホモ処理等）■事業の特徴：（1）工具再生・再研…高速加工時代の到来により、エンドミルにもより高い性能が求められています。同社では、これらの特殊エンドミルの再生も行うことが可能です。高精度な刃研再生加工の後に、材質や用途に合わせた各種コーティングを施行します。耐久強度に優れた再生エンドミルを、短納期で提供することができます。,愛知県名古屋市中川区細米町2-72,19,10百万円,1996,35.0,http://www.okc-corporation.jp/,,
2024-06-01,株式会社テクノメディック,ナノテク・バイオメーカー,1,■事業内容：大熊・大塚グループが取り扱う理化学機器等の技術支援を行っています納品後も安心してご使用いただけるよう、納入後の保守点検・管理のサポートを行っています。メーカーより資格認定を取得したスタッフや、各機器の専任者・認定技術員が実施いたしますので、お気軽にご相談ください。【取得資格】／第一種フロン類充充回収業者医療機器修理業許可証,岡山県岡山市南区大福378-1,4,10百万円,1983,37.0,https://www.techno-medic.jp/,,
2024-06-01,ＳＦＡ　Ｊａｐａｎ株式会社,住宅設備・建材メーカー,2,■会社概要：SFA社は1958年に設立され、下水処理用機械の設計からその歴史をスタートさせます。トイレ用粉砕機『サニプロ』を開発し、大掛かりな工事を行うことなくトイレ・浴室・キッチン・洗濯室などの水廻りを家中どこでも設置することが出来るようになりました。,東京都中央区日本橋箱崎町20-3箱崎公園ビル 7F,11,9百万円,2011,38.0,http://www.sfa-japan.jp/,,
2024-06-01,奥泉刷子工業株式会社,化粧品メーカー,1,【ブラシ植毛の製造・販売および一部化粧品類の製造・加工・出荷】■マニキュア用ブラシ・マスカラブラシ・アイライナーブラシなど化粧品用ブラシ■CDクリーナーブラシ・補聴器お手入れブラシ・掃除ブラシなどお手入れ用ブラシ など,埼玉県新座市畑中1-1-10,18,1000万円,1991,,http://www.okuizumi-brush.com/,代表取締役 永森 健次,
2024-08-01,株式会社ピーナッツクラブホールディングス,玩具メーカー,1,■事業内容：人に「楽しみ」を与えるエンターテイメント企業アミューズメント業界、遊園地、玩具問屋、ファンシー雑貨業界向け商品の企画・製造・販売。,大阪府東大阪市御厨南2-1-33,120,95百万円,2014,35.0,http://peanuts-club-hd.co.jp/company/,,
2024-06-01,株式会社日本ドライスキン研究所,化粧品メーカー,1,■化粧品・健康食品の企画・販売主力商品は、振って使用するオールインワン保湿ミルク『シェイクモイストミルク』。特殊浸透水に加え、肌の細胞間脂質に含まれるセラミドと同じ構造の「ヒト型セラミド」5種類と「スクワラン」を高配合しています。※2021年、世界各国から厳選された製品やサービスの優れた機能と品質に対し、その栄誉を称えるHvO世界大賞にて、「シェイクモイストミルク」が受賞,神奈川県横浜市港北区新横浜2-2-8-10階,7,800万円,2014,37.0,https://www.dryskin-lab.co.jp/,所長 山根 加奈代,
2024-07-01,株式会社大和ＬＩＸＩＬ製作所,住宅設備・建材メーカー,1,■概要：住まいと暮らしの総合住生活企業であるＬＩＸＩＬグループとして、株式会社大和ＬＩＸＩＬ製作所は、「住宅用断熱サッシ等」を製造しております。確かな品質に加え、全国のお客さまからのご注文に対応できる生産体制を確立しております。,茨城県桜川市高久2121-6,405,20百万円,1979,43.4,なし,,
2024-08-01,株式会社ジョイアス・フーズ,食品・飲料メーカー（原料含む）,2,■事業内容：日配食品（麺、調理麺、ホットスナックなど）の製造・販売を行っています。,埼玉県児玉郡上里町大字大御堂673-1,1079,50百万円,1971,39.0,http://joyous.co.jp/,,
2024-07-01,株式会社キンレイ,食品・飲料メーカー（原料含む）,6,■概要：今年50周年を迎える老舗安定企業（1974年創業＆2014年月桂冠グループ入り）ながら、2024年3月に亀山新工場が竣工し第2の創業期を迎えています！■沿革：1991年に前身の近畿冷熱株式会社より分社・独立し、｢株式会社キンレイ｣として食品事業と外食事業を展開してきました。2014年4月に食品事業が分社化し、月桂冠グループ入り。盤石な財務基盤のもと、新生「株式会社キンレイ」として、創業からの“本物のおいしさ”に磨きをかけ、順調に事業を拡大しています。,京都府京都市伏見区南浜町247,133,400百万円,2014,41.8,http://www.kinrei.com/,,
2024-08-01,株式会社モーラプロダクト,ファッション・アパレル・アクセサリーメーカー,1,■事業内容： ⇒婦人靴の企画・製造■経営理念当社は、女性向けに経営理念のひとつである「思い、願い、希望を靴つくりに反映させます」を商品開発のコンセプトに婦人靴のデザイン・企画、卸売販売、小売販売を行っております。また、通信販売に特化した、工場の生産体制を確立しジャストインタイムでお客様へ商品をお届けすることを可能としました。,愛知県小牧市中央6-325,2,3百万円,,,http://mola-product.co.jp/company/,,
2024-08-01,株式会社シンエイ,住宅設備・建材メーカー,3,■事業内容：住宅における框をはじめ、床や壁、天井、階段などを製造している会社です。,大阪府富田林市別井1-11-24,20,8百万円,1980,,http://shinei-osaka.jp/,,
2024-08-01,徳島菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,1,■創業160年以上の歴史を持つ「菅公学生服株式会社」のグループ企業です。（従業員数：グループ総数約2700名）■菅公学生服・グループ企業事業概要：スクールウェア、スポーツウェアなど各種衣料の製造販売。 1854(安政元)年創業、2013年に創業160年を迎えた「学生服業界のリーディングカンパニー」です。自社生産比率90％以上、全国60カ所以上の販売ネットワーク、多彩なブランド展開、ISO取得など環境への取り組み、そして上海への工場進出など業界を牽引する存在です。,徳島県徳島市問屋町51,7,10百万円,2014,,http://kanko-gakuseifuku.co.jp/,,
2024-06-01,福島菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,2,■創業160年以上の歴史を持つ「菅公学生服株式会社」のグループ企業です。（従業員数：グループ総数約2700名）■菅公学生服・グループ企業事業概要：スクールウェア、スポーツウェアなど各種衣料の製造販売。 1854(安政元)年創業、2013年に創業160年を迎えた「学生服業界のリーディングカンパニー」です。自社生産比率90％以上、全国60カ所以上の販売ネットワーク、多彩なブランド展開、ISO取得など環境への取り組み、そして上海への工場進出など業界を牽引する存在です。,福島県郡山市桑野5-4-18,9,10百万円,2014,,http://kanko-gakuseifuku.co.jp/,,
2024-08-01,シートシャッター販売株式会社,住宅設備・建材メーカー,1,■事業内容：防虫・防塵を目的としたシートシャッターの販売,京都府京都市伏見区竹田藁屋町31,13,10百万円,2014,32.0,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社ハリオ商事,家具・インテリア・生活雑貨メーカー,1,■事業内容について： ・珈琲事業部： コーヒー器具の開発、販売・ペット事業部：ペット用品の企画、開発、販売・資源事業部： ホワイトサンドの企画、販売・IT事業部：業務効率化システム構築、ウェブマーケティング・OEM事業部：陶器・ガラス・樹脂・金属など素材の特徴をいかした調理器具や珈琲器具のOEMを承っています。,東京都中央区日本橋人形町3-10-1,30,30百万円,2014,,https://www.hariocorp.co.jp/,,
2024-08-01,舛元木工株式会社,家具・インテリア・生活雑貨メーカー,1,■事業内容： ・ベッドフレームのODM生産 ・デザイン提案、企画開発、その他、要望に応じて別注オーダー家具の製造■経営理念：私たちは、技術と想像力を結集して、信頼される品質づくりを追求し、時代と環境に調和した、夢のある企業をめざします。 ■その他：・2018年9月、働き方改革実践企業として認定されております。・地域未来牽引企業に選定されております。,広島県庄原市是松町5020-23,48,,1973,45.0,https://masumoto-mokko.jimdofree.com/,,
2024-08-01,アークランドマルハミート株式会社,食品・飲料メーカー（原料含む）,1,■事業内容：アークランドマルハミート株式会社は、アークランドサービスグループの事業会社として、とんかつ専門店「かつや」及び飲食店・量販店向けに、食肉加工品の製造・販売を行っております。,東京都千代田区神田駿河台4-3新オ茶ノ水ビルディング 14F,,98百万円,2014,,https://www.arclandservice.co.jp/company/overview/,,
2024-07-01,アクト株式会社,その他メーカー,3,■事業内容：・各種フィルム抜き加工・金属箔加工・スリット加工・その他二次印刷等、各種加工,愛知県清須市清洲202,30,10百万円,1988,39.0,http://www.act-upto.jp/,,
2024-06-01,大同化成株式会社,石油化学メーカー,1,■事業内容：同社は1934年に創業し、1965年に設立されました。自動車等の車両用マット類、土木用・防水シート、建材用床材シート、その他合成樹脂シート等の製造業を営んでいます。,千葉県八街市八街に45,130,20百万円,1965,,http://www.daidoukasei.co.jp/,,
2024-08-01,株式会社ＬＩＸＩＬサンウエーブ製作所,住宅設備・建材メーカー,3,■事業内容： ⇒事業概要とその詳細について詳しく記載。また、ビジネスモデルに 関する記載も同項目にて記載。 ■ビジョン： ⇒設立背景や社長の思いは同項目にて記載。 ■特徴（TOPICS）： ⇒マーケット環境、製品・サービスに関する優位性を記載。または、 教育体制や福利厚生など企業マネジメントに関する特徴も記載。 ■組織風土： ⇒風土の説明は、企業を取り巻く競合他社、マーケット要因、社内制度 や対面した社員の方の印象など社風を裏付ける根拠も記載。,埼玉県深谷市幡羅町1-10-1,,,,,なし,,
2024-08-01,株式会社エスコ,住宅設備・建材メーカー,1,■建築資材の製造・輸入・販売,〒116-0013東京都荒川区西日暮里5-6-10 gran+NISHINIPPORI 五階,,,,33.0,https://www.esco-duct.com/,代表取締役 石山 大吾,
2024-07-01,株式会社Ｋ・Ａガーデン,住宅設備・建材メーカー,1,■企業概要：当社は創業以来、注文住宅を手がけるハウスメーカー様や、主にリフォーム工事の多い大手ホームセンター様のご依頼やご紹介にて、エクステリア工事を行ってきました。「すべての現場でご満足いただいてこそ、次の現場がある。」と、思っています。■事業内容：エクステリア・外構・造園・ガーデン設計施工・土木工事,愛知県岡崎市東能見町14,5,2百万円,,,https://ka-garden.jp/,,
2024-07-01,ＣＬＡＮＥ　ＤＥＳＩＧＮ株式会社,ファッション・アパレル・アクセサリーメーカー,1,■婦人服小売各種■企画生産■イベント企画制作■PR企画制作,東京都渋谷区恵比寿南3-3-8,,900万円,2015,31.0,https://clane-design.com/,代表取締役 松本 恵奈,
2024-07-01,株式会社新生クラフト,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： 橋梁部品・建築部材のガス・電気溶接加工建築用の鉄骨素材を中心にものづくりを行っております。製品の一次加工から、工場や物流倉庫、大型ショッピングセンターなど様々な用途の鉄骨を製作しています。■設備半自動溶接機／パナソニック製／YD-500KR2／4台半自動溶接機／パナソニック製／YD-350KR2／1台半自動溶接機／ダイヘン製／600H／2台ガウジング／パナソニック製／YD-800GA1／1台ガウジング／パナソニック製／YD-600GA1／1台,大阪府大東市氷野3-16‐18,22,9百万円,2015,36.0,なし,,
2024-08-01,コスミックＳＹ株式会社,食品・飲料メーカー（原料含む）,8,■事業内容：手作りのようなおいしさを追求したメンチカツやコロッケ、とんかつなどの冷凍食品の製造および販売,群馬県前橋市上泉町65-3,130,10百万円,1985,,https://www.arclandservice.co.jp/cosmicsy/,,
2024-07-01,株式会社ゴールドスプリング,ファッション・アパレル・アクセサリーメーカー,1,"■事業内容：婦人服及び服飾雑貨企画・販売■事業の特徴：・自社ブランド「Luv4ever」（2008年販売開始）を有し、自社にて企画を行い、中国の協力工場での生産を行っています。小ロット及びリピート生産も可能としています。・百貨店での催事販売、婦人服専門店での販売、問屋への販売と、同社商品の流通形態も多岐に渡ります。・商品の価格帯は1,500円～2,000円であり、幅広い層に着てもらえるような価格設定にしています。",大阪府大阪市中央区安土町1-7-20新トヤマビル中央館4F,6,10百万円,2008,,なし,,
2024-08-01,株式会社渋谷西村總本店,食品・飲料メーカー（原料含む）,1,・特選果実・果物加工品の販売・フルーツパーラーの運営・菓子製造販売,渋谷西村フルーツ道玄坂本店／東京都渋谷区宇田川町22-2 1F渋谷西村フルーツ町田店／東京都町田市原町田6-12-20小田急百貨店町田店 B1F,,"1,000万円",1910,,https://snfruits.com/,代表者代表取締役 西村 正治,
2024-07-01,株式会社TRファクトリー,食品・飲料メーカー（原料含む）,3,■企業概要：同社は、牛丼店「すき家」を経営している株式会社ゼンショーホールディングス（東証プライム市場上場）100％出資子会社です。2015年7月に株式会社トロナジャパンの製造部門が分社し、製造部門強化のために新会社として生まれ変わりました。,東京都港区港南2-18-1JR品川イーストビル,50,10百万円,2015,46.0,なし,,
2024-07-01,京都食品株式会社,食品・飲料メーカー（原料含む）,1,■事業内容：惣菜・佃煮・焼魚・煮魚製造販売および、だし巻・漬物の販売,京都府向日市鶏冠井町西金村3-1,38,17百万円,1951,38.0,http://www.kyotoshokuhin.jp/,,
2024-08-01,株式会社Ｋｙｕｌｕｘ,機能性化学（有機・高分子）メーカー,3,■企業概要：九州大学の安達千波矢教授が開発に成功した第3世代（TADF）および第4世代（Hyperfluorescence）の有機EL発光材料の実用化を担う、大学発のスタートアップ企業です。九州大学伊都キャンパスに近い福岡市産学連携交流センターに本社を構え、大学（基礎研究）→福岡県・福岡市と連携した実証センター（実用化支援）→ベンチャー企業（当社）による事業化に取組中です。,福岡県福岡市西区九大新町4-1福岡市産学連携交流センター 2号棟227号室,79,100百万円,2015,43.2,https://www.kyulux.com/,,
2024-08-01,株式会社エストラボ,化粧品メーカー,1,■美容機器の製造・卸・販売 ■化粧品の企画・製造・卸・販売 ■エステティックサロンの経営支援・コンサルティング■OEM製品の開発・製造 ■健康食品・サプリメントの製造・卸 ■海外ブランド化粧品の輸入販売 など,東京都新宿区新宿3-1-13 京王新宿追分ビル9F,80,"1,300万円",2015,,https://est-pro.co.jp/,代表取締役 木原 武士,
2024-08-01,株式会社カミチクホールディングス,食品・飲料メーカー（原料含む）,1,■事業内容： カミチクグループの管理統括本部として、グループの方針の決定や、海外案件、グループ全体の広報・総務・経理・人事の業務を行っています。■ビジョン： 我々がつくり上げてきた６次化事業体を深堀りしないといけません。エサをつくるところ、牛をつくるところ、お肉を処理するところ、直販部門のスーパーマーケットの質を上げ、外食店舗を増やしながらお客様が喜んでたくさん来ていただける仕組みひとつひとつを深めます。まずは日本の国内でそれをやります。そして、将来的にこのビジネスモデルを世界に持ち出します。,鹿児島県鹿児島市谷山中央1-4389,35,10百万円,2015,39.0,http://www.kamichiku.co.jp,,
2024-06-01,エリオポール株式会社,繊維メーカー,1,■事業内容： 八木通商傘下のセレクトショップ、「エリオポール（HELIOPOLE）」フランス、イタリアなどのヨーロッパを中心にセレクトしたインポートアイテムと、それらを合わせてコーディネイトができるオリジナルアイテムを取り揃えたセレクトショップです。,東京都港区芝公園3-1-38芝公園三丁目ビル,,,,,https://www.heliopole.jp/,,
2024-06-01,株式会社ミツウロコビバレッジ,食品・飲料メーカー（原料含む）,3,■事業内容： ミネラルウォーターの製造販売,東京都中央区京橋3-1-1,65,10百万円,2015,41.6,https://www.mitsuuroko-beverage.com/,,
2024-07-01,株式会社ビタブリッドジャパン,化粧品メーカー,3,東証一部上場・国内トップクラスPR会社ベクトルが出資する自社通販（主にダイレクトマーケティングを活かしたリピート通販）です。全社員80名弱の会社ですが、今回100億円超とスピーディーに成長しています。■事業内容：・ライフテクノロジー関連事業（健康、美容ほか）・ダイレクトマーケティングビジネスの事業開発,東京都港区赤坂5-3-1,80,105百万円,2014,33.0,https://vitabrid.co.jp/,,
2024-07-01,株式会社arma bianca,玩具メーカー,10,■1200作品以上を商品化お洒落なキャラクターグッズを流通させたい――代表の坂井をはじめとする創業メンバーは、そんな思いを実現するべく2015年にarma biancaを立ち上げました。以来、キャラクターグッズの企画、製造、販売をトータルに手掛ける専門家集団として、1200本以上のアニメや漫画、ゲームなどを商品化しました。現在、「自社ECサイト」「問屋様・小売店様への卸し」「催事企画運営」という3つの販売チャネルを展開。手掛けた商品も、アパレルやスマートフォンのケースなど多岐にわたっています。中には時計や小物の有名ブランドとのコラボレーションで誕生した独自製品もあります。,東京都中野区弥生町3-35-13335中野新橋ビル3F,190,24百万円,2015,28.0,https://armabianca.com/,,
2024-08-01,BASF戸田バッテリーマテリアルズ合同会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,6,■事業内容：日本におけるNCA（ニッケル系正極材）、LMO（マンガン系正極材）、NCM（三元系正極材）等の正極材料の研究開発、製造、マーケティング、販売を行っています。■製造拠点：山口県山陽小野田市、福岡県北九州市,東京都港区港南2-16-4品川グランドセントラルタワー6F,,,2015,,https://www.basf.com/jp/ja/who-we-are/microsites/basf-toda-battery-materials.html,,
2024-06-01,鴻賀商事株式会社,繊維メーカー,1,■事業内容：国内外に広がるネットワークを通じて、レアメタル、合金鉄、コークス、銑鉄、化学製品、繊維、などの国内取引、及び輸出入貿易を行っています。また、化学製品や繊維の製造販売などの幅広い事業活動を展開しています。,岡山県岡山市北区広瀬町3-3島本ビル302,13,20百万円,,,https://www.kougacorp.co.jp/,,
2024-08-01,群馬菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,1,■創業160年以上の歴史を持つ「菅公学生服株式会社」のグループ企業です。,群馬県高崎市問屋町1-5-9,9,10百万円,2015,,http://kanko-gakuseifuku.co.jp/,,
2024-08-01,宮崎菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,1,■創業160年以上の歴史を持つ「菅公学生服株式会社」のグループ企業です。（従業員数：グループ総数約2700名）■菅公学生服・グループ企業事業概要：スクールウェア、スポーツウェアなど各種衣料の製造販売。 1854(安政元)年創業、2013年に創業160年を迎えた「学生服業界のリーディングカンパニー」です。自社生産比率90％以上、全国60カ所以上の販売ネットワーク、多彩なブランド展開、ISO取得など環境への取り組み、そして上海への工場進出など業界を牽引する存在です。,宮崎県宮崎市青葉町154-2,10,10百万円,2015,,http://kanko-gakuseifuku.co.jp/,,
2024-08-01,熊本菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,1,■事業内容：スクールウェア、スポーツウェアなど各種衣料の製造販売,熊本県熊本市中央区世安1-6-20,13,10百万円,,,https://kanko-gakuseifuku.co.jp/,,
2024-07-01,大分菅公学生服株式会社,ファッション・アパレル・アクセサリーメーカー,1,■創業160年以上の歴史を持つ「菅公学生服株式会社」のグループ企業です。（従業員数：グループ総数約2500名）■菅公学生服・グループ企業事業概要：スクールウェア、スポーツウェアなど各種衣料の製造販売。 1854(安政元)年創業、2008年に創業155年を迎えた「学生服業界のリーディングカンパニー」です。自社生産比率90％以上、全国66カ所の販売ネットワーク、多彩なブランド展開、ISO取得など環境への取り組み、そして上海への工場進出など業界を牽引する存在です。,大分県大分市下郡中央3-3-27,8,10百万円,2015,,http://kanko-gakuseifuku.co.jp/,,
2024-08-01,株式会社ＣＯ２資源化研究所,大学・研究施設,無,CO2、水素を主原料とする人工蛋白資源、バイオ燃料、化学品等の研究・開発・製造・販売 2024年6月doda掲載求人より引用,東京都港区台場2-3-1トレードピアお台場 14Ｆ,,247 百万円,2015,,"Failed to retrieve page, status code: 410",代表取締役 湯川 英明,
2024-08-01,株式会社マッコイ,化粧品メーカー,1,■事業内容：・エステサロン専売のボディケア商品、化粧品、健康食品などの製造・販売・化粧品卸売事業 主力商品「ノンFシリーズ」を中心に企画/開発/販売まで展開・「筋膜リリース」「軟部組織リリース」などサロン施術メニュー向け技術の開発・提供,大阪府大阪市中央区心斎橋筋1-9-17,50,3百万円,2005,30.0,https://www.mccoy-nonf.com/,,
2024-07-01,大成メディカル株式会社,その他メーカー,3,■医療機器類の製造および販売 医療機器類の企画から開発、製造、販売まで一貫生産を行っています。,大阪府茨木市藤の里2丁目11番6号,129,5000万円,2014,,https://www.taisei-g.co.jp/factory/medical.html,代表取締役社長 白石 保行,
2024-06-01,株式会社キャブ・ホールディングス,繊維メーカー,2,本企業概要は情報はグループ全体のものです。当社はキャブ株式会社を含むグループ会社の管理業務を行うホールディングス会社です（2015年10月設立）,愛知県名古屋市中村区名駅2-38-6,111,99百万円,1982,33.5,https://www.cabclothing.com/company/,,
2024-06-01,ＨＩＳＴＯＲＩＣ株式会社,化粧品メーカー,1,■事業内容：・美容商材開発／企画製造／国際貿易・美容商材OEM事業・美容サロン向け商材の卸販売／輸出入・美容ディーラー向け商材の卸販売／輸出入・美容商材Web販売・サロンユニフォームWeb販売,愛知県名古屋市東区代官町40-15L building Daikancho3F,28,10百万円,2009,,https://historic.jp/,,
