更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社東京軽合金製作所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,埼玉県行田市富士見町1-21-1,281,320 百万円,1930,,,代表取締役 小川 幸宏,
2024-08-01,株式会社味兆,食品・飲料メーカー（原料含む）,求人なし,,兵庫県西宮市鳴尾浜1-16-11,280,10 百万円,1977,,,代表取締役 杉本 充史,
2024-08-01,株式会社エム・テイー・フード,食品・飲料メーカー（原料含む）,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◆メディカルフードサービス└病院給食・福祉給食における調理、提供、仕入れ、献立管理業務を中心とした給食業務全般◆コントラクトフードサービス└社員食堂や学校給食などにおける調理、提供、仕入れ、献立管理業務を中心とした給食業務全般◆ショップサービス└病院・オフィス・工場などの売店の運営◆商品開発・販売└フードカート・保存食（マジックライス）などの開発および販売 2023年1月doda掲載求人より引用,東京都港区南青山1-26-1寿光ビル 3Ｆ,279,20 百万円,1981,,,代表取締役 鳥羽瀬 勇人,
2024-08-01,武蔵オイルシール工業株式会社,その他メーカー,求人なし,,東京都港区六本木5-11-29,277,62 百万円,1953,,,代表取締役 武藤 正弘,
2024-08-01,藤木鉄工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,新潟県新潟市中央区東大通1-2-23北陸ビル 5Ｆ,277,98 百万円,1956,,,代表取締役 熊倉 吉一,
2024-08-01,フィスカースジャパン株式会社,家具・インテリア・生活雑貨メーカー,無,,東京都千代田区二番町11-19興和二番町ビル 4Ｆ,276,100 百万円,1967,,,代表取締役社長 ジェフリー ダゲット,
2024-08-01,カメヤマ株式会社,文房具・事務・オフィス用品メーカー,無,,大阪府大阪市北区大淀中2-9-11,276,71 百万円,1946,,,代表取締役 谷川 花子,
2024-08-01,株式会社ベン,住宅設備・建材メーカー,求人なし,,神奈川県横浜市中区住吉町3-30,273,449 百万円,1950,,,代表取締役 鈴木 一実,
2024-08-01,小岩金網株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,東京都台東区西浅草3-20-14ＪＮＴビル,273,100 百万円,1970,,,代表取締役 西村 康志,
2024-08-01,大阪精工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,大阪府東大阪市中石切町5-7-59,270,44 百万円,1960,,,代表取締役 澤田 展明,
