更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,キシダ化学株式会社,試薬メーカー・受託合成・受託分析,7,■事業内容：試薬事業、電池材料事業、創薬支援事業、ライフサイエンス事業,大阪府大阪市中央区本町橋3-1,1941,,296,70百万円,44.0,http://www.kishida.co.jp/,
2024-07-01,富山小林製薬株式会社,文房具・事務・オフィス用品メーカー,2,■事業内容：芳香剤、日用雑貨、衛生雑貨、一般用医薬品、医薬部外品、化粧品、医療機器及び健康補助食品の製造,富山県富山市中大久保100-1,1982,,402,100百万円,43.1,http://www.toyamakobayashi.co.jp/,
2024-06-01,株式会社キャステム,その他メーカー,1,■事業内容：ロストワックス精密鋳造部品・セラミック射出焼結部品・ MIM（金属粉末射出成形）部品・FRP射出成形品の製造、各種販促イベントの企画・立案、自社ブランド商品の企画・製造・販売、 農産物の生産・販売,広島県福山市御幸町大字中津原1808-1,1970,,300,79百万円,38.3,https://www.castem.co.jp/,
2024-08-01,ダイキンファインテック株式会社,機能性化学（有機・高分子）メーカー,7,■会社概要：東邦化成は、1956年（昭和31年）に三フッ化樹脂による金属加工を行うために設立され、その後、フッ素樹脂の成形加工、その加工品を用いた半導体洗浄装置の製造と、業容を拡大して参りました。また私たちは、フッ素化学事業において世界第2位を誇るダイキン工業のグループ会社としてその躍進の一翼を担っております。,奈良県大和郡山市今国府町6-2,1956,,266,66百万円,,https://daikin-finetech.co.jp/,
2024-08-01,パーカーアサヒ株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,,埼玉県深谷市北根15,1956,,259,830 百万円,,"Failed to retrieve page, status code: 410",代表取締役 中村 光伸
2024-07-01,吉澤石灰工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容：・石灰石、ドロマイトの採掘及び販売・生石灰、消石灰、炭酸苦土石灰の製造及び販売・軽焼ドロマイト、水酸化ドロマイトの製造及び販売・コンクリート用、道路用等の各種砕石の製造及び販売・石灰石の採掘、製造に関連するコンサルティング及びエンジニアリング業務,栃木県佐野市宮下町7-10,1939,,263,216百万円,,https://www.yoshizawa.co.jp/,
2024-05-01,Spiber株式会社,その他メーカー,1,■事業内容：山形県鶴岡市発のバイオベンチャー企業で、独自に開発する構造タンパク質素材「Brewed Protein（ブリュード・プロテイン ）」を使用し、従来の石油や動物性由来の資源に頼らない素材を開発、製造しています。,山形県鶴岡市覚岸寺字水上234-1,2007,,284,"69,800百万円",37.0,https://spiber.inc/,
2024-08-01,日本新金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,6,■当社の最大の強みはタングステンの精錬技術並びに無機粉末製造技術です。日本で唯一の一貫したタングステン精錬工程やリサイクル技術を持ち、世界中のお客様から高い評価を得ています。当社のレアメタル製品は日本中のスマートフォンや家電製品、触媒、顔料、切削工具など幅広く使用されており、日本の産業になくてはならない素材であると考えています。,大阪府豊中市千成町1-6-64,1963,,279,500百万円,38.4,"Failed to retrieve page, status code: 410",
2024-08-01,倉敷繊維加工株式会社,繊維メーカー,2,■事業内容： ・不織布・ニット製品・生活用品・補強ネット,大阪府大阪市中央区久太郎町2-4-31クラボウ本社ビル4F,1948,,328,350百万円,40.4,https://www.kurasen.co.jp/,
2024-08-01,株式会社北の達人コーポレーション,化粧品メーカー,40,■企業理念： ・Missionびっくりするほど良い商品で、世界のQOLを1％上げる・Vision日本を代表する次世代のグローバルメーカーになる・Value「おもしろい」をカタチにして「ありがとう」を生み出す達人集団■事業内容：・化粧品、健康食品の自社オリジナルブランド「北の快適工房」をインターネット上で販売・優れた技術を持つ複数のOEM企業と提携して商品を製造。マーケット調査～製品企画・開発～プロモーション～受注業務～カスタマーサポートなど商品製造、物流以外はすべて一気通貫で自社で行っていることが特徴,北海道札幌市中央区北一条西1-6さっぽろ創世スクエア25F,2002,プライム市場,283,273百万円,32.2,https://www.kitanotatsujin.com/,
