更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,旭ゴム化工株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県名古屋市千種区千種1-8-10,1963,代表取締役 林 雅洋,40 百万円,,,,,
2024-08-01,富士シリシア化学株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県春日井市高蔵寺町2-1846,1965,代表取締役 石坂 勝實,100 百万円,,,,,
2024-08-01,森藤技研工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,愛知県名古屋市守山区瀬古3-128,2008,代表取締役 森 藤左エ門,98 百万円,,,,,
2024-08-01,名糖アダムス株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県清須市一場345-5,1961,代表取締役 榎本 光一,180 百万円,,,,,
2024-08-01,東海特殊鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,愛知県東海市東海町5-3新日本製鐵（株）名古屋製鐵所,1966,代表取締役 隨念 学,450 百万円,,,,,
2024-08-01,高橋硝子株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県名古屋市中区千代田1-6-3,1961,代表取締役 藤田 公一,36 百万円,,,,,
2024-08-01,株式会社水勘製簾所,その他メーカー,無,愛知県名古屋市守山区小幡太田13-8,1962,代表取締役 水野 和彦,10 百万円,,,,,
2024-08-01,三協熱研株式会社,その他メーカー,求人なし,愛知県名古屋市北区丸新町453,1973,代表取締役 山田 芳郎,20 百万円,,,,,
2024-08-01,株式会社榊原製陶所,その他メーカー,無,愛知県西尾市寺津町大明神17,1970,代表取締役 馬場 正士,10 百万円,,,,,
2024-08-01,名城食品株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県知多郡阿久比町大字卯坂字梅ケ丘148,1973,代表取締役 藤原 正敏,73 百万円,,,,,
2024-08-01,株式会社池田事務器,その他メーカー,求人なし,愛知県豊田市御幸本町1-193,1974,代表取締役 池田 靖典,30 百万円,,,,,
2024-08-01,株式会社関山,金属・製綱・鉱業・非鉄金属メーカー,求人なし,愛知県知多市新刀池2-27,1976,代表取締役 関山 慎一,22 百万円,,,,,
2024-08-01,株式会社東京めいらく,食品・飲料メーカー（原料含む）,求人なし,愛知県名古屋市天白区中砂町310,1975,代表取締役 日比 治雄,10 百万円,,,,,
2024-08-01,日本ポリマー株式会社,石油化学メーカー,求人なし,愛知県春日井市細木町2-69,1969,代表取締役 竹田 一哉,20 百万円,,,,,
2024-08-01,株式会社愛知商会,石油化学メーカー,求人なし,愛知県知多郡東浦町大字森岡字上源吾36-14,1976,代表取締役 清水 康博,30 百万円,,,,,
2024-08-01,株式会社東知,石油化学メーカー,求人なし,岐阜県各務原市那加山崎町87-8,1972,代表取締役 田邉 英彦,30 百万円,,,,,
2024-08-01,アムト株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岐阜県本巣市見延1430-8,1987,代表取締役 古池 辰也,10 百万円,,,,,
2024-08-01,株式会社ヒマラヤ,ファッション・アパレル・アクセサリーメーカー,無,岐阜県岐阜市江添1-1-1,1976,代表取締役社長 兼 ＣＥＯ 小田 学,"2,544 百万円",,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 【総合スポーツ用品専門店チェーン 】野球、サッカー、テニス、バスケットボール、バレーボール、ゴルフ、アウトドア用品、ウインタースポーツ用品、マリン用品、健康関連用品などの販売専門店チェーンおよびオンラインショップの運営＜店舗＞全国96店舗（2022年8月時点）＜物流＞3拠点（2022年8月時点）＜社員数＞734名（2022年8月時点） 2023年4月doda掲載求人より引用,スタンダード
2024-08-01,アバンステクノ株式会社,石油化学メーカー,求人なし,岐阜県瑞穂市宝江477,1971,代表取締役 松久 武史,16 百万円,,,,,
2024-08-01,トーギ株式会社,住宅設備・建材メーカー,求人なし,岐阜県羽島郡笠松町北及1917,1969,代表取締役 纐纈 勇,20 百万円,,,,,
2024-08-01,キンググロリー株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,岐阜県岐阜市茜部寺屋敷2-10,1957,代表取締役 松久 成享,75 百万円,,,,,
2024-08-01,株式会社秋田屋本店,食品・飲料メーカー（原料含む）,無,岐阜県岐阜市加納富士町1-1秋田屋ビル 1Ｆ,1961,代表取締役 中村 浩康,50 百万円,,,,,
2024-08-01,富士加工株式会社,製紙・パルプメーカー,無,岐阜県瑞穂市重里421,1949,代表取締役 中川 敦,100 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■特殊塗工紙および模造紙の製造販売 2022年11月doda掲載求人より引用,
2024-08-01,中日本ダイカスト工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岐阜県各務原市那加山崎町87-1,1959,代表取締役 五島 正,10 百万円,,,,,
2024-08-01,瓶由株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,無,岐阜県岐阜市安良田町2-3-1,1946,代表取締役 廣瀨 功,10 百万円,,,,■セメント卸販売■生コンクリート販売■住宅設備機器卸販売■UB・SK・流し台の材料販売と施工■ALC・押出成型セメント板・他の外壁材の販売と施工■フィットネスクラブの運営＜許可＞建設業許可：岐阜県知事（般-３）第11182号産業廃棄物収集運搬業許可：02101193210 2024年2月doda掲載求人より引用,
2024-08-01,三星刃物株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岐阜県関市下有知5178,1947,代表取締役 渡辺 隆久,10 百万円,,,,,
2024-08-01,株式会社ＫＶＫ,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岐阜県加茂郡富加町高畑字稲荷641,1949,代表取締役社長 末松 正幸,"2,854 百万円",,,,,スタンダード
2024-08-01,内堀醸造株式会社,食品・飲料メーカー（原料含む）,求人なし,岐阜県加茂郡八百津町伊岐津志437-1,2013,代表取締役 内堀 泰作,49 百万円,,,,,
2024-08-01,岐阜・大成化工株式会社,石油化学メーカー,求人なし,岐阜県可児市姫ケ丘2-14,1984,代表取締役 白石 保行,45 百万円,,,,,
2024-08-01,アジア原紙株式会社,製紙・パルプメーカー,求人なし,岐阜県岐阜市野一色2-7-18,1942,代表取締役 赤石沢 清人,60 百万円,,,,,
2024-08-01,ちきり清水商店株式会社,食品・飲料メーカー（原料含む）,求人なし,静岡県焼津市大住399-1,1951,代表取締役 清水 裕之,10 百万円,,,,,
2024-08-01,日本ケイカル株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,静岡県浜松市浜名区細江町中川2020,1979,代表取締役 星野 勤,300 百万円,,,,,
