更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,株式会社インパクト,家具・インテリア・生活雑貨メーカー,求人なし,北海道札幌市東区北三十四条東17-1-26新道東ビル 2Ｆ,1996,代表取締役 髙田 豊彦,12 百万円,,,,,
2024-08-01,株式会社レーザマツシタ,金属・製綱・鉱業・非鉄金属メーカー,無,福岡県福岡市博多区西月隈2-1-12,1985,代表取締役 松下 敏和,10 百万円,,,,,
2024-08-01,株式会社カクイチ製作所,その他メーカー,求人なし,長野県東御市加沢443,1960,代表取締役 大田 智浩,50 百万円,,,,,
2024-08-01,株式会社アヅマ,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,長野県東御市和8655,1971,代表取締役 清水 初太郎,30 百万円,,,,,
2024-08-01,株式会社アヅマセラミテック,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県東御市和8656-1,1986,代表取締役 清水 初太郎,10 百万円,,,,,
2024-08-01,株式会社アトリエ・ド・フロマージュ,食品・飲料メーカー（原料含む）,求人なし,長野県東御市新張504-6,1985,代表取締役 高田 和明,10 百万円,,,,,
2024-08-01,株式会社相和,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県東御市和7801,1976,代表取締役 関 俊樹,10 百万円,,,,,
2024-08-01,ヒカリ素材工業株式会社,その他メーカー,求人なし,長野県東御市加沢1313-1,1985,代表取締役 坂口 晋一,33 百万円,,,,,
2024-08-01,有限会社はら屋,食品・飲料メーカー（原料含む）,求人なし,島根県出雲市荒茅町2808-1,1966,代表取締役 山本 浩矢,10 百万円,,,,,
2024-08-01,横澤化学株式会社,機能性化学（有機・高分子）メーカー,求人なし,長野県上田市材木町2-9-4,1955,代表取締役 春原 健二,20 百万円,,,,,
2024-08-01,有限会社澪工房,家具・インテリア・生活雑貨メーカー,求人なし,北海道札幌市白石区東札幌二条4-8-18,1999,代表取締役 南 勝重,7 百万円,,,,,
2024-08-01,株式会社ウッドテック秋富,家具・インテリア・生活雑貨メーカー,求人なし,長野県上田市芳田1052,1993,代表取締役 太田 幸雄,10 百万円,,,,,
2024-08-01,キシ・エンジニアリング株式会社,その他メーカー,求人なし,島根県出雲市里方町893-5,1985,代表取締役 岸 明広,10 百万円,,,,,
2024-08-01,株式会社ヤマダイフーズ,食品・飲料メーカー（原料含む）,求人なし,群馬県利根郡昭和村大字糸井1057-2,1999,代表取締役 田中 敦,75 百万円,,,,,
2024-08-01,株式会社竹内農産,食品・飲料メーカー（原料含む）,求人なし,長野県小県郡長和町和田1623,1974,代表取締役 竹内 武史,33 百万円,,,,,
2024-08-01,株式会社ウンディッチ・ノーベ,繊維メーカー,求人なし,福岡県福岡市博多区美野島1-9-3,1977,代表取締役 山田 ひろみ,254 百万円,,,,,
2024-08-01,株式会社沓掛冷食,食品・飲料メーカー（原料含む）,求人なし,長野県小県郡青木村大字村松2151,1981,代表取締役 小林 修,10 百万円,,,,,
2024-08-01,永井酒造株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県利根郡川場村大字門前713,1952,代表取締役 永井 則吉,40 百万円,,,,,
2024-08-01,有限会社増澤製作所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県諏訪郡下諏訪町社6753-4,1999,代表取締役 増澤 俊久,3 百万円,,,,,
2024-08-01,大和電機工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県諏訪郡下諏訪町東四王5197,1944,代表取締役社長 原 雅廣,90 百万円,,,,,
2024-08-01,株式会社コレスポンド光栄,その他メーカー,求人なし,福岡県福岡市博多区金の隈2-22-5,1943,代表取締役 安武 優,10 百万円,,,,,
2024-08-01,株式会社どんぐり,食品・飲料メーカー（原料含む）,求人なし,北海道札幌市白石区南郷通8-南1-7,1989,代表取締役 野尻 雅之,10 百万円,,,,,
2024-08-01,グリンリーフ株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県利根郡昭和村大字赤城原844-12,1994,代表取締役 澤浦 彰治,20 百万円,,,,,
2024-08-01,株式会社シンノエパック,金属・製綱・鉱業・非鉄金属メーカー,求人なし,群馬県伊勢崎市赤堀鹿島町769-3,1969,代表取締役 新野 幸子,20 百万円,,,,,
2024-08-01,東栄化学工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,群馬県伊勢崎市香林町2-1284,1960,代表取締役 宇井 孝廣,30 百万円,,,,,
2024-08-01,株式会社益田クッキングフーズ,食品・飲料メーカー（原料含む）,求人なし,島根県益田市安富町1105,1983,代表取締役 内谷 重信,30 百万円,,,,,
2024-08-01,西日本電気鉄工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,佐賀県鳥栖市轟木町1020-1,1962,代表取締役 平岡 幸生,30 百万円,,,,,
2024-08-01,石岡金属板工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,北海道札幌市豊平区月寒西一条10-5-72大協ビル 302,1950,代表取締役 石岡 和子,20 百万円,,,,,
2024-08-01,細川木材株式会社,住宅設備・建材メーカー,求人なし,長野県諏訪郡富士見町富士見10709,1960,代表取締役 細川 貴宣,50 百万円,,,,,
2024-08-01,伸和産業株式会社,製紙・パルプメーカー,求人なし,島根県益田市隅村町623-2,1972,代表取締役 篠原 憲,33 百万円,,,,,
2024-08-01,オリエント産業株式会社,その他メーカー,求人なし,福岡県福岡市中央区舞鶴1-4-19,1950,代表取締役 直江 良憲,50 百万円,,,,,
2024-08-01,株式会社河野銘木店,家具・インテリア・生活雑貨メーカー,求人なし,北海道札幌市豊平区豊平五条6-1-10,1960,代表取締役 瀨口 健一,47 百万円,,,,,
2024-08-01,株式会社平成化成,家具・インテリア・生活雑貨メーカー,求人なし,群馬県伊勢崎市曲沢町762-2,1990,代表取締役 小林 範之,10 百万円,,,,,
2024-08-01,株式会社小六,文房具・事務・オフィス用品メーカー,求人なし,北海道札幌市豊平区豊平二条1-1-12,1954,代表取締役 小六 久枝,10 百万円,,,,,
2024-08-01,株式会社後藤産業,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,福岡県福岡市中央区白金1-17-11後藤産業ビル,1958,代表取締役 後藤 仁克,98 百万円,,,,,
2024-08-01,五共木材株式会社,その他メーカー,求人なし,島根県益田市高津7-8-26,1969,代表取締役 佐々木 克正,15 百万円,,,,,
2024-08-01,三泉化成株式会社,石油化学メーカー,求人なし,福岡県鞍手郡小竹町大字御徳1673-10,1968,代表取締役 髙橋 昇一,80 百万円,,,,,
2024-08-01,株式会社ジー・エス・タカハシ,家具・インテリア・生活雑貨メーカー,求人なし,福岡県福岡市中央区天神3-10-10,1957,代表取締役 髙橋 泰造,60 百万円,,,,,
2024-08-01,株式会社仙醸,食品・飲料メーカー（原料含む）,求人なし,長野県伊那市高遠町上山田2432,1929,代表取締役 黒河内 貴,10 百万円,,,,,
2024-08-01,大陽製粉株式会社,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市中央区那の津4-2-22,1943,代表取締役 鹿野 晋,100 百万円,,,,,
2024-08-01,株式会社高橋木工所,家具・インテリア・生活雑貨メーカー,求人なし,群馬県伊勢崎市曲沢町775,1967,代表取締役 高橋 裕之,10 百万円,,,,,
2024-08-01,タカハシ株式会社,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市中央区平尾5-5-37,1964,代表取締役 高橋 弘司,10 百万円,,,,,
2024-08-01,株式会社ピーアンドシー上島,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,長野県上伊那郡辰野町大字伊那富4590,1962,代表取締役 橋爪 直哉,10 百万円,,,,,
2024-08-01,株式会社トクスイコーポレーション,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市中央区港2-2-21トクスイコーポレーション本社ビル3Ｆ,1947,代表取締役 徳島 千穎,100 百万円,,,,,
2024-08-01,株式会社ＦＹＣ,肥料メーカー,求人なし,福岡県福岡市中央区港2-1-5ＦＹＣＢ．Ｌ．Ｄ 5Ｆ,1966,代表取締役 秋山 耕造,53 百万円,,,,,
2024-08-01,日伸産業株式会社,その他メーカー,求人なし,福岡県福岡市中央区港3-1-58,1969,代表取締役 植木 貴夫,95 百万円,,,,,
2024-08-01,株式会社ほんま,食品・飲料メーカー（原料含む）,求人なし,北海道札幌市豊平区月寒東二条3-2-1,1952,代表取締役 本間 幹英,36 百万円,,,,,
2024-08-01,積水樹脂プラメタル株式会社,石油化学メーカー,無,長野県上伊那郡辰野町大字小野795-1,1966,代表取締役 髙林 周一郎,489 百万円,,,,,■建築資材の製造・販売■広告看板材料および各種工業材料の金属樹脂積層複合板の製造・販売 ※ISO9001、ISO14001 2023年12月doda掲載求人より引用
2024-08-01,米玉堂食品株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県上伊那郡辰野町大字伊那富2582,1952,代表取締役 杉本 德治,23 百万円,,,,,
2024-08-01,株式会社小野酒造店,食品・飲料メーカー（原料含む）,求人なし,長野県上伊那郡辰野町大字小野992-1,1951,代表取締役 小野 能正,10 百万円,,,,,
2024-08-01,株式会社松崎製作所,その他メーカー,求人なし,島根県大田市鳥井町鳥井1175-63,1973,代表取締役 青山 健,56 百万円,,,,,
2024-08-01,株式会社白崎建具製作所,その他メーカー,無,北海道札幌市手稲区曙二条3-1-27,1966,代表取締役 白崎 司,10 百万円,,,,,
2024-08-01,株式会社モリトモ,繊維メーカー,求人なし,福岡県福岡市中央区天神2-8-41朝日会館 6Ｆ 604,1951,代表取締役 森 健太郎,10 百万円,,,,,
2024-08-01,関東冷熱工業株式会社,石油化学メーカー,求人なし,群馬県伊勢崎市日乃出町579,1980,代表取締役 石川 剛弘,10 百万円,,,,,
2024-08-01,株式会社ツバメガスフロンティア,石油化学メーカー,求人なし,福岡県福岡市中央区渡辺通3-1-10渡辺通ＡＩビル 3Ｆ,1955,代表取締役 寺田 光一郎,50 百万円,,,,,
2024-08-01,株式会社セイコーレジン,石油化学メーカー,求人なし,群馬県伊勢崎市境下武士661,1970,代表取締役 天田 誉哉,72 百万円,,,,,
2024-08-01,九州製氷株式会社,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市中央区港1-7-2,1946,代表取締役 藤林 秀基,20 百万円,,,,,
2024-08-01,九州電気産業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,福岡県福岡市中央区渡辺通2-1-82電気ビル北館 12Ｆ,1959,代表取締役 相良 恒久,94 百万円,,,,,
2024-08-01,株式会社環境リサーチ,試薬メーカー・受託合成・受託分析,求人なし,北海道札幌市豊平区中の島二条9-1-1,1972,代表取締役 森本 英嗣,16 百万円,,,,,
