更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-07-01,有限会社東根給食センター,食品・飲料メーカー（原料含む）,1,■事業内容：・日配給食サービス【全国ＶＣハローランチグループ加盟東根店・寒河江店】 各事業所（幼児から高齢者・農繁期季宅配含む）日配給食弁当製造配送 ・特注仕出し 催事用各種弁当、祝仏祭料理、オードブル等 ・委託食堂 村山総合北庁舎内食堂「快食亭」,山形県東根市柏原2-2-34,1979,,7,5百万円,http://hello-l.jp/,,
2024-08-01,エーシンパック工業株式会社,製紙・パルプメーカー,6,■事業内容： 各種自動包装機械及び包装資材の設計・製造・販売。<詳細>パックシール機、カップシール機、トレーシール機、トップシール機、ブリスターシール機、充填シール機、自動充填機、真空ガス置換シール機、MAPトレーシーラー（ガス置換包装）、ガスフラッシュシール機、省力機械の設計・製作・販売。容器、トレー、カップ、ロールフィルム、ラミネートフィルム、ラベルなどの販売。,東京都千代田区神田和泉町1-6-2神田ビル3F,1984,,45,10百万円,https://www.eshinpack.co.jp/,,
2024-07-01,小玉醸造株式会社,食品・飲料メーカー（原料含む）,2,■事業内容： 清酒、味噌、醤油の発酵食品メーカー伝統の日本文化、地域文化を大切にし、豊かな食生活を作り上げていきます。・清酒太平山製造販売・ヤマキウ秋田味噌醤油製造販売,秋田県潟上市飯田川飯塚字飯塚34-1,1907,45.0,42,90百万円,https://www.kodamajozo.co.jp/,,
2024-07-01,株式会社健康体力研究所,食品・飲料メーカー（原料含む）,2,■事業概要：・スポーツ栄養補助食品（プロテインをはじめとするスポールサプリメント）、栄養補助食品等の製造、販売・健康、体力づくり等に関する調査研究及び教育指導・スポーツウエア、スポーツ用品等の販売・栄養、体力づくり等に関する印刷物の出版・前各号に関する付帯業務,東京都文京区小石川1-28-1,1984,,13,10百万円,http://www.kentai.co.jp/,,
2024-08-01,工製作所株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容：各種精密機械部品加工、治具加工など,福島県南相馬市原町区金沢字堤下237,1981,,43,40百万円,http://www.takumi-corp.co.jp/,,
2024-08-01,日東電線工業株式会社,その他メーカー,2,■事業内容：・洗濯機、冷蔵庫、モーター、センサー、アミューズ関連などの電線加工品を製造販売・電線、ケーブル、FFC、FPC等の配線材販売,茨城県坂東市辺田1403-1,1973,43.0,68,50百万円,http://www.nittodensen.co.jp/,,
2024-08-01,株式会社渡會,食品・飲料メーカー（原料含む）,6,■事業内容： （水産物の漁労・加工・販売）同社は大正10年創業の魚類に特化した食料品製造業を営む会社です。マグロ漁獲高日本一を誇る塩釜港に隣接して本社・工場があり、近海、遠洋漁業で水揚げした鮮魚を自社工場で食品加工し、市場、スーパー等の量販店に商品を販売しています。,宮城県塩釜市新浜町1-7-10,1952,,172,33百万円,http://www.watarai.co.jp/,,
2024-08-01,有限会社富士川産業,金属・製綱・鉱業・非鉄金属メーカー,2,■会社概要・1973年設立し49年、栃木県小山市で土木工事を中心に事業を展開しております。・再生アスファルト合材プランとを北関東に立ち上げ、各種再生アスファルト混合物の生産、建設廃材処理と再生有効利用、道路整備や駐車場整備などで生活環境の向上にも寄与させて戴いております。,栃木県小山市大字出井1970-2,1973,,35,77百万円,http://www.fujikawa-s.com/index.html,,
2024-08-01,協栄産業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,業概要：1985年10月創業後、PETボトルリサイクルに注力。1994年栃木工場竣工に伴い再原料化着手。2001年ジャパンテック株式会社・宇都宮工場の竣工に伴いボトル粉砕、洗浄へ事業範囲拡大。2006年小山工場竣工と共にメカニカルリサイクルプラントを導入し水平リサイクルである「ボトルtoボトル」（使用済みボトルを飲料用ボトルに戻す）の実現に向け着手。2011年5月、日本初のメカニカルリサイクル原料をサントリー社が飲料ボトルとして使用。2018年には世界初のFtoP事業立上げするなど最先端の水平リサイクルを展開。,栃木県小山市城東2-32-17,1985,46.0,170,100百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,和田装備株式会社,住宅設備・建材メーカー,5,■事業内容：当社は地域ナンバーワンの製作金物、免震エキスパンションジョイントカバーのメーカーを目指しております。1971年の創業以来、皆さまから厚いご支援を賜り、今日に至っております。,福島県須賀川市森宿字ヒジリ田55-1,1975,37.8,68,60百万円,http://www.wadasoubi.jp/,,
2024-07-01,株式会社熊田商店,その他メーカー,1,■事業内容： ・事業者や一般家庭から排出される産業廃棄物・一般廃棄物をお客様の排出状況に応じ、安心・安全に収集運搬いたします。・弊社は創業以来廃棄物の回収処理事業を手掛けてきました。近年ではエネルギーロスの少ない循環型社会の実現のために、様々な事業形態から排出される廃棄物をきめ細かく分類・回収し、資源ごみのリサイクルを推進しています。また、多種多様な廃棄物の性状、現状を検証し、最適なリサイクル方法や廃棄方法などもご提案しています。,福島県須賀川市狸森字北向110,1988,,11,,https://kumada-co.com/,,
2024-06-01,鬼怒パッケージ株式会社,その他メーカー,2,■会社概要・1972年設立、美粧段ボールケースおよび一般段ボールケースを中心として包装に関する商品の製造・販売事業を展開しております。・お客様からの包装への多様なニーズに積極的に対応し、お客様に適した商品・サービスの提供を行っております。■事業内容・印刷紙器、美粧段ボールケース、段ボールケース製造販売,栃木県真岡市勝瓜208-2,1972,,48,40百万円,http://kinu-p.co.jp/,,
2024-08-01,気仙沼ほてい株式会社,食品・飲料メーカー（原料含む）,求人なし,,宮城県気仙沼市本浜町1-43-1,1984,,,20 百万円,"Failed to retrieve page, status code: 410",,代表取締役 山本 達也
2024-08-01,ピュアテック株式会社,石油化学メーカー,5,【事業内容】◆各種ガス吸着剤及びエアフィルタの設計・製造・販売◆空気清浄機・空気調和機器の設計・製造、施工並びに販売◆各種化学工業薬品及び関連製品の製造・販売◆環境測定及び各種化学分析など同社は特殊な空間の空気をデザインする会社です。 医薬品や半導体を製造する空間の菌や微細なゴミ、 美術品の劣化を招く空気中の化学物質を除去する製品・設備の、設計から製造、施工、メンテナンスまで一貫して手がけます。北海道から沖縄までの国内全域と海外の多彩な現場で、クリーンな空気を創り出しています。,愛知県名古屋市中区丸の内3-14-32丸の内三丁目ビル6F,1994,40.0,50,20百万円,http://www.puretec.co.jp/,,
2024-06-01,株式会社曽我製麺,食品・飲料メーカー（原料含む）,1,■事業内容：生麺の製造販売■当社について：創業者「曽我忠英」は喜多方市内の製麺所で働い後に独立。創業昭和41年、会社設立昭和63年で58年の業歴を有します。喜多方の人口は4万人余りですが、この町には120軒ほどのラーメン店があり、半数以上の店舗に弊社の麺を納めさせています。また、千葉にも工場を整えECサイトをはじめ個人向け販売も手掛けています。,福島県喜多方市関柴町上高額字宮越517-18,1988,,40,10百万円,https://sogaseimen.co.jp/,,
2024-06-01,星川建設株式会社,住宅設備・建材メーカー,3,■事業内容：・土木事業河川工事・道路改良・砂防ダム・上下水道・橋梁をはじめとした地域の公共インフラストラクチャー事業から、公園整備や除雪などの幅広い土木事業を展開しております。・建設事業金山待ちの中心である「マルコの蔵」をはじめとして、多数の民間・公共事業を手掛けております。・舗装事業東日本大震災を契機に重要性が見直されている「高速交通網」の整備をはじめとした地域のライフラインである道路舗装事業を展開しております。・注文住宅住む人が癒されるような住まいを心がけており、株式会社サイエンスホームと連携して日本の伝統を科学する家を提供いたします。,山形県最上郡金山町大字金山1939,1941,,48,25百万円,http://www.hoshikawaconstruction.com/,,
2024-07-01,株式会社カキヤ,食品・飲料メーカー（原料含む）,6,当社は昭和46年に石巻出身の現会長が創業しました。当初、出身地の牡蠣貝の袋詰めと販売を行っていたことから「カキヤ」と名づけました。以来、妻の地元である白石を拠点とし、「山と海の 自然の恵み」を活かした食品を加工し、 お客様の求めている安全食品を提供してきております。,宮城県白石市福岡八宮字青木下26,1976,42.0,19,41百万円,https://kakiya-k.com/,,
