更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,末廣精工株式会社,金属・製綱・鉱業・非鉄金属メーカー,3,1923年創業の刃物メーカーです。創業当初は大工用の鋸を製造していました。1950年代に入り、鋸の製造技術を生かし、当時まだ珍しかったチェンソーの主要部品であるガイドバー（チェンソーの土台部分）の量産製造を開始しました。1980年代に入り環境・緑化問題を先取りする形で緑化・園芸用刃物の製造を開始しました。また、1990年代からは地震・風水害など災害時の人命救助用のレスキューチェンを開発製造を開始しました。その時々の時代に応じた刃物をこれからも作ってまいります。,兵庫県三木市別所町高木910,1923,42,20百万円,47.0,http://www.suehiroseiko.jp/index.html,,
2024-06-01,東プレ株式会社,住宅設備・建材メーカー,2,■事業内容：住宅関連商品の製造販売／工業用部品／熱硬化性各種繊維入り成形材料／（製造品目）住宅関連商品・工業用部品・強化プラスチック成型材料及び成型品■特徴：当社は日本中で使われるお風呂のフタを中心に、浴室用樹脂ミラー、介護用スロープなどお風呂周りの製品の製造・販売を手掛ける会社です。企画・開発・製造・組み立て・品質管理・出荷までの全工程を日本国内の自社工場・協力工場で生産しています。メイドインジャパンに相応しい品質の製品を製造するのが当社のスタンスです。,東京都台東区台東1-31-10,1960,188,50百万円,41.0,http://www.topre1.co.jp/,,
2024-06-01,富川化学工業株式会社,機能性化学（有機・高分子）メーカー,1,1962年設立のプラスチック製食品容器の専門メーカーです。,愛知県小牧市小木東3-97,1962,80,70百万円,,https://tomikawa-c.co.jp/,,
2024-07-01,株式会社クラウン・パッケージ,その他メーカー,5,業界のパイオニアとして、超薄型段ボールを中心としたあらゆるパッケージを企画・デザイン・製造を行っています。■ 食品容器■ 化粧箱■ 輸送箱と陳列箱が一つになった「バリットボックス」■ SPグッズ（卓上カレンダーやペーパークラフトなど）■ 店頭ディスプレイ用の什器■ 紙袋■FSC認証紙、スマートパピエ（一度役目を果たした素材を再利用した素材）はじめとする環境に配慮した素材開発 など,愛知県小牧市小針3-67,1962,2296,1億円,37.5,http://www.crown-grp.co.jp/,代表取締役社長 佐光 恵藏,
2024-07-01,株式会社大京化学,機能性化学（有機・高分子）メーカー,2,総合プラスチック製品の製造加工および販売,愛知県小牧市小木南一丁目51番地の1,,55,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010658984/-tab__jd/: 'NoneType' object has no attribute 'get',代表取締役 中村 公彦,
2024-06-01,インターコスメ株式会社,化粧品メーカー,1,■事業内容：・頭髪用化粧品ならびに、スキンケア化粧品、医薬部外品の企画・頭髪用化粧品ならびに、スキンケア化粧品、医薬部外品の開発・頭髪用化粧品ならびに、スキンケア化粧品、医薬部外品の製造・頭髪用化粧品ならびに、スキンケア化粧品、医薬部外品の美容室、代理店、問屋への販売※ヘアカラー、パーマ剤、シャンプー、トリートメント、スタイリング剤などの美容・理容専売品を含むヘアケア製品全般,東京都台東区台東2-29-8,2009,60,96百万円,35.0,http://www.inter-cosme.com/,,
2024-08-01,協和製凾株式会社,ファッション・アパレル・アクセサリーメーカー,5,■当社について今年で創業110年の歴史と技術を誇る老舗パッケージメーカーです。一般に高価格帯と言われる商品の「凾（ハコ）」の製造を中心に行っています。お取引先の業界は化粧品・時計・酒造・食品・宝飾品など多岐に渡り、ブランドの世界観をパッケージで表現する技術で、多くの顧客からご支持をいただいております。,東京都台東区東上野1-23-9,1914,29,40百万円,40.0,https://www.kyowaseikan.co.jp/,,
2024-08-01,株式会社三景,繊維メーカー,2,■企業理念：私たち三景社員は『三方よし』の実現のために、アパレル業界のものづくりを支えるトータルサプライヤ―として、挑戦を続けることを行動指針としています。国境や世代を越え、関わる全てのひと・もの・ことへの思いやりを持ち、メーカーの責任と誇りを胸に業界の発展に貢献していきます。■事業内容： ＜主要製品＞生地（表地、裏地、芯地、キルト地など）、服飾資材（ボタン、パーツ、テープ類、小附属など）、レーベル（ブランドネーム、下げ札など）、その他衣料服飾品全般,東京都江東区東雲1-7-12KDX豊洲グランスクエア 6F,1955,1632,100百万円,44.0,https://www.sankeicoltd.co.jp/,,
2024-05-01,株式会社ＳＨＯＥＩ,その他メーカー,1,■事業内容： 一般向け、官公庁用（防衛省用、警察庁用）オートバイ用ヘルメットの製造・販売,東京都台東区台東1-31-7,1959,785,"1,421百万円",38.1,https://www.shoei.com/,,プライム市場
2024-05-01,株式会社三工ケミカル,その他メーカー,2,■事業内容：車用・床用艶出し剤（ワックス）、洗浄剤及びワックスエマルジョンの設計、製造当社は、人にやさしい、環境にやさしい製品作りを目指し、自動車用・床用メンテナンス商品、各種家庭用洗剤、工業用エマルジョンの設計・製造を行っています。品質管理システムの国際規格「ISO9001」の認証を取得し、確立された品質マネジメントシステムの継続的改善と効果的運用に努めています。,愛知県稲沢市奥田大沢町18-2,1955,19,19百万円,,http://www.sankochemical.co.jp/instanthp/page01.html,,
2024-07-01,澁谷食品株式会社,食品・飲料メーカー（原料含む）,1,■特徴： 「おいしさは大地から」基本である芋がおいしくなければ、おいしい芋菓子は作れない。その為、同社は大地を耕し、芋を育てることから始めています。平成15年には農業法人も取得し、土づくりからこだわり、収穫、製造、販売まで一貫した体制を築いています。,高知県高岡郡日高村本郷716,1959,447,30百万円,40.7,http://www.shibuya-foods.co.jp/shibuya_foods.html,,
2024-07-01,株式会社みやび,金属・製綱・鉱業・非鉄金属メーカー,4,■事業内容： 住宅をはじめとした建築物の内部空間を仕切る、内装建具等住宅部材のアルミ製内装部材メーカーです。機能性とデザイン性を追求した内装部材商品を企画し、高い技術力で形にしています。・アルミ室内建具の企画・製造・販売・施工管理・オリジナル建具の企画販売・OEM製造・アルミ加工品の製造・インテリア製品・内装資材の販売,愛知県稲沢市平和町下三宅菱池917-4,1981,50,30百万円,,https://miyabi-alumi.com/,,
