更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,大丸運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市金楽寺町2-15-9スペースプログレス 1Ｆ,1968,代表取締役 石田 雅嗣,10 百万円,,,,,
2024-08-01,栄交通株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市城東区東中浜9-1-2,1962,代表取締役 押田 聖也,75 百万円,,,,,
2024-08-01,株式会社国分,倉庫業・梱包業,求人なし,東京都足立区入谷6-2-11東京団地倉庫管理棟,1968,代表取締役 谷口 一,21 百万円,,,,,
2024-08-01,商都通信株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県春日井市瑞穂通4-48,1975,代表取締役 橋本 貴正,10 百万円,,,,,
2024-08-01,ダイヤ交通株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市城東区新喜多1-3-7,1960,代表取締役 山田 正弘,13 百万円,,,,,
2024-08-01,有限会社明優サービス,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市下坂部4-12-7,1994,代表取締役 橋本 城司,15 百万円,,,,,
2024-08-01,株式会社サヌキエクスプレス,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県東かがわ市川東5-1,1962,代表取締役 髙瀬 宏之,10 百万円,,,,,
2024-08-01,株式会社二葉興運,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県春日井市東野町3-13-2,1987,代表取締役社長 小野 裕,30 百万円,,,,,
2024-08-01,新日本交通株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府東大阪市新喜多364,1948,代表取締役 町野 勝康,30 百万円,,,,,
2024-08-01,株式会社アーオイ引越センター,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市田能4-18-25,2001,代表取締役 丸水 博司,10 百万円,,,,,
2024-08-01,有限会社川西運輸,道路貨物運送業（宅配便・トラック運送など）,求人なし,徳島県美馬市脇町別所4796-1,1985,代表取締役 川西 敏子,12 百万円,,,,,
2024-08-01,株式会社山中運輸,倉庫業・梱包業,求人なし,大阪府大阪市城東区永田2-8-2,1953,代表取締役 川井 一郎,70 百万円,,,,,
2024-08-01,内海フェリー株式会社,海運業,求人なし,香川県小豆郡小豆島町草壁本町1053-3,1956,代表取締役 田邉 学,30 百万円,,,,,
