更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-06-01,株式会社大都,海運業,7,■事業内容：港湾運送業、港湾荷役業、第1種利用運送業、第2種利用運送業、通関業、海上貨物輸送業、倉庫業、金属クズ商、産業廃棄物収集運搬業（積替え保管あり）、建設業、人材派遣業、港湾労働者派遣業,大阪府大阪市港区海岸通2-1-11,1960,,180,100百万円,,http://www.daito.biz/,
2024-06-01,河崎運輸機工株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■事業内容・機械器具設置工事業・水道施設工事業・管工事業・石工工事業・鋼構造物工事業・舗装工事業・土木工事業・塗装工事業・とび・土工工事業・建築工事業・しゅんせつ工事業・沿岸荷役及び海上運送業・建設機械及び荷役機械賃貸業・超高圧洗浄業・産業廃棄物運送・廃棄物処理機の設計、製作及び販売・倉庫業・損害保険代理業・特定労働者派遣業・不動産の売買、賃貸借、仲介及び管理に関する事業・揮発油、灯油、潤滑油その他石油製品の販売・解体工事業・前各号に附帯する一切の業務,山口県岩国市新港町4-15-25,1948,,270,50百万円,,https://www.kawasakiunyu.co.jp/,
2024-06-01,岩国産業運輸株式会社,倉庫業・梱包業,求人なし,■港湾荷役業■一般区域貨物自動車運送業■倉庫業■通運業■パルプ又は紙製造加工請負業■製材業,山口県岩国市昭和町3丁目10-7,1950,代表取締役 村重 佳人,254,"1,200万円",,"Failed to retrieve page, status code: 410",
2024-06-01,株式会社近鉄エクスプレス販売,航空運輸業,2,■事業内容：・貨物運送仲立業・受発注業務代行・輸出入業務代行・物流業務コンサルティング業務,東京都港区海岸1-11-1,1998,,74,90百万円,,https://www.kwesales.co.jp/,
2024-08-01,アサヒコーポレーション株式会社,道路貨物運送業（宅配便・トラック運送など）,1,《創業105年以上の安定経営／ロジスティクスとリサイクル事業を運営。大阪ベイエリアという絶好のロケーションの中、海・陸、一貫通貫で対応できることが強み》■事業内容： 通関業・倉庫業（保税蔵置場）・陸運業・港湾荷役業・公認計量業・クラッシング加工業・産業廃棄物収集運搬業・産業廃棄物中間処理業・資源リサイクル業 ■所在地：・本社 ： 大阪市港区弁天1－2－1 大阪ベイタワーオフィス16階・北港支店 ： 大阪市此花区梅町2－1－60・北港資源化センター ： 大阪市此花区梅町2－1－60・弁天砕石ヤード ： 大阪市港区弁天6－2－2,大阪府大阪市港区弁天1-2-1ORC200オフィスタワー16F,1953,,30,80百万円,,http://asahicorp.co.jp/,
2024-06-01,京浜交通グループ合同募集【京浜交通株式会社/株式会社京浜キャブシステム】,道路旅客運送業,1,＜各社共通＞◇一般乗用旅客自動車運送業(タクシー）◇川崎地区・横浜地区・世田谷地区の各営業所でタクシー275台運行。,神奈川県川崎市川崎区境町5-2（京浜交通株式会社）,1950,代表取締役 岩浦 哲彦（各社共通）,500,4500万円（京浜交通株式会社）,,http://www.keihinkohtsu.com/,
2024-08-01,千代田興業株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■業種：一般貨物運送業、産業廃棄物収集運搬業■会社方針：①社員は家族②安全第一③現場力で課題解決,神奈川県川崎市川崎区新川通10-8,1960,,233,35百万円,,https://www.chiyodakougyou.co.jp/,
2024-06-01,株式会社村山商店,海運業,1,事業内容： ■港湾運送業務■港湾労働者派遣事業■通関業■貨物運送業■産業廃棄物収集・運搬業■指定一般廃棄物処理■古物営業会社特徴：★企業★明治6年（1873年）に横浜で創業された老舗港湾運送企業。栗林運輸株式会社・株式会社宇徳・東洋埠頭株式会社・日鉄物産株式会社・ＪＦＥ商事株式会社・豊通マテリアル株式会社など大手企業との取引が主体の安定した企業です。勤続年数の長い方が多く、従業員の働く環境も良く、長く活躍ができます。,神奈川県川崎市川崎区東扇島38-1川崎マリエン内,1873,,95,75百万円,,https://recruit.murayama-shoten.co.jp/,
2024-08-01,プリンス海運株式会社,海運業,1,■海上運送事業■貨物運送取扱事業■船舶貸渡業■船舶代理店業■海運仲立業■自動車運送取扱事業■損害保険代理店業■中古自動車販売事業■中古建設機械の販売事業■中古自動車・中古建設機械のオークション開催運営事業,兵庫県神戸市中央区磯辺通2丁目2番16号 三宮南ビル6階,1963,代表取締役社長 藤井 直之,32,1億円,,http://prince-kaiun.co.jp,
2024-07-01,興和運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,5,■事業内容： 〇運送事業：貸切便・混載便・路線便・重量運搬・引越サービス〇倉庫業：インゴット・建築資材・コイル・合板・店舗什器など〇組立・金属加工：製品の組立・仕上げ・検査・梱包まで〇産業廃棄物取集運搬,愛知県名古屋市天白区福池2-428,1970,,105,10百万円,43.0,http://www.kowa-transport.jp/,
