更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,鈴江コーポレーション株式会社,倉庫業・梱包業,求人なし,神奈川県横浜市中区日本大通7,1947,代表取締役社長 田留 晏,262,"1,600 百万円",,,,
2024-08-01,日本オイルターミナル株式会社,鉄道業,求人なし,東京都千代田区有楽町1-7-1有楽町電気ビル北館,1966,代表取締役 牛島 雅隆,260,800 百万円,,,,
2024-08-01,広島第一交通株式会社,道路旅客運送業,求人なし,広島県広島市西区草津港1-9-54,1997,代表取締役 荒木 浩幸,259,20 百万円,,,,
2024-08-01,ディエスヴィ・エアーシー株式会社,航空運輸業,求人なし,東京都江東区福住2-5-4ＩＸＩＮＡＬ門前仲町,1990,代表取締役 鈴木 孝,259,54 百万円,,,,
2024-08-01,多摩都市モノレール株式会社,鉄道業,求人なし,東京都立川市泉町1078-92,1986,代表取締役 奥山 宏二,252,100 百万円,,,,
2024-08-01,株式会社バンダイロジパル,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都葛飾区東四つ木4-42-5,1963,代表取締役 山本 泰治,251,100 百万円,,,,
2024-08-01,千葉中央バス株式会社,道路貨物運送業（宅配便・トラック運送など）,無,千葉県千葉市緑区鎌取町273-4,1935,代表取締役 新井 靖彦,251,100 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■一般乗合旅客自動車運送事業■一般貸切旅客自動車運送事業■広告事業■土地建物の売買及び賃貸借事業■旅行業■特定旅客自動車運送事業■車両運行管理請負業 2021年9月doda掲載求人より引用,
2024-08-01,京都バス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,京都府京都市右京区嵯峨明星町1-1,1921,代表取締役 吉本 直樹,250,100 百万円,,,,
2024-08-01,大阪第一交通株式会社,道路旅客運送業,求人なし,大阪府泉北郡忠岡町忠岡北3-11-14,2016,代表取締役 芝辻 徹,248,10 百万円,,,,
2024-08-01,ＭＳロジテクサービス株式会社,倉庫業・梱包業,求人なし,大阪府枚方市南中振3-2-27,2002,代表取締役 菊地 修,247,30 百万円,,,,
2024-08-01,安田運輸株式会社,倉庫業・梱包業,求人なし,神奈川県横浜市神奈川区守屋町3-9-30,1972,代表取締役 井上 薫,245,125 百万円,,,,
2024-08-01,神姫観光株式会社,道路旅客運送業,求人なし,兵庫県姫路市西駅前町1,1997,代表取締役 兵働 忠志,243,50 百万円,,,,
2024-08-01,アサガミ物流株式会社,道路貨物運送業（宅配便・トラック運送など）,無,東京都千代田区丸の内3-1-1国際ビル 6Ｆ,2009,代表取締役 加藤 一哉,240,50 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 貨物自動車運送事業倉庫業 2023年5月doda掲載求人より引用,
2024-08-01,名鉄ワールドトランスポート株式会社,航空運輸業,求人なし,東京都千代田区神田須田町1-9神田須田町プレイス 7Ｆ,2022,代表取締役 坂本 敦,239,100 百万円,,,,
2024-08-01,丸全電産ロジステック株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都港区芝1-12-7芝一丁目ビル 3Ｆ,1971,代表取締役 若尾 正道,238,250 百万円,,,,
2024-08-01,名鉄ゴールデン航空株式会社,航空運輸業,求人なし,東京都江東区南砂7-12-4東東京流通センターＢ棟 6Ｆ,1969,代表取締役 鵜澤 清雅,238,96 百万円,,,,
2024-08-01,株式会社名門大洋フェリー,海運業,求人なし,大阪府大阪市西区江戸堀1-9-6肥後橋ユニオンビル 2Ｆ,1970,代表取締役 野口 恭広,234,880 百万円,,,,
2024-08-01,丸全トランスポート株式会社,道路貨物運送業（宅配便・トラック運送など）,無,神奈川県横浜市旭区上川井町1964,2002,代表取締役 嶋田 良二,233,250 百万円,,,・貨物自動車運送事業・貨物利用運送事業・倉庫業・構内における機械荷役事業・産業廃棄物処理業・労働者派遣事業・警備業・自動車分解整備事業・損害保険代理業・自動車損害賠償保障法に基づく保険代理店業・全各号に付帯関連する一切の事業 2023年10月doda掲載求人より引用,
2024-08-01,新潟交通観光バス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,新潟県新潟市東区寺山3-7-1,1986,代表取締役 古田 哲,232,75 百万円,,,,
