更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,社会福祉法人明徳福祉会,福祉・介護関連サービス,求人なし,広島県広島市安佐南区長束4-6-38,2002,理事長 植田 和稔,854 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人和福祉会,福祉・介護関連サービス,求人なし,広島県広島市安芸区瀬野2-8-6,1999,理事長 智谷 幸子,299 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人とやま虹の会,福祉・介護関連サービス,求人なし,富山県富山市水橋新堀1,1992,理事長 池田 克己,977 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人アルペン会,福祉・介護関連サービス,求人なし,富山県富山市小西170,1994,理事長 室谷 民子,"1,953 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人神通福祉会,福祉・介護関連サービス,求人なし,富山県富山市下新北町6-45,2003,理事長 島田 一彦,870 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人三寿会,福祉・介護関連サービス,求人なし,富山県富山市大島3-147,1997,理事長 竹鼻 敏孝,"2,717 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社朋悠生活研究舎,福祉・介護関連サービス,求人なし,宮城県仙台市太白区三神峯2-8-65,2000,代表取締役 佐藤 正敏,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人土岐市社会福祉協議会,福祉・介護関連サービス,求人なし,岐阜県土岐市下石町1060,1983,理事長 舘林慶二,415 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人愛護会,福祉・介護関連サービス,求人なし,岩手県奥州市水沢羽田町字水無沢491,1971,理事長 及川 紀美子,"2,475 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人安代会,福祉・介護関連サービス,求人なし,岩手県八幡平市丑山口27-5,1991,理事長 種市 月子,819 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人いつつ星会,福祉・介護関連サービス,求人なし,岩手県二戸市仁左平字横手6-1,2003,理事長 中田 勇司,863 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人協助会,福祉・介護関連サービス,求人なし,岐阜県可児市塩河2709-1,1994,理事長 玉木 貞昭,"1,506 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人恵和会,福祉・介護関連サービス,求人なし,岐阜県恵那市長島町永田382-38,1978,,"1,409 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人五常会,福祉・介護関連サービス,求人なし,岐阜県中津川市瀬戸1387-8,1984,理事長 土屋 大二郎,"2,076 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人慈恵会,福祉・介護関連サービス,求人なし,岐阜県美濃加茂市下米田町東栃井81-2,1987,理事長 山田 實紘,"9,415 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人樹心会,福祉・介護関連サービス,求人なし,岐阜県揖斐郡大野町大字桜大門541,1937,理事長 髙田 泰樹,942 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人祥雲会,福祉・介護関連サービス,求人なし,岐阜県関市下白金915,1996,理事長 宮本 洪純,"1,668 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人新生会,福祉・介護関連サービス,求人なし,岐阜県揖斐郡池田町本郷1501,1976,理事長 今村 寧,"7,227 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人清洞会,福祉・介護関連サービス,求人なし,岐阜県各務原市蘇原東栄町1-50,1995,理事長 髙田 泰樹,"3,452 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人千寿会,福祉・介護関連サービス,求人なし,岐阜県瑞浪市西小田町3-221,1998,理事長 原正 昭,"2,717 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人善心会,福祉・介護関連サービス,求人なし,岐阜県安八郡神戸町大字北一色10,2001,理事長 黒川 善栄,601 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人共生会,福祉・介護関連サービス,求人なし,岩手県二戸市石切所字森合92-1,1998,理事長 大沢 孫蔵,"1,485 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人ひがし福祉会,福祉・介護関連サービス,求人なし,岐阜県中津川市千旦林1655-39,1991,理事長 鳥居 広明,"1,862 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人飛騨慈光会,福祉・介護関連サービス,求人なし,岐阜県高山市山田町831-1,1956,理事長 窪田 哲,"3,701 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人美徳会,福祉・介護関連サービス,求人なし,岐阜県多治見市上山町1-97-2,1998,理事長 西尾 とき子,"2,315 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人墨友会,福祉・介護関連サービス,無,岐阜県大垣市東町4-43-2,2002,理事長 岩田 一司,"1,931 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人敬愛会,福祉・介護関連サービス,求人なし,岩手県紫波郡矢巾町大字広宮沢第1地割100,1984,,"1,626 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人みらい,福祉・介護関連サービス,求人なし,岐阜県多治見市平和町6-364,2002,理事長 早瀬 亜紀,654 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人養寿会,福祉・介護関連サービス,求人なし,岐阜県養老郡養老町柏尾463-1,1996,理事長 前田 晃男,934 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人光林会,福祉・介護関連サービス,求人なし,岩手県花巻市石鳥谷町中寺林第12地割54-7,1968,理事長 三井 信義,"1,071 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人井ノ口会,福祉・介護関連サービス,求人なし,岐阜県岐阜市奥1-100,1984,理事長 鷲見 譲,"5,027 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人岐協福祉会,福祉・介護関連サービス,求人なし,岐阜県岐阜市大洞3-3-1,1991,理事長 林 直康,"2,863 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人岐阜老人ホーム,福祉・介護関連サービス,無,岐阜県岐阜市北一色7-20-1,1952,理事長 林 武,"3,550 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人高佳会,福祉・介護関連サービス,求人なし,岐阜県岐阜市玉井町17,2001,理事長 髙田 良彦,954 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人千代田会,福祉・介護関連サービス,求人なし,岐阜県岐阜市河渡2-45,1978,理事長 後藤 嘉明,"1,028 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人岐東福祉会,福祉・介護関連サービス,無,岐阜県岐阜市大洞3-4-5,1998,理事長 奥村 浩二,"1,034 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人長良川記念会,福祉・介護関連サービス,求人なし,岐阜県岐阜市雄総柳町2-60,2000,理事長 森 省一郎,"2,344 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人みどり福祉会,福祉・介護関連サービス,求人なし,岐阜県岐阜市北山1-15-25,2002,理事長 市川 武彦,"1,078 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人寿生会,福祉・介護関連サービス,求人なし,岩手県下閉伊郡田野畑村田野畑120-18,1991,理事長 根木地 俊機,639 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人大洋会,福祉・介護関連サービス,求人なし,岩手県大船渡市立根町字下欠125-15,1960,理事長 白木澤 太一,"2,110 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人つつじ会,福祉・介護関連サービス,求人なし,岩手県奥州市前沢字塔ケ崎7,1990,理事長 関 笙子,"1,072 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人堤福祉会,福祉・介護関連サービス,求人なし,岩手県上閉伊郡大槌町吉里々々第32地割18-25,1975,理事長 芳賀 陽一,"1,470 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
