更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-07-01,株式会社アルカスインターナショナル,専門店（アパレル・アクセサリー）,2,■事業内容： （株）アルカスインターナショナルは、主にショッピングセンターを中心に、ターゲットとするニューファミリー層に向けた、レディース、バッグ、靴、アクセサリー等の服飾雑貨や生活雑貨、キッズウエアの事業を行っています。◇全国で約270店舗を出店する「シューラルー」を中心に、「オペークドットクリップ」「THE SHOP TK」「グローブ」「オルベネ」「index」「クチュールブローチ」などを展開しています。◇子会社の（株）ワールドフランチャイズシステムズでは「シューラルー」をはじめ、ストアブランドのフランチャイズ事業を行っています。,兵庫県神戸市中央区港島中町6-8-1,2016,96,30百万円,,https://corp.world.co.jp/business/domestic/,,
2024-08-01,株式会社エクスプローラーズトーキョー,専門店（アパレル・アクセサリー）,7,■事業内容：衣料品、雑貨の企画、生産、及び販売,兵庫県神戸市中央区港島中町6-8-1,2016,349,30百万円,,なし,,
2024-08-01,株式会社フィールズインターナショナル,専門店（アパレル・アクセサリー）,1,■事業内容： 衣料品、雑貨の企画、生産、及び販売,兵庫県神戸市中央区港島中町6-8-1,2016,2384,30百万円,,https://corp.world.co.jp/business/domestic/,,
2024-07-01,株式会社ｎｉｇｉｒｕ,食品・GMS・ディスカウントストア,1,専門飲食料品小売★親会社:株式会社ドレステーブル,福岡県福岡市中央区平尾２丁目１５－１６,2017,,,,https://truffle-bakery.com/,代表取締役 丸岡 武司,
2024-07-01,株式会社アラート,専門店（アパレル・アクセサリー）,2,■事業内容： リサイクル事業中古本、CD、DVD、ゲーム、おもちゃ、雑貨、楽器、釣り具、古着、バッグ、シューズ、アクセサリー、アミューズメント、 その他販売及び買取ならびに店舗経営委託,福岡県久留米市六ツ門町3-62201,2016,150,5百万円,35.0,https://alert.fukuoka.jp/,,
2024-07-01,株式会社レイクウインド,自動車ディーラー,1,■事業内容： ・新車、中古車の販売、買取・整備、修理・部品販売・レンタカー■特徴（TOPICS）： 創業から２５年で、名神高速栗東インターの程近くの立地にショップを構えており、 京滋地域だけではなく、全国のボルボユーザー様にお役に立つボルボ専門店を目指しています。また、本社には国産・輸入を含めて多くの純正、OEM、中古パーツもストックしています。ボルボを始めとしたオールブランドに対応出来る体制を整えており、遠方から修理に来られる方や、ネットからの引き合いも多いです。中古車業界でも非常に安定的な需要があるため長期的に就業いただけます◎,滋賀県栗東市安養寺5-9-18,,7,,,https://lakewind.co.jp/,,
2024-07-01,Ｂｒｅｍｅｎ株式会社,専門店（アパレル・アクセサリー）,2,1、ブランド品買取店の運営2、ブランド品査定イベントの運営3、ブランドメディアサイトの運営【古物営業許可番号】■東京都公安委員会 第304391705413号,【本社】東京都中野区新井1-12-8 中野スクエア3F,2017,33,,34.0,https://safari.farm,代表取締役 油谷 憲人,
2024-05-01,株式会社リンコウトレーディング,食品・GMS・ディスカウントストア,1,■会社概要：北海道の水産品を海外へ広める輸出業務を行っています。水産品のみならず、畜産、農産、加工食品でも海外に展開しています。■事業内容：・惣菜食品の製造及び販売・加工調理食品の製造及び販売・冷凍食品の製造及び販売・生鮮魚介類の販売・その他食品の販売・前各号に関する輸入及び輸出・飲食店業・前各号に付帯関連する一切の業務,北海道札幌市西区八軒一条東5-2-16,2017,2,5百万円,,https://rinkou.com/rinkou-trading/ja/,,
2024-08-01,メーカーズグループ株式会社,自動車ディーラー,求人なし,,福岡県福岡市西区石丸4-5-53,2017,,20 百万円,,"Failed to retrieve page, status code: 410",代表取締役 白井 剛,
2024-07-01,株式会社Ｌｃｏｄｅ,専門店（アパレル・アクセサリー）,3,■事業内容：コンタクトレンズ事業、コスメティック事業、その他商品の企画・開発事業,大阪府大阪市中央区西心斎橋1-5-5アーバンBLD心斎橋6F,2007,50,90百万円,,なし,,
2024-06-01,合同会社スイミー,食品・GMS・ディスカウントストア,1,■会社概要：2017年設立、栃木県大田原市に本社を置き、お持ち帰り弁当の製造・販売業を営んでいます。■事業内容：ほっともっと、やよい軒のFC店運営■特徴・強みほっともっと運営3店舗（大田原若松店・大田原本町店・日光今市店）、やよい軒1店舗（ひたちなか市店）■企業理念・モットー：・お客様に喜んでいただくサービス・商品を提供する。社会に役に立つ会社になる。・プレナス企業理念：私たちプレナスは、すべての行動をお客様の視点で考え、食の事業を通じて、お客様の満足と健康を実現し、人々に笑顔と感動をお届けし続けることに、チャレンジしていきます。,栃木県大田原市城山2-12-19,2017,46,3百万円,,なし,,
2024-08-01,株式会社黒沢自動車,自動車ディーラー,1,■事業内容： 長年の培ってきた確かな技術で、幅広い鈑金塗装修理に対応しております。黒沢自動車として誇りを持って仕事をし、お客様・社会から信頼を勝ち取り、成長を続けます。■沿革： 昭和51年 4月 黒沢自動車（店主 黒沢健一） 開業する平成 2年 5月 黒沢自動車を法人化し、有限会社黒沢自動車 とする平成29年 5月 株式会社黒沢自動車とし、髙橋一之が代表を引継ぐ■その他：経済産業省の健康経営優良法人2024（中小規模法人部門）認定法人、埼玉県健康経営認定制度参加事業所です。,埼玉県久喜市栗橋東2-4-11,,6,3百万円,,https://best-plan-hb.jimdo.com/,,
2024-07-01,株式会社ローヤル物産,専門店・その他小売,1,■業務用食器及び、厨房備品、卓上用品の販売■家庭用食器及び、厨房備品、卓上用品の販売■外食産業等店舗展開における■業務用厨房備品の請負及び設計、施工■電気機械機具の販売■直営店 THE HARVEST KITCHEN GENERAL STOREの運営■前各号に付帯する事業,東京都渋谷区恵比寿南1-18-11 エビステムズコート2F,1975,,"1,600万円",35.0,http://www.royal-bussan.co.jp/,代表取締役 辻 武博,
