更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-08-01,株式会社鶴屋八幡,専門店・その他小売,求人なし,,大阪府大阪市中央区今橋4-4-9,1947,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今中 智英,
2024-08-01,日ノ本寝具株式会社,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区久太郎町3-4-17,1948,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙谷 和志,
2024-08-01,日本ユニフォーム株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区平野町1-6-1,1947,58 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉田 和正,
2024-08-01,株式会社ケー・エス・エフ・サービス,専門店・その他小売,求人なし,,神奈川県横浜市中区日ノ出町1-36アクロス 3Ｆ,1996,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小林 康太郎,
2024-08-01,株式会社東京シオノヤ,専門店・その他小売,求人なし,,東京都品川区西五反田7-16-6,1957,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 塩谷 任士,
2024-08-01,株式会社光輪技研,専門店・その他小売,求人なし,,東京都品川区南大井6-28-11谷口ビル 7Ｆ,1967,73 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙橋 孝博,
2024-08-01,ソーゴー株式会社,専門店・その他小売,求人なし,,東京都品川区南品川1-2-2ノーブルコートサワダ 1Ｆ,1966,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大竹 康雄,
2024-08-01,株式会社森乳サンワールド,専門店・その他小売,求人なし,,東京都港区港南3-8-1森永乳業港南ビル 4Ｆ,1960,61 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙見澤 裕己,
2024-08-01,株式会社丹青堂,専門店・その他小売,求人なし,,大阪府大阪市中央区難波1-4-6202,1950,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 堀 芙由子,
2024-08-01,株式会社文化堂,食品・GMS・ディスカウントストア,無,,東京都品川区二葉4-2-14,1969,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山本 敏介,
2024-08-01,工藤産業株式会社,通信販売・ネット販売,求人なし,,大阪府大阪市中央区常盤町2-2-26工藤産業ビル,1972,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 工藤 武雄,
2024-08-01,至峰堂画廊株式会社,専門店・その他小売,求人なし,,東京都中央区銀座6-4-7いらか銀座ビル 1Ｆ、2Ｆ,2000,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 鈴木 庸平,
2024-08-01,美保産業株式会社,専門店・その他小売,求人なし,,東京都品川区西中延1-3-23プレールミホカテリーナ武蔵小山 1Ｆ,1950,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 水戸 伸之,
2024-08-01,株式会社ティスインターナショナル,通信販売・ネット販売,求人なし,,大阪府大阪市中央区南本町2-2-2,1992,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 三宮 正裕,
2024-08-01,株式会社ならや本舗,専門店・その他小売,求人なし,,東京都品川区西五反田7-22-17ＴＯＣビル 3Ｆ,1972,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 南 多加夫,
2024-08-01,大阪漆器株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区難波千日前8-19,1964,22 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 新藤 聖豪,
2024-08-01,大西衣料株式会社,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区久太郎町3-4-12,1990,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 大西 寛,
2024-08-01,株式会社バアゼル,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区心斎橋筋2-7-6,1994,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 市川 真奈美,
2024-08-01,株式会社キングアパレルサポート,専門店（アパレル・アクセサリー）,求人なし,,東京都品川区西五反田2-14-9（株）キング東京本社ビル,1984,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 春田 浩司,
2024-08-01,株式会社ミルク,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区博労町2-2-13大阪堺筋ビル 2Ｆ,1989,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 中嶋 潤哉,
2024-08-01,株式会社ビューティ・ミッション,専門店・その他小売,無,,大阪府大阪市中央区谷町2-7-8ＦＡＩＴＨビル,1994,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小島 真一,
2024-08-01,株式会社丸正庄司,専門店・その他小売,求人なし,,東京都品川区二葉4-15-7,1977,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 庄司 太,
2024-08-01,有限会社東京ロケット商会,自動車ディーラー,求人なし,,東京都品川区東大井2-19-10,1957,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 城戸 敦子,
2024-08-01,株式会社モナミカメラ,専門店（家電量販店）,求人なし,,東京都品川区北品川5-6-1大崎ブライトタワー 2Ｆ,1965,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 安田 征,
2024-08-01,株式会社ミナトヤ,専門店・その他小売,求人なし,,兵庫県神戸市長田区松野通1-11-12,1997,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 細川 隆一,
2024-08-01,株式会社サンリオエンタープライズ,専門店・その他小売,求人なし,,東京都品川区大崎1-6-1大崎ニューシティ1号館ＴＯＣ大崎ビルディング 13Ｆ,1982,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野村 高章,
2024-08-01,株式会社サルース,通信販売・ネット販売,無,,大阪府大阪市中央区南本町3-4-7第一住建御堂筋本町ビル 3Ｆ,1996,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 木下 秀夫,
2024-08-01,株式会社ナガオ,専門店（アパレル・アクセサリー）,求人なし,,東京都品川区西五反田2-4-2東海ビル 1Ｆ,1990,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 長尾 久美子,
2024-08-01,株式会社正光画廊,専門店・その他小売,求人なし,,東京都品川区戸越6-1-12,1975,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 塩野 正雄,
2024-08-01,株式会社トータルサービス,通信販売・ネット販売,無,,大阪府大阪市中央区森ノ宮中央1-16-7203,1997,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 英賀谷 義秀,
2024-08-01,株式会社川井商店,専門店・その他小売,求人なし,,東京都品川区南品川5-14-16,1949,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川井 智博,
2024-08-01,コンノ護謨株式会社,専門店・その他小売,求人なし,,東京都品川区上大崎3-4-10,1950,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今野 幹也,
2024-08-01,株式会社ＩＫＧプロフェッショナルパートナーズ,専門店・その他小売,求人なし,,大阪府大阪市中央区安土町3-3-5イケガミビル,1924,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 池上 輝幸,
2024-08-01,株式会社アートマスターズ,通信販売・ネット販売,求人なし,,大阪府大阪市都島区都島本通3-12-12,2000,95 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 前川 克也,
2024-08-01,株式会社ヒーローインターナショナル,専門店（アパレル・アクセサリー）,無,,東京都港区北青山3-3-7第一青山ビル 3Ｆ,1996,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙橋 秀彰,
2024-08-01,神栄商事株式会社,専門店・その他小売,求人なし,,東京都品川区南品川2-2-10南品川Ｎビル 5Ｆ,1960,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 時枝 勝造,
2024-08-01,原田塗料株式会社,専門店・その他小売,求人なし,,東京都品川区南品川1-5-7,1950,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 原田 忠明,
2024-08-01,株式会社井門エンタープライズ,専門店・その他小売,求人なし,,東京都品川区東大井5-15-3,1935,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 井門 義博,
2024-08-01,株式会社湯川家具,専門店・その他小売,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 家具・インテリア雑貨の小売販売（大阪に3店舗、兵庫に1店舗） 2022年8月doda掲載求人より引用,大阪府堺市堺区向陵中町2-2-14,1960,49 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 魚住 雄二,
2024-08-01,大和化工株式会社,専門店・その他小売,求人なし,,大阪府堺市北区百舌鳥西之町3-506,1972,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 横田 肇,
2024-08-01,堺ヤクルト販売株式会社,専門店・その他小売,求人なし,,大阪府堺市西区浜寺船尾町東2-237,1955,70 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田原 吉次郎,
2024-08-01,株式会社日本商行,専門店・その他小売,求人なし,,東京都品川区東五反田3-16-31,1951,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今井 伸行,
2024-08-01,光村教育図書株式会社,専門店・その他小売,無,,東京都品川区西五反田2-27-4明治安田生命ビル 7Ｆ,1964,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 湯地 修治,
2024-08-01,株式会社ホビーラホビーレ,通信販売・ネット販売,求人なし,,東京都品川区東大井5-23-37,1975,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岸川 健介,
2024-08-01,Ｂ－Ｒサーティワンアイスクリーム株式会社,食品・GMS・ディスカウントストア,1,■事業概要：アイスクリームおよびこれに付随する製品の製造、輸入および販売。アイスクリームショップのチェーン展開ならびに製品の供給および経営指導。■事業内容： アイスクリームおよび付随製品の製造・輸入・販売。アイスクリームショップのチェーン展開ならびに製品の供給および経営指導。世界最大級のアイスクリーム専門店である米国バスキン・ロビンス社と株式会社不二家との提携により、1974年に東京・目黒にアイスクリーム専門店として第1号店を開設。以来、全国で1200ヶ所以上の販売拠点を展開する日本最大規模のアイスクリームショップ・チェーンを築いています。,東京都品川区上大崎3-1-1目黒セントラルスクエア16F,1973,735百万円,,238,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,スタンダード市場
2024-08-01,タバタ株式会社,専門店・その他小売,求人なし,,大阪府堺市西区草部692,1991,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田端 雅司,
2024-08-01,株式会社クラタ,専門店・その他小売,求人なし,,東京都品川区戸越6-19-17,1971,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 仲村 實,
2024-08-01,プリメーラ株式会社,専門店・その他小売,求人なし,,東京都品川区西五反田4-32-1東京日産西五反田ビル2号館1Ｆー4,1986,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大谷 美沙緒,
2024-08-01,株式会社河中堂,食品・GMS・ディスカウントストア,求人なし,,大阪府堺市北区百舌鳥梅北町2-58-1,1976,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 河中 一朗,
2024-08-01,株式会社澤田電機工業所,専門店・その他小売,求人なし,,大阪府堺市堺区三宝町4-225,1949,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 澤田 健,
2024-08-01,スズキ大阪販売株式会社,自動車ディーラー,無,,大阪府堺市中区深井清水町3770,1986,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 北畠 孝,
2024-08-01,株式会社西井ガラス,専門店・その他小売,求人なし,,大阪府堺市堺区南半町西1-1-4,1978,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西井 隆二,
