更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,医療法人寛友会,その他,求人なし,埼玉県越谷市南越谷1-1-57,1981,理事長 浅賀 寛,143 百万円,,,,
2024-08-01,山口物産株式会社,その他,求人なし,長崎県諫早市森山町唐比東546,1975,代表取締役 山口 智彦,10 百万円,,,,
2024-08-01,富士中央青果株式会社,その他,求人なし,静岡県富士市田島100,1976,代表取締役 小林 充,45 百万円,,,,
2024-08-01,エヌピー運輸富士株式会社,その他,求人なし,静岡県富士市今井4-1-1,1953,代表取締役 藤田 泰彦,20 百万円,,,,
2024-08-01,アトミックス工業株式会社,その他,求人なし,広島県広島市安佐南区緑井1-28-45,1985,代表取締役社長 菅原 徳大,10 百万円,,,,
2024-08-01,青森県民生活協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,青森県青森市浜館3-7-7,1988,代表理事 工藤 勝保,178 百万円,,,,
2024-08-01,株式会社神尾本店,その他,求人なし,静岡県富士市吉原4-13-15,1976,代表取締役 神尾 貞明,10 百万円,,,,
2024-08-01,株式会社丸大青果,その他,求人なし,静岡県富士市田島100,1976,代表取締役 望月 義唯,20 百万円,,,,
2024-08-01,株式会社山清倉庫,その他,無,静岡県富士市今泉187-1,1962,代表取締役 山田 泰正,20 百万円,,,,
2024-08-01,株式会社杉山,その他,求人なし,静岡県富士市沼田新田151-1,1973,代表取締役 杉山 哲也,32 百万円,,,,
2024-08-01,株式会社アールアンドケー,その他,求人なし,静岡県富士市前田721-1,1980,代表取締役 小花 利一郎,60 百万円,,,,
2024-08-01,株式会社鈴木組,その他,求人なし,埼玉県越谷市赤山町2-180,1971,代表取締役 鈴木 康裕,20 百万円,,,,
2024-08-01,有限会社佐藤商工,その他,求人なし,広島県広島市安佐南区相田7-53-73,1971,代表取締役 佐藤 譲,6 百万円,,,,
2024-08-01,有限会社直重,その他,求人なし,広島県広島市安佐南区長束西2-5-7,1988,代表取締役 有塲 和男,10 百万円,,,,
2024-08-01,三一工業株式会社,その他,求人なし,静岡県富士市中丸84-1,1977,代表取締役 加藤 伸夫,17 百万円,,,,
2024-08-01,中和建設工業株式会社,その他,求人なし,広島県広島市安佐南区上安2-52-244号,1976,代表取締役 植木 善治,10 百万円,,,,
2024-08-01,橋本工業株式会社,その他,求人なし,長崎県諫早市高来町東平原423,1981,代表取締役 橋本 朝子,10 百万円,,,,
2024-08-01,新東洋機械工業株式会社,その他,求人なし,埼玉県川口市南鳩ヶ谷3-19-3三洋テクニカルセンター,1981,代表取締役 進藤 健一,22 百万円,,,,
2024-08-01,三倉飼料畜産株式会社,その他,求人なし,静岡県富士市大淵4009-22,1981,代表取締役 隈部 康洋,10 百万円,,,,
2024-08-01,船村興産倉庫株式会社,その他,求人なし,静岡県富士市津田216-1,1970,代表取締役 舩村 雅彦,30 百万円,,,,
2024-08-01,静岡県富士生コンクリート協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,静岡県富士市松岡260-2,1971,代表理事 加藤 英雄,147 百万円,,,,
2024-08-01,協栄空調株式会社,その他,求人なし,静岡県富士市青葉町337,1980,代表取締役 山本 信行,50 百万円,,,,
2024-08-01,美作建設株式会社,その他,無,埼玉県越谷市蒲生4-4-22,1984,代表取締役 川口 智光,20 百万円,,,,■建築工事業（新築・増築・改築）⇒特に大型総合スーパー、商業施設の店舗工事に長けています。＜建設業許可番号＞埼玉県知事許可 第036235号 2023年8月doda掲載求人より引用
2024-08-01,アルファクラブ静岡株式会社,その他,求人なし,静岡県静岡市清水区長崎新田125-1,1977,代表取締役 神田 昌毅,100 百万円,,,,
2024-08-01,株式会社桶新設備,その他,求人なし,埼玉県越谷市大字西新井898,1973,代表取締役 山﨑 達雄,50 百万円,,,,
2024-08-01,テイエッチピーセンター株式会社,その他,求人なし,静岡県富士市大淵1989-1,1984,代表取締役 及川 弘,70 百万円,,,,
2024-08-01,株式会社小林工業,特殊法人・財団法人・その他団体・連合会,求人なし,埼玉県越谷市大間野町4-302-1,1982,代表取締役 山﨑 吉德,10 百万円,,,,
2024-08-01,ユニプレスモールド株式会社,その他,求人なし,静岡県富士市中里2608-73,1984,代表取締役 遠藤 勝久,457 百万円,,,,
2024-08-01,大熊管材株式会社,その他,求人なし,埼玉県越谷市花田4-6-2,1987,代表取締役 大熊 康義,10 百万円,,,,
2024-08-01,株式会社河商,その他,求人なし,静岡県富士市本市場町884,1985,代表取締役 河部 俊二,10 百万円,,,,
2024-08-01,株式会社フジ機工,その他,求人なし,静岡県富士市横割6-12-12,1987,代表取締役 鈴木 秀幸,5 百万円,,,,
2024-08-01,有限会社龍美産業,その他,求人なし,青森県青森市小柳5-1-13,1981,代表取締役 三上 スズエ,6 百万円,,,,
2024-08-01,有限会社丸幸物流,その他,求人なし,広島県広島市安佐南区緑井4-27-8,1987,代表取締役 野田 禎幸,10 百万円,,,,
2024-08-01,株式会社長崎ミート,その他,求人なし,長崎県雲仙市国見町多比良甲17,1972,代表取締役 酒井 範示,15 百万円,,,,
2024-08-01,株式会社柏松園,その他,求人なし,広島県広島市安佐南区川内6-3-9,1995,代表取締役 倉本 和男,30 百万円,,,,
2024-08-01,大成機工株式会社,その他,求人なし,静岡県富士市伝法18-14,1984,代表取締役 奈須 敬,20 百万円,,,,
2024-08-01,株式会社カーバンクニムラ,その他,求人なし,広島県広島市安佐南区長楽寺1-19-58-4,1983,代表取締役 二村 正信,10 百万円,,,,
2024-08-01,社会福祉法人越谷一誓会,その他,無,埼玉県越谷市谷中町4-29,1982,理事長 内田 佳伯,459 百万円,,,,
2024-08-01,有限会社小笠原水道,その他,求人なし,青森県青森市原別2-3-7,1991,代表取締役 小笠原 久子,6 百万円,,,,
2024-08-01,有限会社マツノ商会,その他,求人なし,静岡県富士市浅間本町1-26,2001,代表取締役 久幾田 富美,8 百万円,,,,
2024-08-01,富士バスボデー株式会社,その他,求人なし,静岡県富士市川成島111-1,1993,代表取締役 前嶋 昌見,30 百万円,,,,
2024-08-01,有限会社和興商会,その他,求人なし,埼玉県越谷市七左町1-325,1992,取締役 森 章弘,3 百万円,,,,
2024-08-01,株式会社八紘,その他,求人なし,広島県広島市安佐南区中須1-14-12,1979,代表取締役 庄田 朋幸,30 百万円,,,,
2024-08-01,有限会社丸久商店,その他,求人なし,広島県広島市安佐南区緑井6-11-12,1950,代表取締役 髙木 仁,3 百万円,,,,
2024-08-01,有限会社新井塗装店,その他,求人なし,静岡県富士市中島135-3,1986,代表取締役 新井 隆人,20 百万円,,,,
2024-08-01,株式会社植松設備,その他,求人なし,静岡県富士市比奈2823-3,1993,代表取締役 植松 清志,10 百万円,,,,
2024-08-01,有限会社マリン,その他,求人なし,広島県広島市安佐南区緑井5-26-2,1997,代表取締役 水 浩二,3 百万円,,,,
2024-08-01,有限会社脇岡冷重工業,その他,求人なし,広島県広島市安佐北区あさひが丘6-4-8,1971,取締役 中村 修,9 百万円,,,,
2024-08-01,有限会社和意,その他,求人なし,広島県広島市安佐南区大町西1-39-36,1991,代表取締役 原 真紀,10 百万円,,,,
2024-08-01,株式会社エコロ,その他,求人なし,静岡県富士市十兵衛144-3,1991,代表取締役 金子 宗央,30 百万円,,,,
2024-08-01,株式会社ハッピークリーン,その他,求人なし,埼玉県越谷市七左町7-202-1,2002,代表取締役 江藤 幸人,10 百万円,,,,
2024-08-01,黒田工業株式会社,その他,求人なし,埼玉県越谷市大沢4-19-36,1959,代表取締役 鏑木 正光,18 百万円,,,,
2024-08-01,東京トランス株式会社,その他電気・電子・機械 （商社）,求人なし,東京都台東区根岸3-18-16水野ビル,1969,代表取締役 水野 剛宏,10 百万円,,,,
2024-08-01,都化工株式会社,その他,求人なし,埼玉県越谷市大間野町4-225,1950,代表取締役 鳥居 秀康,43 百万円,,,,
2024-08-01,株式会社やまと石材,その他,無,埼玉県越谷市南越谷1-20-1吉澤第二ビル 3Ｆ,1986,代表取締役 丹田 益生,50 百万円,,,,「従業員が働く喜びを実感できる職場環境を創ります」「お客様へ「最高の満足」「最高の感動」を提供します」「社会に幅広く貢献する企業を目指します」を経営理念とする、墓石販売会社。霊園のご紹介から始まり、墓石のご案内～ご契約～完成確認まで行います。■やまとグループ株式会社 メモリアル開発株式会社 一誠産業株式会社 パスレルNPO法人 レインボーチャイルズ 2024年4月doda掲載求人より引用
2024-08-01,株式会社東武園芸,その他,求人なし,埼玉県越谷市谷中町2-105,1967,代表取締役 番場 克己,20 百万円,,,,
2024-08-01,越谷食肉荷受株式会社,その他,求人なし,埼玉県越谷市増森1-12,1983,代表取締役 福田 武仁,10 百万円,,,,
2024-08-01,株式会社大町薬品,その他,求人なし,青森県弘前市大字駅前町8-1,1991,代表取締役 佐藤 裕,28 百万円,,,,
2024-08-01,リザーブ土地建物株式会社,その他,求人なし,埼玉県越谷市蒲生寿町17-7,1995,代表取締役 平山 哲雄,50 百万円,,,,
2024-08-01,株式会社松緑酒造,その他,求人なし,青森県弘前市大字駒越町58,1959,代表取締役 千田祐理子,10 百万円,,,,
