更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,株式会社ササヤマ,その他,求人なし,鳥取県鳥取市河原町布袋530-1,1972,代表取締役 笹山 勝,,,,99 百万円,,
2024-08-01,有限会社中島メリヤス機械,その他,求人なし,群馬県太田市吉沢町873-5,1969,代表取締役 深津 健一郎,,,,4 百万円,,
2024-08-01,株式会社初瀬屋,その他,求人なし,福岡県北九州市八幡西区黒崎1-5-14初瀬屋黒崎ビル 7Ｆ,1963,代表取締役 花田 紘一,,,,10 百万円,,
2024-08-01,飯伊森林組合,特殊法人・財団法人・その他団体・連合会,求人なし,長野県飯田市常盤町30飯伊森林組合 1Ｆ,1976,代表理事 林 和弘,,,,103 百万円,,
2024-08-01,株式会社勝原製作所,その他,求人なし,鳥取県鳥取市南栄町2,1965,代表取締役 勝原 章,,,,10 百万円,,
2024-08-01,下伊那生コン協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,長野県飯田市上郷飯沼521-1,1973,代表理事 米山 多朗,,,,10 百万円,,
2024-08-01,株式会社ジェイエイサービス,その他,求人なし,長野県飯田市長野原515,1984,代表取締役 久保田 幸宏,,,,15 百万円,,
2024-08-01,公益財団法人北海道環境財団,特殊法人・財団法人・その他団体・連合会,求人なし,北海道札幌市中央区北四条西4-1伊藤・加藤ビル 4Ｆ,1997,代表理事 小林 三樹,,,,,,
2024-08-01,皮革運送有限会社,その他,求人なし,長野県飯田市松尾新井6571-1,1979,代表取締役 樋口 恵美子,,,,15 百万円,,
2024-08-01,技建開発株式会社,その他,求人なし,長野県飯田市北方1313-2,1984,代表取締役 武井 清彦,,,,20 百万円,,
2024-08-01,三笠設備株式会社,その他,求人なし,長野県飯田市駄科1467-1,1974,代表取締役 木下 貴志,,,,22 百万円,,
2024-08-01,株式会社アスタリズム,その他,求人なし,福岡県北九州市八幡西区則松6-13-5,1992,代表取締役 富永 善久,,,,10 百万円,,
2024-08-01,株式会社九州工事工業,その他,求人なし,福岡県北九州市八幡西区割子川1-1-10坂元ビル 2Ｆ,1974,代表取締役 宮木 直隆,,,,14 百万円,,
2024-08-01,医療法人義翔会,その他,求人なし,福岡県北九州市八幡西区小嶺3-19-1,1955,理事長 江藤 義典,,,,"1,164 百万円",,
2024-08-01,株式会社山根特殊建設,その他,求人なし,鳥取県鳥取市千代水1-82,1970,代表取締役 山根 弘行,,,,10 百万円,,
2024-08-01,株式会社あすかインターナショナル,その他,求人なし,群馬県太田市飯塚町1080-3,1986,代表取締役 森山 賢真,,,,20 百万円,,
2024-08-01,栄和サインシステム株式会社,その他,求人なし,北海道石狩市新港南2-721-5,1963,代表取締役 我孫子 周,,,,34 百万円,,
2024-08-01,大旺工業株式会社,その他,求人なし,東京都千代田区神田東松下町17伊東ビル 3Ｆ,1984,代表取締役 柳 守彦,,,,10 百万円,,
