更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-07-01,有限会社大﨑建築,不動産仲介,1,【事業内容】土地造成、分譲販売及び不動産の売買、賃貸並びに仲介斡旋、管理建築物の設計、施工、請負及び工事管理家具、インテリアに関するコンサルティング家具、建材の製作、輸入及び販売,高知県須崎市吾井郷乙2553-1,1997,,15,5百万円,https://www.ohsaki-kenchiku.jp,,
2024-07-01,株式会社高一建設,ゼネコン,1,■事業内容：宮城県及び黒川郡内発注の土木工事・塗装工事の元請・下請負。民間工事においては、建屋解体工事・外構工事（設計・施工）を行っております。※土木工事業、とび・土木工事業、舗装工事業、解体工事業、建設工事業、銅構造物工事業、水道施設工事業、舗装事業,宮城県黒川郡大郷町土橋台畑11-1,1994,,20,20百万円,https://takakazu.com/,,
2024-07-01,有限会社ユバアート,設備管理・メンテナンス,1,■空調機器販売■空調設備工事■空調メンテナンス・保守■電気設備工事■フロンガス回収■エアコン分解洗浄,大阪府大阪市大正区南恩加島2丁目7番22号,1997,,6,3百万円,https://www.yubaart.com/,代表取締役 田中 正浩,
2024-08-01,株式会社Ｔ設計工房,建築設計事務所,2,■企業概要：私たちは都市や社会の一部で有る建築を美しい街並みとして形成し、使用する人にとって最良な空間計画と動線計画を追求することで、人々の生活に豊かさを貢献することを大切に設計をしています。■事業内容： ・建築物の設計及び建築工事監理・環境景観の計画設計及び研究の受託・建築士法第21条に示す下記業務 （1）建築工事契約に関する業務 （2）建築工事の指導監督 （3）建築物に関する調査 （4）建築に関する法令または条例等に基づく手続きの代理・前各号に附対する一切の事業,東京都港区南麻布2-14-13麻布山口ビル3F,1987,,6,24百万円,https://www.t-sekkei.co.jp/,,
2024-07-01,株式会社柿本工務店,内装・インテリア・リフォーム,1,新築工事、増改築工事、住宅リフォーム,大阪府守口市梶町2-25-16,,,,,http://e-kakimoto.com/,代表取締役 柿本 直哉,
2024-07-01,株式会社ヨドバシ建物,不動産管理,1,出店準備（用地取得や施設のテナント募集）から運営管理まで、グループ内の土地・建物、不動産をトータルに担当。＜グループ会社＞・株式会社 ヨドバシカメラ・株式会社 石井スポーツ・株式会社 ゴールドポイントマーケティング・株式会社 石井スポーツアドベンチャーズ・株式会社 ヨドバシリテイルデザイン・株式会社 ヨドバシデータサービス,東京都新宿区新宿5-3-1,1997,,20,,https://www.yodobashi.co.jp/company/,代表取締役社長 藤沢 和則,
2024-08-01,CRESS　FEED 株式会社,建築設計事務所,6,■企業概要：土木・建築設計関連・構造解析のエンジニアリングサービス会社です。■企業詳細：同社は、2002年にサンユテクノス株式会社（現 CRESS UNITE 株式会社）から分社化されて設立されました。海洋・港湾構造物設計、土木建築構造物設計、船体設計等の多種多様な設計業務、および、各種受託解析、人材派遣業務にて、顧客に幅広く技術提供を行っています。,東京都台東区柳橋2-19-6柳橋ファーストビル,2002,39.0,105,50百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,永原工芸株式会社,内装・インテリア・リフォーム,1,■事業内容：商業建築の設計及び施工 木造作工事 造作家具の製造及び取付 仕上工事全般、別注家具の設計及び製作 他店舗工事一式■事業の特徴：同社は確かな技術をもとに、これまで多くの施工、造作を行っています。最近では暖かい空間と楽しい時間をより身近に感じてほしいという想いで、住宅リフォームも手がけており、木に対する愛情を絶やさず、日夜、可能性の追求に励んでいます。空間を作る人、空間を使う人、すべての人が笑顔でいられることを実現しています。,大阪府豊中市緑丘4-34-1,1985,,26,10百万円,http://www.nghr.co.jp/,,
2024-08-01,有限会社アイエムジー,建築設計事務所,1,■事業内容 1.橋梁鉄骨構造物生産設計 2.橋梁保全業務 3.派遣業務,愛媛県今治市中堀4-7-7,2002,,19,300百万円,https://www.e-img.jp/,,
2024-07-01,池田建設株式会社,ゼネコン,7,■事業内容：・土木建築工事請負・土木建築設計、監理およびエンジニアリング ・都市計画に関する企画、調査、設計・経営コンサルティングおよび市場調査業務,東京都千代田区九段南2-4-16,1937,49.0,143,100百万円,http://www.ikeda-kk.co.jp/,,
2024-08-01,株式会社東横イン電建,不動産管理,5,■事業内容：東横イン電建の主要事業は、東横INNに特化したホテル建設です。具体的には、建築、電気、配管、空調などの設備工事に関わる設計と施工を行っています。グループとしてホテル運営をし、細やかなサービスを行う舞台を作り出すため、ホテルの建設を担当しています。ホテル建設のほか、経営と賃貸借、建築コンサルティングも行っているほか、避雷設備の販売と工事請負および維持管理にも携わっています。,東京都大田区新蒲田1-7-4聖徳ビル2F,1990,,131,100百万円,http://www.toyoko-inn-denken.com/,,
2024-06-01,株式会社クオリティライフ・コンシェルジュ,不動産管理,2,■マンション内コンシェルジュサービス ■宅配トランクルームサービス ■有料職業紹介事業 13-ユ-308146 ■一般労働者派遣事業 派13-307077＜グループ会社＞・九州警備保障株式会社・株式会社キューネット・株式会社シェヴ＜関連企業＞・株式会社再春館製薬所・医療法人桜十字病院,東京都港区芝5-13-15 芝三田森ビル4階,2002,,1000,9500万円,http://www.ql-c.co.jp/,代表取締役社長 西川 尚希,
2024-08-01,株式会社アメニティライフ,ディベロッパー,5,■事業内容： ・不動産開発事業・不動産賃貸・管理事業・駐車場開発事業・M&A事業,大阪府大阪市北区堂山町12-5,1991,,10,40百万円,https://www.kyoeigroup.co.jp/,,
2024-07-01,株式会社マスターピース,住宅（ハウスメーカー）,1,■事業内容当社は2001年の設立から19年。グループ社員一同が「お客様に最高傑作を」を合い言葉に、着実に歩みを進めてきた結果、今では秋田県内トップクラスの住宅着工実績を残せるようになりました。県内でのCMや当社マスコットキャラクターも根付き始めており、お客様から住宅新築購入のご相談をいただく機会が着実に増えております。当社の家づくりは、地域性を考慮して、「秋田で暮らす」ことを徹底的に考え、お客様が納得いただけるようなご提案や設計を心がけております。,秋田県秋田市山手台1-1-1,2001,39.3,42,10百万円,https://masterpiece-akita.jp/,,
2024-06-01,株式会社フィールドリサーチセンター,建設コンサルタント,3,■主な事業内容 ・建設資材流通価格、料金、工事費、施工単価等の調査・集計業務（※） ・各種刊行物の編集制作業務 ・広告代理店業務 （※）企業に対しての調査（BtoB）となります株式会社フィールドリサーチセンターは昭和35年に設立し、各種の市場流通実態調査業務、とりわけ建設資材価格、料金、工事費、施工単価等の調査・集計業務や、住宅分野における統計資料分析およびストック推計などの調査研究業務、各種刊行物の編集制作業務、積算システムサポート等の各種データ処理業務、広告代理店業務などを行っています。,東京都港区芝2-5-10芝公園NDビル3F,1960,,40,10百万円,https://eric.co.jp/,,
2024-08-01,株式会社デザインセンター,建築設計事務所,3,■建築企画■意匠設計■構造計画・設計■デザイン（3DCGプレゼンテーション）■不動産取引■建築工事・施工管理■RC事業支援【登録】・一級建築士事務所登録番号：北海道知事（石狩）第4939号・宅地建物取引業許可番号：北海道知事石狩（4）第7142号・特定建築工事業許可番号：国土交通大臣許可（特-29）第27038号,北海道札幌市豊平区豊平3条2丁目4-8 DCビル,2003,45.0,19,2000万円,https://d-center.jp/,代表取締役 竹中 志元,
2024-07-01,株式会社ジェイテック,プラントメーカー・プラントエンジニアリング,1,■事業内容： （1）設備の保守・保全（機械・電気・計装・制御・放射線モニタ類）（2）エンジニアリング・訓練・研究開発（3）プラント運転管理（4）建築土木工事業（5）放射線管理（6）品質保証・安全管理,青森県上北郡六ヶ所村大字尾駮字弥栄平1-108,2003,34.7,651,40百万円,http://www.j-tech66.co.jp/,,
2024-08-01,株式会社プラン・ドゥ,不動産仲介,6,一棟モノ収益マンションを専門に扱い、仕入れ、商品化し、新富裕層にコンサルティングを通じて販売、その後の管理までをワンストップで行っている不動産会社です。事業領域を明確に絞り込んでいるが故の専門性の高さを強みとしています。 商品：環八～国道 16 号線の間に位置する、中古・RC 造・一棟モノ収益マンション （1億～5億）顧客：『新富裕層』 年収 2000 万円以上、総資産 5000 万円以上。 親から引き継いだ資産ではなく、自らの力で地位を築いて来られた方。 収益不動産の販売／収益不動産のコンサルティング事業／中古物件のリフォーム・リノベーション事業／収益不動産の管理事業,東京都千代田区神田須田町1-1-9神田須田町スクエアビル5F,2003,29.0,49,10百万円,https://www.plan-d.co.jp/,,
2024-08-01,株式会社Ｌｉｖｅｎｕｐ　Ｇｒｏｕｐ,住宅（ハウスメーカー）,15,■事業内容：居住用不動産事業、収益用不動産事業※都内ハイクラスエリア（目黒区・世田谷区・港区等）を中心に、人気の住宅地エリアでの新築戸建住宅・投資用アパート開発をメインに事業展開しています。好立地×低価格帯の商品提供により他社との差別化を図り、創業以来黒字経営を続けています。2020年より新規事業として、仲介媒介事業も行っています。,東京都港区三田1-4-28三田国際ビル24F,2003,38.0,24,10百万円,https://livenup.co.jp/,,
2024-08-01,株式会社フージャースリビングサービス,不動産管理,6,■概要：東証プライム市場上場の株式会社フージャースホールディングス100％子会社です。マンション管理をメインに事業を展開しています。■事業内容：マンション管理事業、ビル管理事業、保険代理店事業、インテリア販売・リフォーム事業、ホテル運営事業,東京都中央区日本橋室町4-3-16柳屋太洋ビル 3F,2002,,287,100百万円,http://www.hoosiers.co.jp/livingservice/,,
2024-08-01,株式会社安藤・間,ゼネコン,32,■事業概要：1.土木建築その他工事の調査、測量、企画、設計、施工、監理、技術指導の請負、受託およびコンサルティング業務2.工事用品および機械器具の供給3.不動産取引および不動産、有価証券の保有ならびに利用4.土壌の調査・浄化工事の請負、廃棄物の収集、処理、処分等の事業およびこれらに関するコンサルティング業務5.地域開発、都市開発および環境整備等に関する企画、設計ならびにコンサルティング業務6.発電および電気、熱等エネルギーの供給事業およびこれらに関するコンサルティング業務,東京都港区東新橋1-9-1,2013,46.0,3300,"17,006百万円",https://www.ad-hzm.co.jp/,,プライム市場
2024-08-01,アクロージャパン株式会社,その他,無,,東京都千代田区神田鍛冶町3-8-2,2003,,,10 百万円,"Failed to retrieve page, status code: 410",代表取締役 與那原 一郎,
2024-08-01,日本イーテクノ株式会社,建築設計事務所,2,■事業内容： 電気・空調・換気・給排水衛生・防災・弱電設備の設計及び施工,東京都千代田区外神田2-7-1開花ビル5F,2003,,20,33百万円,https://e-techno.jp/,,
2024-08-01,株式会社新昭和リビンズ,内装・インテリア・リフォーム,2,■事業内容： 賃貸斡旋管理／不動産仲介／マンション管理／ビル管理／リフォーム／新規開拓新昭和リビンズは、新昭和グループの総合不動産事業を担う企業です新昭和グループは、「住宅・不動産事業」「建設事業」「エネルギー事業」の3つの事業を柱とした「住・総合建設」企業グループです。,千葉県木更津市東太田3-9-23,2002,,110,90百万円,https://e-livins.net/,,
2024-07-01,株式会社盛本構造設計事務所,設備管理・メンテナンス,4,■事業内容： 構造解析、構造設計、耐震診断愛知県岡崎市に本社を置く構造設計事務所です。2021年名古屋支社、2023年東京支社を開業し、2024年4月には大阪支社を開業いたしました。大手設計事務所、大手建設会社の大型案件も多く、たくさんのお客さまからご依頼をいただいています。,愛知県岡崎市井田町字1-8-1,1989,,57,100百万円,https://www.morimo-kozo.com/,,
2024-05-01,株式会社親宏建設,サブコン,1,■事業内容： ・自動車関連工場内建物メンテナンス工事・工場、店舗、住宅等の新築・改装（内外装）工事・土木工事、、建築物に関する設備工事・その他建築工事,愛知県豊田市上丘町八竜50-1,2015,53.0,10,20百万円,https://shinkou-llc.co.jp/,,
