更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,伸永電工株式会社,サブコン,求人なし,,愛知県名古屋市南区桜台1-7-3,1977,代表取締役 猪飼 達也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社スダック,サブコン,求人なし,,東京都港区芝3-42-1柴村ビル 2Ｆ,1989,代表取締役 鈴木 克安,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社長谷川,内装・インテリア・リフォーム,求人なし,,京都府京都市右京区西院久田町148,1968,代表取締役 長谷川 力也,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大永株式会社,サブコン,求人なし,,兵庫県神戸市兵庫区夢野町2-17大永マンション 1Ｆ,1971,代表取締役 岡田 正昭,65 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社高橋建築,建築設計事務所,求人なし,,三重県伊勢市小俣町湯田964-1ハイブリッジ湯田 101,1990,代表取締役 高橋 藤生,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社藤原装工団,サブコン,求人なし,,大阪府東大阪市友井5-4-5,1989,代表取締役 藤原 大,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社フナビキ工務店,サブコン,求人なし,,兵庫県神戸市兵庫区新開地4-1-12,1984,代表取締役社長 舟引 大資,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社カワムラ,設備管理・メンテナンス,求人なし,,大阪府大阪市西区新町4-12-8,1950,代表取締役 川村 耕一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社長野電気工業所,設備管理・メンテナンス,求人なし,,愛知県名古屋市南区千竈通3-8,1969,代表取締役 長野 義明,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中央保健工業社,設備管理・メンテナンス,求人なし,,京都府京都市右京区西院清水町65-4,1954,代表取締役 吉川 心太郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,神戸クリーナー興業株式会社,サブコン,求人なし,,兵庫県神戸市兵庫区和田宮通3-2-39,1974,代表取締役 小山 章,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,名宝電設工業株式会社,住宅設備・建材,求人なし,,愛知県名古屋市南区鳥山町1-50,1991,代表取締役 広田 淳一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社丸井鉄工所,プラントメーカー・プラントエンジニアリング,求人なし,,三重県伊勢市辻久留3-7-15,1969,代表取締役 丸井 崇生,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,太昭電設株式会社,設備管理・メンテナンス,求人なし,,兵庫県神戸市兵庫区西多聞通1-3-20,1980,代表取締役 岡田 敏男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社インテリアホソイ,内装・インテリア・リフォーム,求人なし,,京都府京都市右京区太秦小手角町20-70,1976,代表取締役 細井 和博,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中日イーシー,住宅設備・建材,求人なし,,愛知県名古屋市南区明治1-17-1,1980,代表取締役 須﨑 寛幸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コーホク,設備管理・メンテナンス,求人なし,,東京都港区新橋4-27-4新橋吉樹ビル 4Ｆ,1989,代表取締役 疋田 亨,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,奥建設株式会社,サブコン,求人なし,,三重県伊賀市山畑1411,1975,代表取締役 奥 眞治,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ナカジマ,内装・インテリア・リフォーム,求人なし,,大阪府大阪市西区南堀江4-30-32第3めぐみビル 1Ｆ,1979,代表取締役 田村 政夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ジャスト・プラン,建築設計事務所,求人なし,,東京都港区虎ノ門1-2-3虎ノ門清和ビル 6Ｆ,1988,代表取締役 高木 明,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本住建商事株式会社,不動産仲介,求人なし,,神奈川県横浜市青葉区青葉台2-2-5松本ビル 302,1980,代表取締役 間山 教彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,野口建設株式会社,住宅設備・建材,求人なし,,愛知県名古屋市南区道徳通2-29-1,1987,代表取締役 野口 淳,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
