更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者
2024-07-01,株式会社大翔,サブコン,3,■事業内容： ・法面工事の設計、施工、管理,滋賀県長浜市木之本町木之本2008-12,2006,,20,35百万円,https://sd-daisho.com,
2024-08-01,株式会社ＫＡＤｅＬ,建築設計事務所,1,■住宅／店舗の設計・デザイン・施工■住宅／マンション／店舗オフィス／クリニックのリノベーション・コンバージョン＜各種許認可＞■建築士番号：一級建築士事務所 大阪府知事登録（ ニ ）第21167号■宅建免許番号：大阪府知事（9）第30970号■建設業許可番号：大阪府知事 般-4 第105515号,【本社】大阪府羽曳野市野々上2丁目30-1【心斎橋店】大阪府大阪市中央区南船場4丁目5-8 RASTER ON SHINSAIBASHI 5Ｆ,1988,,33,1500万円,https://fukoku-h.co.jp/,代表取締役 黒瀬 安信
2024-07-01,株式会社凌霄,サブコン,1,■事業内容： 建築・土木工事一式、構造物取り壊し工事、研掃工事、各種コア・アンカー工事、内装工事 ほか ■ビジョン： 当社は、企業理念として徹底した顧客目線を掲げております。変化する環境、多様化するニーズ。当社はそれらをビジネスチャンスとして捉え、よりお客様のニーズに合った、高い技術の開発と他社にない発想の提案を目標に掲げてここまで進んでまいりました。今後も、プロフェッショナル集団として全社をあげて努力していく所存です。,北海道札幌市白石区中央二条3-6-24,2012,48.0,38,20百万円,https://ryosho.co.jp/ryosho/,
2024-07-01,田湯タナカ建設株式会社,建設コンサルタント,4,■事業内容：建設業のうち、一般土木建築工事業（建設工事・土木工事・解体工事、ゴルフ練習場）を展開しています。（1）建設、土木工事…特定建設業種（土木一式工事、とび・土木・コンクリート工事、ほ装工事、水道施設工事）、一般建設業種（建設一式工事、造園工事）を行っています。あらゆる建設・建築・土木工事（道路工事の他、農業土木・造成工事・客土工事・河川工事・草地整備・法面工事・砂防工事・駐車場等の外溝工事）に対応可能です。,北海道日高郡新ひだか町静内末広町3-4-22,1959,,31,40百万円,https://tayu-group.jp/,
2024-06-01,株式会社環境土木,設備管理・メンテナンス,1,■業務内容：主に公共工事を中心とした災害復旧工事、公営住宅造成工事、建築物補修工事、法面対策工事、道路舗装等を行っています。（工事詳細：土木工事、建築工事、とび・土工工事、石工事、鋼構造物工事、舗装工事、水道施設工事、解体工事、産業廃棄物収集運搬、産業廃棄物収集運搬）■企業理念：・持続可能な社会の実現・安心・安全・快適な地域社会づくり・地域社会への貢献・研鑽進歩をはかり、地域社会に貢献する・常に技術の向上に努め、創意と計画性をもって仕事にあたる・社会に認められる努力を惜しまず、社会が求め必要とする存在となることを目指す,福島県田村市都路町古道字休場37-1,1977,,20,20百万円,https://kankyo-doboku.com/,
2024-08-01,章栄管理株式会社,不動産管理,9,■事業内容：分譲マンションの総合管理、ダストコントロール事業、事務管理業務、設備管理業務、長期修繕計画作成、理事会・総会などの運営補助、提案など,広島県広島市中区中町2-16,1998,,58,20百万円,https://www.shoeikanri.co.jp/index.html,
2024-07-01,株式会社住宅工房創,内装・インテリア・リフォーム,2,■企業概要：ウィズは、水まわりや給湯器、外壁、内装リフォームなど、部分的なリフォームを専門的に行うリフォーム店です。専門店ならではの確かな提案と施工、そして安心の明確価格で、住まいの問題・課題を解決いたします。,広島県東広島市西条町御薗宇6225-2,2000,,,10百万円,https://www.reform-with.jp/,
2024-08-01,株式会社アプローチ,サブコン,4,■事業内容：アスファルト舗装、エクステリア、ガーデニング、外構工事、土木一般、造園、浄化槽設置、下水道工事、増築、リフォーム,岩手県紫波郡紫波町平沢長尾沢88-70,1994,,31,7百万円,https://www.approach-co.jp/,
2024-07-01,株式会社CVC,サブコン,2,■事業内容：総合建設業■事業の特徴：（1）解体事業（2）設計（3）リース・レンタル,東京都中央区銀座6-16-6-2F,2013,,50,60百万円,http://c-v-c.jp/,
2024-07-01,三ツ星ハウジング株式会社,内装・インテリア・リフォーム,6,■会社概要昭和21年創業の老舗「株式会社大橋（リフォームおおはし）」のリフォーム部門を引き継ぎ、2013年（平成25年）5月に設立し、運営しております。■事業内容以下リフォーム工事の請負業システムキッチン・システムバス・トイレ・洗面台・オール電化・外壁塗装・外壁張替・屋根塗装・増改築・耐震診断～補強・雨漏り診断～補修・太陽光発電・エクステリア・カーポート・テラス・サンルーム・玄関交換・間仕切り・給湯器・クロス貼替・襖貼替・障子貼替・畳表替え・水栓交換・水漏れ修理・鍵交換他,埼玉県児玉郡上里町大字七本木3652-2,2013,,26,9百万円,https://www.mitsuboshi-housing.com/,
2024-08-01,株式会社ヒトカラメディア,不動産仲介,12,下記のビジョン、バリューの実現を目指す「場づくりを通じた共創支援カンパニー」です。ビジョン：「都市」も「地方」も「働く」も「暮らす」も もっとオモシロくできる！バリュー：熱源を、ともにつくる企業の「働く場」と「働き方」にポジティブな変化が生じると、そこで働く「人や組織」、企業が拠点を構える「地域」にもポジティブな影響が波及します。多様なプロジェクトを手掛け、アプローチもアップデートし事業展開を行なっています。,東京都世田谷区北沢2-5-2下北沢ビッグベンビルB1F,2013,36.0,67,3百万円,http://hitokara.co.jp,
2024-07-01,日本公共収納株式会社,不動産仲介,1,■セルフストレージ事業の運営、施設開発、及びその付帯事業■コンピュータシステムの分析、設計等■宅地建物取引業（宅地建物取引業者 東京都知事(2) 第98211号）,東京都千代田区神田須田町1丁目22番地 パルウールオオノビル3階,2013,45.0,8,1億円,https://publicstorage.jp/,代表取締役 小原 毅也
2024-08-01,株式会社ハウスワン,住宅（ハウスメーカー）,7,■事業内容： 住宅の設計、施工、販売図面の作成、工事・工事管理、住宅ローンとライフプランに基づく見積もり、お客様にあった土地探し、難解な建物関係の申請、電気機器・家具アドバイス、アフターメンテナンス、ご近所の挨拶周り等、全てお任せください。,三重県松阪市大津町297-1,,,,,https://www.houseone.design/,
2024-08-01,株式会社キクチ,設備管理・メンテナンス,2,■事業内容：空調自動制御システムのメンテナンス及び計装工事、省エネルギーソリューション、ビル総合設備管理,東京都目黒区上目黒2-15-11,1974,,285,10百万円,http://www.kikuchi-corp.com/,
2024-08-01,株式会社植田,内装・インテリア・リフォーム,2,■事業内容： 一般建築塗装全般・防水・足場・各種リフォーム・外壁塗装：①足場仮設 ②高圧洗浄 ③養生 ④下地補修 ⑤外壁塗装（下塗り・中塗り・上塗りの３回） ⑥木部・鉄部塗装 破風、軒天、霧よけ、出窓、水切り、笠木、フードカバー、雨樋・屋根塗装：①足場仮設（外壁同時施工） ②高圧洗浄 ③棟板金補修（シーリング・釘浮き箇所打ち換え） ④屋根通気・排水処理（タスペーサー取り付け） ⑤屋根塗装（下塗り・中塗り・上塗りの３回）,京都府京都市東山区福稲柿本町27-106,2013,35.0,12,10百万円,https://ueda-up.com/,
2024-08-01,株式会社ベル,設備管理・メンテナンス,8,【事業内容】■清掃管理 / 日常清掃、硝子清掃、外壁クリーニング工事、ビニールクロスクリーニング、エアコン（本体・室外機）分解クリーニング、各種フィルタークリーニング、フード・換気扇等クリーニング、床面清掃、ブラインドクリーニング、照明器具クリーニング■鳩対策事業 / 鳥害対策提案･設計･施工･アフターフォロー、鳥害対策用品の販売斡旋■衛生管理 / 空気環境測定、水質検査、雑汚水管洗浄、飲料水槽清掃消毒管理、防虫防鼠防除、植栽剪定■設備保守 / 消防設備点検保守及び工事、空調設備点検保守及び工事、電気設備点検保守及び工事、給排水設備点検保守及び工事,大阪府東大阪市吉田下島14-7,1992,38.7,265,19百万円,https://ai-kando.jp/,
2024-07-01,有限会社高和,不動産仲介,1,■事業内容：総合不動産コンサルティング■同社について：元々は不動産の大家業を行っており、２年程前に現社長が事業継承を行ったタイミングで現在の宅建業を始めました。現在は戸建て、土地の販売を中心に賃貸仲介も一部行っています。■事業展開：今後は年間1名以上採用を実施し、2店舗目の事務所を作りたいと考えております。,群馬県太田市鳥山下町485-7,1994,,2,3百万円,https://www.asset-lounge.jp/,
