更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,三喜電設株式会社,プラントメーカー・プラントエンジニアリング,1,各種電気設備の設計・施工※東芝グループをはじめとする、大手電機メーカー系のプラント電気設備の電気工事設計・現場施工を行っております。建設業の許可：大阪府知事（特-3）第23595号登録電気工事業者：大阪府知事 第08-039号,大阪府大阪市住吉区長居東3-17-29,1967,代表取締役 吉本 潤,2500万円,,8,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社豊神,建設コンサルタント,求人なし,,大阪府大阪市淀川区東三国5-12-6三国中央ビル 201,2010,代表取締役 石田 隆裕,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,産業サービス販売株式会社,設備管理・メンテナンス,求人なし,,兵庫県西宮市西宮浜1-24,1975,代表取締役 池田 福典,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,朝日電池工事株式会社,サブコン,求人なし,,大阪府高槻市松川町6-3,1962,代表取締役 濱崎 哲也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,壽環境機材株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府大阪市北区天満1-19-4センチュリーパーク東天満 3Ｆ,1977,代表取締役 小山 富士夫,32 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,城陽冷熱株式会社,サブコン,求人なし,,大阪府大阪市中央区谷町7-3-4新谷町第三ビル 205,1973,代表取締役社長 永政 則之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,熱研産業株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市淀川区西中島4-2-26天神第一ビル 3Ｆ,1983,代表取締役 望月 秀俊,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西機設株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市浪速区日本橋東1-12-4大鳳ビル 201,1971,代表取締役 岩本 和雄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アサヒグループエンジニアリング株式会社,設備管理・メンテナンス,求人なし,,東京都墨田区吾妻橋1-23-1アサヒグループ本社ビル,1986,代表取締役 中村 準,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西電設株式会社,サブコン,求人なし,,大阪府豊中市庄内栄町4-18-17,1963,代表取締役 早川 信之,39 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社タメゴエンジニアリング,設備管理・メンテナンス,無,■空調用自動制御設備設計・施工、保守、販売業務、盤作成■空調・衛生・電気設備、設計、施工業務、盤作成■吸収式冷凍機・据付、施工、保守、販売業務■各種設備機器販売業務 2024年4月doda掲載求人より引用,大阪府大阪市淀川区木川東3-1-4,1975,代表取締役 山本 浩一,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大同電機製作所,プラントメーカー・プラントエンジニアリング,求人なし,,兵庫県尼崎市東本町3-1,1984,代表取締役 池田 雄二,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アトムエンジニアリング,住宅設備・建材,無,,大阪府池田市空港1-1-22,1969,代表取締役 鈴木 孔明,32 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本電検株式会社,サブコン,求人なし,,大阪府大阪市中央区高津1-3-5,1971,代表取締役 奥本 秀樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ペンタフ株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市北区大淀中1-7-10,1991,代表取締役 平田 喜彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,巧友テクノス株式会社,住宅設備・建材,無,,兵庫県川西市栄町14-18辻輪ビル 3Ｆ,1990,代表取締役 野村 大介,77 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,テクノアドバンス株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市淀川区西中島4-3-8新大阪阪神ビル 9Ｆ,1988,代表取締役 川村 学,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社カミヒサ,内装・インテリア・リフォーム,求人なし,,大阪府大阪市中央区大手通3-4-2,1957,代表取締役 久岡 宏,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,タイプランニング株式会社,内装・インテリア・リフォーム,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 商業施設関連事業（設計・施工・その他関連業務）■特定内装仕上工事業・特定建築工事業 許可番号：大阪府知事許可(特-3)第71087号百貨店、ショッピングセンターの大型・小型路面店舗の内装工事など。世界的有名ブランドストアから小規模な店舗まで幅広く手掛けています。 2022年11月doda掲載求人より引用,大阪府大阪市天王寺区寺田町2-5-16グランコンフォート 6Ｆ,1985,代表取締役 山廣 昌司,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,キデン工業株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府吹田市南吹田5-14-2,1993,代表取締役 春名 康祐,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大一電業社,住宅設備・建材,求人なし,,大阪府大阪市東淀川区下新庄6-10-16,1972,代表取締役 土田 康之,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社関西エンジニアリング,サブコン,求人なし,,大阪府大阪市淀川区野中南1-5-17,1974,代表取締役 本間 光世,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新電工株式会社,サブコン,求人なし,,大阪府吹田市南金田2-8-11,1994,代表取締役社長 玉木 亘,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ユニ・エンジニアリング,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府吹田市南金田2-28-26,1968,代表取締役 城 岳郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西エアポートテクニカルサービス株式会社,設備管理・メンテナンス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■関西国際空港の主要施設（滑走路、旅客ターミナルビル、給油施設等）の維持管理■技術支援業務（ベトナム ノイバイ空港 等）■滑走路、建築物等施設の維持管理及び改良に関する企画、調査、計画、設計及び施工管理■空港における道路交通の管理に関する業務■空港における航空燃料に係わる荷主業務の代行■空港施設、電気通信設備、情報処理システム等に関するコンサルタント業務、設計、施工管理及び工事 2023年7月doda掲載求人より引用,大阪府泉佐野市泉州空港北1航空会社北ビル 1Ｆ,1993,代表取締役 松井 光市,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社キョー・エイ,住宅設備・建材,求人なし,,石川県金沢市問屋町3-10,1969,代表取締役社長 高桑 弘道,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,小川建設工業株式会社,サブコン,求人なし,,富山県下新川郡朝日町三枚橋6小川建設工業（株） 1Ｆ,1949,代表取締役 岡田 富治,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社北川電機商会,設備管理・メンテナンス,求人なし,,富山県南砺市やかた61,1954,代表取締役 北川 智之,48 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新栄建設株式会社,ゼネコン,求人なし,,富山県中新川郡立山町大清水18,1950,代表取締役 高平 公輔,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,竹沢建設株式会社,土地活用,求人なし,,富山県射水市寺塚原836-3,1971,代表取締役 竹沢 由之,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,タカノ建設株式会社,ゼネコン,求人なし,,富山県富山市西中野町1-7-27タカノビル 2Ｆ,1919,代表取締役 髙野 二朗,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社でんそく,サブコン,求人なし,,富山県富山市八日町100,1972,代表取締役 櫻井 賤男,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,細川機業株式会社,ゼネコン,求人なし,,富山県中新川郡上市町正印1,1948,代表取締役 細川 泰郎,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,北陸機材株式会社,設備管理・メンテナンス,求人なし,,富山県富山市綾田町1-6-22,1961,代表取締役 川本 元裕,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社森山電機製作所,サブコン,求人なし,,富山県富山市今木町1-1,1944,代表取締役 森山 真人,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,黒部エムテック株式会社,設備管理・メンテナンス,求人なし,,富山県黒部市吉田200,1968,代表取締役 坂井 一夫,28 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,カナモリ技販株式会社,サブコン,求人なし,,富山県高岡市昭和町1-4-1,1979,代表取締役 金森 洋平,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社菅原電気,設備管理・メンテナンス,求人なし,,富山県高岡市佐野734,1972,代表取締役 菅原 昌昭,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社北陸フレッシュフーズ,建設・プラント・不動産業界,求人なし,,富山県富山市清水元町4-8,1993,代表取締役 平林 一秀,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,吉水建機株式会社,設備管理・メンテナンス,求人なし,,福井県福井市成和1-3002,1956,代表取締役 吉水 かおり,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三谷セキサン株式会社,住宅設備・建材,求人なし,,福井県福井市豊島1-3-1三谷ビル,1956,代表取締役社長 三谷 進治,"2,146 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,スタンダード
2024-08-01,株式会社道端組,ゼネコン,求人なし,,福井県福井市長本町209,1944,代表取締役 道端 健太,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サンワコン,建設コンサルタント,求人なし,,福井県福井市花堂北1-7-25,1949,代表取締役 奥居 淳,98 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,福伸工業株式会社,建設・プラント・不動産業界,求人なし,,福井県あわら市池口5-46,1978,代表取締役 玉田 康二,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,福井ボイラー工業株式会社,設備管理・メンテナンス,求人なし,,福井県福井市二の宮2-2-7,1980,代表取締役 柳澤 晋一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社テクノツルガ,プラントメーカー・プラントエンジニアリング,求人なし,,福井県敦賀市泉2-6,1973,代表取締役 小谷 浩一,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ダイナテック,設備管理・メンテナンス,求人なし,,福井県福井市問屋町1-20,1986,代表取締役 鈴木 雄一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,久保田工業株式会社,サブコン,求人なし,,和歌山県和歌山市狐島606,1951,代表取締役 髙矢 武行,38 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社冨士商会,プラントメーカー・プラントエンジニアリング,求人なし,,和歌山県和歌山市広瀬通丁2-30,1937,代表取締役 藤田 雅也,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社初島組,建設コンサルタント,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■土木建築鉄工総合請負業「プラントメンテナンス技術」と「土木・建築技術」を兼ね備えた企業です。地域に必要とされる産業基盤と社会基盤を総合的に創造しています。【拠点一覧】・本社・東燃ゼネラル石油作業所・海南作業所・三菱電線作業所・関西電力御坊火力作業所・奥工場・和歌山営業所・大阪営業所・御坊営業所・岩出営業所 2022年1月doda掲載求人より引用,和歌山県有田市初島町浜1071,1947,代表取締役 嶋田 英展,46 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,近畿電設工業株式会社,サブコン,求人なし,,和歌山県和歌山市松江北7-10-28,1953,代表取締役 吉川 幸夫,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社トリオ電気,設備管理・メンテナンス,求人なし,,和歌山県和歌山市吹屋町3-2,1971,代表取締役 野田 和生,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社テンコーライフ,ゼネコン,求人なし,,和歌山県田辺市上屋敷3-14-12,1951,代表取締役 玉置 佳範,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,松田電気工業株式会社,サブコン,求人なし,,奈良県大和高田市栄町4-33,1958,代表取締役 奥村 雅英,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新世紀建工株式会社,サブコン,求人なし,,奈良県香芝市下田西3-9-16,1965,代表取締役 山本 佳彦,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社酒井鉄工所,住宅設備・建材,求人なし,,大阪府堺市堺区出島西町3-26,1926,代表取締役 竹内 信雄,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大邦工業株式会社,ゼネコン,無,,東京都新宿区西落合1-1-13,1979,代表取締役 奈良田 亮司,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,フェイズ・プランニング株式会社,建築設計事務所,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■住宅・オフィス・店舗の設計・設計・施工・管理■店舗・集合住宅等のリフォーム・メンテナンス【本社】東京都千代田区九段北1丁目7番8号 2023年5月doda掲載求人より引用,東京都千代田区九段北1-7-8,1983,代表取締役 廣田 明,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社山口,不動産仲介,求人なし,,東京都渋谷区道玄坂2-3-2大外ビル Ｂ2,1964,代表取締役 岸上 家幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,近藤建設株式会社,住宅（ハウスメーカー）,無,,埼玉県ふじみ野市上福岡1-14-7,1974,代表取締役 近藤 俊幸,75 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新生電気工事株式会社,設備管理・メンテナンス,求人なし,,埼玉県さいたま市見沼区大字小深作918-4,1975,代表取締役 竹島 芳茂,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,エコサービス株式会社,設備管理・メンテナンス,求人なし,,埼玉県深谷市高島568-1,1991,代表取締役 青木 伸正,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社地研コンサルタンツ,建設コンサルタント,求人なし,,埼玉県川越市脇田本町11-27地研ビル,1977,代表取締役 田口 昌弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,丸和セレクトホーム株式会社,住宅（ハウスメーカー）,求人なし,,埼玉県北本市宮内3-159-1,1981,代表取締役 矢部 和幸,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大崎電設株式会社,サブコン,求人なし,,千葉県市原市八幡北町1-11-4,1978,代表取締役 武田 一衛,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本電子サービス株式会社,設備管理・メンテナンス,求人なし,,山梨県甲府市東光寺3-12-34,1974,代表取締役 飯田 幸人,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,松浦企業株式会社,サブコン,求人なし,,神奈川県横浜市鶴見区寛政町1-6,1950,代表取締役 松浦 泰隆,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,川又電機工事株式会社,サブコン,無,■総合電気工事（上下水道工事／建築・土木・営繕工事／空調換気工事／ 衛生工事など）と上記に付帯する一切の業務 2024年3月doda掲載求人より引用,神奈川県川崎市川崎区観音2-9-3川又ハイム 1Ｆ,1975,代表取締役 川又 竜志郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社光陽通信,サブコン,求人なし,,神奈川県横浜市戸塚区川上町799-2,1995,代表取締役 今泉 直孝,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,富士エンジニアリング株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,北海道札幌市中央区北六条西12-14,1967,代表取締役 坂口 吉穗,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ｅ－ＪＥＣ東日本株式会社,設備管理・メンテナンス,求人なし,,宮城県仙台市若林区六丁目字南97-3東インター斎喜ビル別館 3Ｆ,1977,代表取締役 能正 幸夫,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コサカ技研,建築設計事務所,求人なし,,青森県八戸市大字長苗代字上碇田56-2,1969,代表取締役 堀 秀敏,32 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,星野電気株式会社,設備管理・メンテナンス,求人なし,,新潟県新潟市中央区紫竹山3-2-7,1953,代表取締役 梅澤 勝志,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東邦技術株式会社,建築設計事務所,求人なし,,秋田県大仙市大曲丸子町2-13,1961,代表取締役 石塚 三雄,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社笹川建設,サブコン,求人なし,,新潟県糸魚川市大字中野口1-1,1988,代表取締役 笹川 幸江,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ＪＥＳＣＯ　ＡＫＵＺＡＷＡ株式会社,ゼネコン,求人なし,,群馬県高崎市問屋町2-4-6,1948,代表取締役 中﨑 克文,33 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,富士オート株式会社,不動産仲介,求人なし,,群馬県前橋市本町2-11-2富士オートビル 4Ｆ,1947,代表取締役 小暮 雅幸,96 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東康建設工業株式会社,ゼネコン,求人なし,,茨城県那珂郡東海村大字白方538-2,1978,代表取締役 澤畠 弘樹,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社タナックス,プラントメーカー・プラントエンジニアリング,求人なし,,茨城県ひたちなか市山崎64,1978,代表取締役 田中 安則,98 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,昭和電業株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府大阪市都島区都島本通1-18-5,1956,代表取締役 杣 俊平,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社興研,設備管理・メンテナンス,求人なし,,神奈川県厚木市上古沢1254,1974,代表取締役 松本 袈裟文,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,名古屋繊維工業株式会社,不動産仲介,求人なし,,愛知県名古屋市北区水草町1-9,1955,代表取締役 春日井 博司,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,兼新電機株式会社,住宅設備・建材,無,,愛知県名古屋市中川区柳森町907,1957,代表取締役 伊東 勇夫,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
