更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,株式会社サンショウ,住宅設備・建材,求人なし,東京都江戸川区南篠崎町5-10-1,1984,代表取締役 石塚 浩,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＡＳＥ－Ｎｅｔ,設備管理・メンテナンス,無,東京都江戸川区西葛西6-21-15,2000,代表取締役 古市 勝治,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■オフィス、データセンターのネットワークインフラ構築■情報配線および機器周りに関するメンテナンス・オペレーションサービス■入退室管理・ネットワークカメラなどフィジカルセキュリティの設計、構築 2022年4月doda掲載求人より引用
2024-08-01,株式会社森田工務店,サブコン,求人なし,東京都中央区日本橋箱崎町5-4アライズ第2ビル 3Ｆ,1963,代表取締役 髙橋 昌也,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,みなと電材株式会社,サブコン,求人なし,東京都中野区上高田4-31-7,2003,代表取締役 小林 一俊,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エクシーズ,建築設計事務所,求人なし,東京都台東区浅草橋2-2-10カナレビル 6Ｆ,1987,代表取締役 加藤 美弥子,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東京ファシリティサービス,設備管理・メンテナンス,求人なし,東京都世田谷区船橋6-6-10,1996,代表取締役 田村 正,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社Ｓ．Ｔ．Ｓ,不動産管理,求人なし,東京都新宿区戸山2-33-115戸山ハイツ,1990,代表取締役 平井 迅,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ナカモト,住宅設備・建材,無,東京都台東区台東4-23-10ヴェラハイツ御徒町 301,1995,代表取締役 中村 勝雄,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ●インテリア事業／商業施設の企画、設計、施工●サイン事業／屋内外広告物・展示会・イベント等の企画、設計、施工●住宅事業／住宅・マンション等の企画、設計、施工【許可・登録】●一級建築士事務所／東京都知事登録 第49914号●特定建設業／東京都知事許可(特-29) 第114753号●屋外広告業／都広(1) 第454号●宅地建物取引業／東京都知事(2) 第88958号 2022年7月doda掲載求人より引用
2024-08-01,金剛特殊化工株式会社,不動産仲介,求人なし,東京都板橋区泉町8,1939,代表取締役 金井 紀久代,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社グローバルコミュニティ,不動産仲介,求人なし,東京都新宿区新宿2-16-9新宿五城ビル 5Ｆ,1995,代表取締役 三瓶 則男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
