更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社カネコウ,サブコン,求人なし,埼玉県新座市野火止8-5-3,1992,代表取締役 田中 宏,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アスコム,住宅設備・建材,求人なし,福岡県福岡市南区長住2-1-34,2008,代表取締役 松岡 潔,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メイジン／株式会社ナミト （メイジングループ合同募集 ）,サブコン,2,■株式会社メイジン本社宮城県仙台市青葉区中央1-6-28 メットライフ仙台駅前ビル8F■株式会社ナミト本社愛知県名古屋市中区錦1-6-5 名古屋錦シティビル7F,2008,代表取締役 宮原 司 [株式会社メイジン],800万円 [株式会社メイジン],43.0,447,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,[株式会社メイジン／株式会社ナミト共通]■建設事業部建設領域における「建築」「土木」「空調衛生設備」「電気設備」等の各種施工管理および図面作成業務（許可番号：派04-300313）[株式会社メイジン]■飲食事業部,
2024-08-01,株式会社就学館,不動産仲介,求人なし,宮城県仙台市若林区荒町70-4,2008,代表取締役 髙橋 真由美,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,テクノメイト株式会社,プラントメーカー・プラントエンジニアリング,求人なし,静岡県静岡市駿河区宮竹1-1-8,2008,代表取締役 田中 航,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社コラボラボ,内装・インテリア・リフォーム,求人なし,兵庫県神戸市中央区波止場町2-8ＦＩＳＨＩＮＴＨＥＦＯＲＥＳＴ,2008,代表取締役 小林 祐介,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ビルネット千葉,不動産仲介,求人なし,千葉県千葉市中央区富士見2-3-1塚本大千葉ビル 9Ｆ,2008,代表取締役 石井 秀法,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社北恒不動産,不動産仲介,求人なし,北海道札幌市北区北十一条西4-2-21リー北11条ビルココロホーム北11条 2Ｆ,2005,代表取締役 阿部 孝光,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ミスタービルド埼玉,内装・インテリア・リフォーム,求人なし,埼玉県さいたま市大宮区天沼町1-442-2,1993,代表取締役 長竹 嘉昌,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＧＯ　ＳＴＲＡＩＧＨＴ,不動産管理,求人なし,東京都港区虎ノ門3-10-3,2008,代表取締役 咲本 慶喜,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社協和機工製作所,プラントメーカー・プラントエンジニアリング,求人なし,北海道札幌市白石区川下2115,1981,代表取締役 辻 信太郎,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社フィルド,建築設計事務所,求人なし,北海道札幌市中央区南二条西1-7-8山口中央ビル 4Ｆ,2008,代表取締役 齋藤 貴之,11 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エアシス,設備管理・メンテナンス,求人なし,兵庫県神戸市西区前開南町2-14-9リバーサイド安藤2 1Ｆ,2003,代表取締役 中島 忠,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社構造メンテ,ゼネコン,求人なし,兵庫県神戸市中央区脇浜町2-11-4レオ・脇浜 101,2003,代表取締役 加藤 昌幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社日経プラザ＆サービス,不動産管理,無,東京都千代田区内神田1-6-10笠原ビル 9Ｆ,2008,代表取締役 金丸 泰輔,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社尾張工業所,設備管理・メンテナンス,求人なし,愛知県名古屋市西区名駅2-4-3ウエスタンビル 1Ｆ,1974,代表取締役 若原 誠之,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,大川スティール株式会社,サブコン,求人なし,新潟県新潟市北区太郎代字山の下1523-3,2004,代表取締役 佐野 芳雄,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社イーディーオー,設備管理・メンテナンス,無,東京都台東区浅草橋4-2-2ユニゾ浅草橋四丁目ビル 2Ｆ,2005,代表取締役 武井 一義,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東邦,サブコン,求人なし,大阪府豊中市小曽根3-1-7,2004,代表取締役 東畠 邦和,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社テシオ,不動産仲介,無,埼玉県草加市北谷3-38-10英美ビル 1Ｆ,2001,代表取締役 小笠原 圭吾,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■空間デザイン事業■リフォーム・リノベーション事業■不動産仲介業■内装施工事業 2023年7月doda掲載求人より引用,
2024-08-01,東伸塗装株式会社,サブコン,求人なし,茨城県結城市大字結城11712-2,1964,代表取締役 比留間 国良,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アクシス株式会社,内装・インテリア・リフォーム,無,大阪府大阪市西区南堀江2-13-26アクシスビル,1996,代表取締役 彦坂 充宏,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◇収納家具・内装材の商品企画・開発・販売◇住宅設備用金物・人工大理石加工品の企画・開発・アセンブリ・販売◇内装家具の施工・取付 2022年10月doda掲載求人より引用,
2024-08-01,首都高ＥＴＣメンテナンス株式会社,設備管理・メンテナンス,無,東京都港区芝2-28-8,2007,代表取締役 大塚 明,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アイエス,内装・インテリア・リフォーム,求人なし,茨城県土浦市神立東1-24-13,2006,代表取締役 入江 謙吾,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ワールドスペース,設備管理・メンテナンス,求人なし,神奈川県横浜市中区麦田町4-110-6Ｔ＆Ｋビルディング 401,1998,代表取締役 井村 哲男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ユアテック,設備管理・メンテナンス,求人なし,東京都練馬区羽沢3-26-6アーデンハイム 1Ｆ,1994,代表取締役 中村 祐士,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アキ・アーキテクト,不動産仲介,無,東京都渋谷区神宮前3-7-1マリオンビル 3Ｆ,1995,代表取締役 秋草 達夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社勝俣工業,設備管理・メンテナンス,無,埼玉県北足立郡伊奈町大字小室7062-2,2006,代表取締役 勝俣 浩,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・エレベーターの部材製作・エレベーター据え付け工事及び改修・解体工事 2023年4月doda掲載求人より引用,
2024-08-01,ケイメディアフォース株式会社,サブコン,求人なし,神奈川県大和市林間1-8-11,2008,代表取締役 金子 政彦,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社坂本電気設備,サブコン,求人なし,大阪府大阪市城東区関目3-16-18,2008,代表取締役 坂本 博,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社関西クリエイト,サブコン,求人なし,大阪府大阪市淀川区西宮原2-7-53マルタビル 5Ｆ,2008,代表取締役 金 将史,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社レジェンドホーム,住宅（ハウスメーカー）,求人なし,神奈川県横浜市旭区笹野台1-29-7櫻井ビル 2Ｆ,2008,代表取締役 瀬田 和之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社山口設備,サブコン,求人なし,大阪府大東市野崎3-11-5,2008,代表取締役 山口 直樹,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ショウエイ,サブコン,無,神奈川県横浜市都筑区東方町1084,2008,代表取締役 今西 昇,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■タイル工事■タイル洗浄工事■超高圧洗浄工事■防滑工事■営業 2023年9月doda掲載求人より引用,
2024-08-01,株式会社ＨＯＰＥ,内装・インテリア・リフォーム,求人なし,大阪府大阪市西区江戸堀1-20-11肥後橋建和ビル 3Ｆ,2008,代表取締役 平野 剛,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
