更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,ダイコー通産株式会社,設備管理・メンテナンス,求人なし,愛媛県松山市姫原3-6-11,1975,代表取締役社長 河田 晃,151,583 百万円,37.6,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,スタンダード
2024-08-01,株式会社みやえい,設備管理・メンテナンス,求人なし,宮崎県宮崎市大字島之内9728-7,1969,代表取締役 安樂 和幸,151,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,コムシスプロミネント株式会社,設備管理・メンテナンス,求人なし,大阪府大阪市住之江区平林南2-10-12コムシス平林ビル 6Ｆ,1961,代表取締役 南谷 敏男,151,34 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社シービーケー,設備管理・メンテナンス,無,東京都中央区八丁堀1-13-10三神ビル,1961,代表取締役 上野 一郎,150,90 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■ビルメンテナンス部門／清掃管理業務、警備防災業務、設備管理、衛生管理業務■クリエイティブ部門／ディスプレイデザイン、イベントスペースデザイン、グラフィックデザイン■建装部門／店舗内装工事、法人施設内装工事、その他各種工事 2023年4月doda掲載求人より引用,
2024-08-01,株式会社レオパレス・リーシング,不動産仲介,無,東京都中野区本町3-31-11Ｄａｉｗａ 中野坂上ビル 3Ｆ,2006,代表取締役 石塚 義盛,150,400 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 『企業の寮・社宅管理運営に係る代行業務事業』■社宅の管理代行業務■不動産売買・仲介業務■転勤・異動者への一般賃貸物件の斡旋代行業務■退室清算立会い代行業務及び引越しサービス代行業務■保険代理店業務宅地建物取引業者免許 国土交通大臣免許（4）第7499号 2023年3月doda掲載求人より引用,
2024-08-01,株式会社サカタ製作所,住宅設備・建材,求人なし,新潟県長岡市与板町本与板45,1973,代表取締役 坂田 匠,149,13 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社トマック,ゼネコン,求人なし,東京都千代田区神田錦町2-1-8竹橋ビル 10Ｆ,1990,代表取締役 髙石 康哉,147,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,エルゴテック株式会社,設備管理・メンテナンス,無,東京都港区三田3-2-6Ｇスクエア三田 5Ｆ,1949,代表取締役 山下 博幸,147,92 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,愛知金属工業株式会社,住宅設備・建材,求人なし,愛知県春日井市大手田酉町3-13-18,1957,代表取締役 佐藤 正一,146,120 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社多田スミス,住宅設備・建材,求人なし,兵庫県朝来市和田山町久留引84-10,1969,代表取締役 長尾 英也,145,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,レイズネクスト総合サービス株式会社,不動産管理,求人なし,神奈川県横浜市磯子区新磯子町27-5,1994,代表取締役 稲垣 健二,144,85 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日信電設株式会社,サブコン,求人なし,埼玉県さいたま市浦和区上木崎1-15-13,1961,代表取締役 武藤 徹,143,45 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社熊栄電設,サブコン,求人なし,熊本県熊本市南区流通団地1-15-3,1971,代表取締役 日置 正信,143,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社フォステクノ四国,設備管理・メンテナンス,求人なし,徳島県板野郡板野町犬伏字東谷6-16,1950,代表取締役 藤岡 隆司,143,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社きたせつ,住宅設備・建材,求人なし,福岡県北九州市小倉北区赤坂5-6-27,1965,代表取締役社長 野見山 章敏,143,20 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ブルケン・ウエスト,住宅設備・建材,求人なし,福岡県宗像市徳重546-1,2014,代表取締役 坂元 浩,143,30 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,セイホク株式会社,住宅設備・建材,求人なし,東京都文京区本郷1-25-5合板ビル,1954,代表取締役 井上 篤博,142,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社伊藤組,不動産管理,求人なし,北海道札幌市中央区北四条西4-1,1961,代表取締役 伊藤 義郎,142,926 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社宮本工業,内装・インテリア・リフォーム,求人なし,和歌山県和歌山市西浜1660-50,1961,代表取締役 宮本 哲治,142,47 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ケイアイプランニング株式会社,内装・インテリア・リフォーム,求人なし,愛知県名古屋市中村区名駅2-37-21東海ソフトビル 4Ｆ Ｃ,2018,代表取締役 堀口 幸昌,141,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社日本空調東北,設備管理・メンテナンス,求人なし,宮城県仙台市太白区郡山5-14-17,1977,代表取締役 藤岡 克己,140,65 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,東邦建株式会社,設備管理・メンテナンス,求人なし,栃木県佐野市越名町2041-7,1946,代表取締役 竹内 隆司,140,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ジャパンパイル基礎工業株式会社,サブコン,求人なし,東京都中央区日本橋箱崎町36-2Ｄａｉｗａリバーゲート,1987,代表取締役 馬場 修身,140,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,安藤ハザマ興業株式会社,住宅設備・建材,求人なし,東京都江東区亀戸1-38-4朝日生命江東ビル,1970,代表取締役 田渕 勝彦,139,152 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社オープンハウス・リアルエステート,ディベロッパー,求人なし,東京都千代田区丸の内2-7-2ＪＰタワー 20Ｆ、21Ｆ,2011,代表取締役 福岡 良介,139,101 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,北電技術コンサルタント株式会社,建設コンサルタント,求人なし,富山県富山市牛島町13-15百川ビル 5、8Ｆ,2001,代表取締役 橋本 学,137,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＦＰコーポレーション,住宅設備・建材,求人なし,北海道札幌市東区北四十二条東15-1-1栄町ビル,2009,代表取締役 市村 洋一,137,400 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,シンプロメンテ株式会社,設備管理・メンテナンス,無,東京都品川区東大井2-13-8ケイヒン東大井ビル 3Ｆ,2017,代表取締役 内藤 秀雄,137,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■店舗・施設の設備・機器及び内外装等の修理・修繕を行うトータルメンテナンスサービス業 2021年11月doda掲載求人より引用,
2024-08-01,物林株式会社,建築設計事務所,求人なし,東京都江東区新木場1-7-22新木場タワー6・7Ｆ,1937,代表取締役 淡中 克己,136,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,沖縄菱電ビルシステム株式会社,不動産管理,求人なし,沖縄県那覇市久茂地1-3-1久茂地セントラルビル内,1997,代表取締役社長 長瀬 英司,136,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社プロロジス,ディベロッパー,求人なし,東京都千代田区丸の内2-7-3東京ビルディング 21Ｆ,2002,代表取締役 山田 御酒,136,10 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,佐藤工業株式会社,ゼネコン,求人なし,福島県福島市泉字清水内1,1948,代表取締役 八巻 恵一,135,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,野村建設工業株式会社,ゼネコン,求人なし,大阪府大阪市中央区高麗橋2-1-2高麗橋野村ビルディング,1989,代表取締役 金子 徹,134,300 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
