更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-06-01,株式会社ユニテック,サブコン,1,■企業概要：当社は、2018年に設立して以降は、電気工事のプロ集団として日々技術を追求し、一歩一歩確実に成果を納めながら信用と信頼を積上げてまいりました。現在、商工会議所をはじめとした経済団体にも加盟させていただき、地域に根を張り、地域の方々に信頼いただける仕事を続けることで、支えていただいております。■事業内容： ・空調設備工事・高圧受電設備工事・一般電気設備工事・保安管理事業・産業用太陽光発電設計施工,千葉県成田市中台2-22-1,2018,5百万円,,9,https://unitec-narita.jp/info/,,
2024-07-01,株式会社日本ビルドテック,土地活用,4,【事業用建物の将来性】 同社グループの株式会社日本サブリースは、主に企業向け事業用建物に特化した独自の土地活用システムを導入しており、創業以来積み重ねてきたノウハウを元に、入居率は98％をほぼ変動なく推移しております。 また、現在ではコロナ禍によって、都心部の大きなオフィスは形骸化し、その近郊で自社の建物を建てる企業が増加していることから、同社の事業用建物を注文する企業が増加傾向にあります。特に製造メーカー会社等、自社製品のための倉庫を必要としているような企業には、同社の事務所兼倉庫の建物は需要があるため、今後も安定的な受注が見込めます。,大阪府大阪市東成区東小橋1-11-2,2018,50百万円,,10,https://sub-lease.co.jp/business/construction/,,
2024-08-01,株式会社ＲＥＲＩＳＥ,不動産仲介,19,■不動産仲介■土地売買及び仲介業■顧客・パートナー開拓■新規事業戦略立案■企業コンサル【登録・免許番号】宅地建物取引業 東京都知事（1）第102928号【受賞歴】2023年度 ベストベンチャー100選出（イシン株式会社調べ）2023年度 日本における「働きがいのある会社」若手ランキング3位（Great Place To Work Institute Japan調べ）,東京都新宿区西新宿2-6-1 新宿住友ビル37F,2018,1000万円,29.0,120,http://rerise.co/,代表取締役 田口 大志,
2024-07-01,株式会社Ｏｃｅａｎ　ｅｓｔａｔｅ,不動産仲介,1,■事業内容： ・不動産再販業・不動産仲介業・不動産管理業・リノベーション事業,東京都中央区築地2-10-26F,2018,10百万円,,5,https://ocean-estate.jp/,,
2024-05-01,ヒサマツエンジニアリング株式会社,サブコン,3,■事業内容・特徴：当社は、代表者のオルガノ株式会社に約30年間勤務していた経験を活かし、2018年4月に独立創業しました。水処理関係の制御盤製造、電気計装計画設計などのエンジニアリングおよび付随する電気工事がメインで、プラント事業のシステム設計等も手掛けています。,茨城県猿島郡境町大字長井戸247,2018,23百万円,,39,https://hisa-eng.com/,,
2024-07-01,株式会社ｄｉｆｆ,土地活用,4,私たちはデザイナーズマンション「trias」を軸とし、住む人の人生を好転させる住まいを提供する不動産開発会社です。代表の古川は、”つらかった営業時代、家賃15万円のデザイナーズマンションに引っ越し、環境を変化させることで自分自身も変えることができた”という実体験から、環境を変えることは人の人生が大きく変わることだと感じ、『仕事も遊びも夢中になれる場所』というコンセプトのもと「trias」のブランドを広げてきました。,東京都渋谷区桜丘町10-4モドマルシェ渋谷桜丘 8F,,,,,https://diff.co.jp/,,
2024-06-01,株式会社ネクサス・アールハウジング,内装・インテリア・リフォーム,1,■事業内容：不動産売買・仲介、不動産コンサルティング、分譲住宅事業、住宅リフォーム事業、会員制住宅メンテナンス事業、海外不動産事業 他,千葉県船橋市本中山5-10-17,2007,,,,https://hikarinobe.com/,,
2024-07-01,株式会社裕新総業,内装・インテリア・リフォーム,1,■事業内容： ・電気工事・内装工事・店舗工事・原状回復・外構工事・住宅工事全般（修理・補修） ■ビジョン： 当社は、宇都宮市を中心に北関東エリアで業務を行っています。そんな当社の使命は、お客様の想いに応える仕上がりをお届けすること。そのためにも、・完全自社施工・幅広い建許による対応力・『＋α』のご提案力にこだわっています。店舗やオフィス、戸建住宅などの電気工事や内装の改装・改修などのご依頼を承っています。,栃木県宇都宮市石井町3373-14,,,,6,https://www.yushinsougyo.com/,,
2024-08-01,株式会社Ｙ’ｓ建築,内装・インテリア・リフォーム,3,■事業内容：各種リフォーム一式、リノベーション当社ではマンション、住宅リフォーム、リノベーション、内装工事、スケルトン工事、外構工事などを名古屋市内を中心に手がけております。,愛知県名古屋市守山区御膳洞1517‐3,,1百万円,,4,https://ys-kenchiku.jp/,,
2024-06-01,ラピアスデザイン株式会社,住宅（ハウスメーカー）,2,当社は、住宅・店舗・外構等のデザイン・設計・施工やリフォーム・リノベーションを請け負う会社です。「安心」・「安全」・「快適」の３つの要素をデザインの中核と捉え、お客様に「家」のその先にある「暮らし」を提供しております。■事業概要：・住宅・店舗・外構等のデザイン・設計・施工・リフォーム・リノベーション・WEB・出版物の企画・デザイン,三重県津市安濃町東観音寺384-3,2018,5百万円,,4,https://www.lapias-design.com/,,
2024-08-01,株式会社こころ建築工房,住宅（ハウスメーカー）,2,■事業内容：・中大規模木造建設・新築工事請負業・設計事務所（プランニング、確認申請、長期優良住宅申請、低炭素住宅申請、許容応力度計算、耐震計算）・建築工事業・リフォーム工事請負業,大阪府堺市堺区向陵中町3-4-24,2018,80百万円,,21,https://kokoro-kenchikukobo.net/index.html,,
