更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,上場市場名
2024-08-01,ＮＹＣ株式会社,経営・戦略コンサルティング,2,■事業内容： 中小企業投資/経営・戦略に係るコンサルティング業務／事業承継・M＆A等に係るコンサルティング業務／M＆Aアドバイザリー業務等,東京都中央区新川1-6-11,2021,,30.0,6,https://nycinc.jp/,3百万円,
2024-08-01,株式会社ベネフィットＭ＆Ａコンサルタンツ,財務・会計アドバイザリー（FAS）,2,■事業内容：・M&A並びに事業継承仲介事業・不動産仲介事業・生命保険・損害保険代理店■経営方針：01：常に顧客満足度向上を目指し、最高品質のサービスを顧客に提供します。02：顧客満足度向上は会社の発展に直結し、社員満足度向上に繋がります。03：社員は常に礼節を尊び、信義に則り、法律を遵守します。,大阪府大阪市中央区南船場2-4-8,2021,,32.0,23,https://www.bmac.co.jp/,50百万円,
2024-08-01,弁護士法人ＡｄＩｒｅ法律事務所,特許事務所・弁理士事務所,5,＜事業内容＞■債務整理（任意整理、自己破産、民事再生、過払金返還請求 など）■交通事故トラブル、家事事件・労働事件の法的支援 ■医療分野への法的支援（B型肝炎の給付金請求 など） ■その他一般民事・商事 など,東京都豊島区東池袋3-1-1サンシャイン60,2022,,,1077,https://www.official.adire.jp/,,
2024-07-01,株式会社ＫＩＣ,経営・戦略コンサルティング,3,■事業内容： ・IPOコンサルティング・経営コンサルティング・M&Aアドバイザリー・経営顧問ガバナンス／内部統制構築支援・不正調査 等,東京都千代田区有楽町1-7-1,2022,,,8,https://k-ic.co.jp/,25百万円,
2024-08-01,株式会社Ｍ＆Ａバリューエンジニアリング,財務・会計アドバイザリー（FAS）,4,■事業内容： M&A仲介事業,東京都中央区日本橋3-9-1日本橋三丁目スクエア2F,2022,,30.0,10,https://ma-ve.co.jp/,1百万円,
2024-08-01,ＦＲＡＣＴＡＬ株式会社,経営・戦略コンサルティング,4,■事業内容：（1）収益改善（2）マーケティング（3）人材育成・採用（4）DX推進（5）資産運用（6）事業継承私たちは、世界水準の経営ノウハウを医療現場へお届けする各領域の最高峰のエキスパートによって組成されたチームです。 案件ごとに最適チームを組成し、6つの領域を得意分野とします。,東京都中央区銀座1-12-4N＆E＿BLD．7F,,,,3,https://fractal-inc.jp/index,1百万円,
2024-07-01,株式会社Realrise,経営・戦略コンサルティング,5,■事業内容： ・BtoBマーケティング・セールス支援・市場に適合する営業戦略の策定・構築・実行・マーケティング・リサーチ経営情報の調査・事業戦略構築・オペレーション改善,東京都中央区日本橋小伝馬町14-10アソルティ小伝馬町Liens5F B,2022,,,55,https://realrise-sales.jp/,5百万円,
2024-08-01,Ｈｏｒｉｚｏｎ　Ｏｎｅ株式会社,財務・会計アドバイザリー（FAS）,21,■事業内容： コンサルティング、BPOサービス、人材マネジメントサービス,東京都港区虎ノ門4-1-1,2022,,,250,https://www.horizonone.co.jp/,100百万円,
2024-08-01,株式会社エフ・ジェイビジネスソリューションズ,経営・戦略コンサルティング,5,■事業内容： 総務庶務、財務経理、人事労務、賃貸事業、商業事業、建設工事及び保守管理事業、ホテル事業等に関するシェアードサービスの提供、業務運用,福岡県福岡市博多区下川端町2-1,2022,,,69,https://fjbs.co.jp/,9百万円,
2024-07-01,税理士法人 兵藤会計,税理士法人,1,■法人税・所得税・消費税の申告書、各種届出書の作成■譲渡、贈与、相続の事前対策、申告書の作成■税務調査の立会い■その他税務判断に関する相談■試算表、経営分析表の作成■総勘定元帳の記帳代行■決算書の作成■会計処理に関する相談■経営計画、資金繰り計画の相談、指導■各種書類の作成,愛知県豊橋市佐藤2丁目16-26,2022,代表社員 兵藤 博昭,,10,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010594298/: 'NoneType' object has no attribute 'get',,
