更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,福知山都市ガス株式会社,ガス,求人なし,京都府福知山市字奥野部6-8,2012,代表取締役 隅田 政志,300 百万円,,,,,
2024-08-01,リープトンエナジー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,無,兵庫県神戸市中央区相生町1-2-1東成ビルディング 6Ｆ,2012,代表取締役 周 鳴飛,499 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ●太陽光発電システムの開発・販売●太陽電池モジュールの製造・販売●太陽光発電システム取付部材（架台・基礎杭）の製造・販売●太陽光発電所の設置・管理・メンテナンス自社で太陽電池モジュールの製造～販売までを手掛ける国内でも珍しいメーカー。脱炭酸社会へ向けてニーズの高い商品を扱い世界各国と取引があります。 2023年8月doda掲載求人より引用,
2024-08-01,エコ・キュレーション・ジャパン株式会社,電力,求人なし,東京都港区六本木4-2-35,2012,代表取締役 根布 和明,9 百万円,,,,,
2024-08-01,株式会社エコロミ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都千代田区神田錦町3-23-1メットライフ神田錦町ビル 8Ｆ,2012,代表取締役 小峯 充史,40 百万円,,,,,
2024-08-01,パシフィコ・エナジー株式会社,石油・資源,求人なし,東京都港区六本木3-2-1六本木グランドタワー,2012,代表取締役 松尾 大樹,100 百万円,,,,,
2024-08-01,株式会社イクト,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,静岡県袋井市山科2886-2,2012,代表取締役 平井 辰憲,20 百万円,,,,,
2024-08-01,日本未来エナジー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,宮城県仙台市泉区八乙女中央2-5-7,2012,代表取締役 増田 裕一郎,30 百万円,,,,,
2024-08-01,株式会社トッパーサン・ジャパン,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,兵庫県神戸市北区山田町小部字一ツ鍬山10-12,2012,代表取締役 羅 家慶,55 百万円,,,,,
2024-08-01,株式会社ジャパンエコテクニカルズ,新エネルギー（太陽光・風力・地熱・バイオなど）,無,福岡県福岡市中央区浄水通2-1,2012,代表取締役 木下 能嗣,10 百万円,,,,,
2024-08-01,マルヰガス株式会社,ガス,求人なし,埼玉県さいたま市緑区道祖土3-15-8,1953,代表取締役 川島 剛,10 百万円,,,,,
2024-08-01,ＥＮＥＯＳリニューアブル・エナジー株式会社,石油・資源,求人なし,東京都港区六本木6-2-31六本木ヒルズノースタワー 10Ｆ,2012,代表取締役 竹内 一弘,"28,735 百万円",,,,,
2024-08-01,株式会社九州エネコ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,熊本県熊本市中央区九品寺2-8-21第2木村ビル 2Ｆ,2006,代表取締役 五藤 裕樹,10 百万円,,,,,
2024-08-01,株式会社スタン,ガス,求人なし,徳島県徳島市川内町平石流通団地21,2002,代表取締役 近藤 紳一郎,20 百万円,,,,,
2024-08-01,株式会社プレジャーハウス,新エネルギー（太陽光・風力・地熱・バイオなど）,無,愛知県名古屋市中区錦3-23-18ニューサカエビル6Ｆ,2008,代表取締役 布施 浩,10 百万円,,,,スマートハウス事業・太陽光発電システム・蓄電池システムの設計・販売・施工及びメンテナンスオール電化システム（電気温水器・エコキュート・IHクッキングヒーターなど）及び給湯器（ヒートポンプ給湯暖房機、石油給湯器など）・浴室乾燥機の販売・施工並びにメンテナンス空調機器の販売、施工及びメンテナンス浴室・キッチン・洗面台等の住宅リフォーム通信ネットワークソリューション事業営業代行サービス 他 2024年4月doda掲載求人より引用,
2024-08-01,千葉エコ・エネルギー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,千葉県千葉市稲毛区弥生町2-15,2012,代表取締役 馬上 丈司,10 百万円,,,,,
2024-08-01,いぶきグリーンエナジー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,滋賀県米原市大野木1751-5,2012,代表取締役 山室 智司,50 百万円,,,,,
2024-08-01,株式会社グッドフィールド,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,広島県広島市東区曙4-4-8曙センタービル 802,2012,代表取締役 三宅 俊介,1 百万円,,,,,
2024-08-01,株式会社山善,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,愛知県犬山市大字前原字前畑14-1,2013,代表取締役 村上 慶太郎,20 百万円,,,,,
2024-08-01,Ｓｐａｑ株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,埼玉県越谷市川柳町2-395,2012,,1 百万円,,,,,
2024-08-01,ダイモクエネルギーカンパニー株式会社,電力,求人なし,千葉県成田市花崎町814,2012,代表取締役 大木 裕信,10 百万円,,,,,
2024-08-01,二和電設株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,千葉県鎌ケ谷市初富808-471,2012,代表取締役 齊藤 潤輔,10 百万円,,,,,
2024-08-01,ＩＴＫソーラー北海道株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,北海道札幌市中央区北四条西4-1伊藤・加藤ビルディング伊藤ビルディング 8Ｆ,2012,代表取締役 阪 豊彦,50 百万円,,,,,
2024-08-01,株式会社アドバンス,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都千代田区神田須田町1-16-5ヒューリック神田ビル 4Ｆ,2012,代表取締役 渋谷 君美義,99 百万円,,,,,
2024-08-01,株式会社Ａ－スタイル,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,埼玉県川口市南鳩ヶ谷1-16-4,1996,代表取締役 遠藤 博,25 百万円,,,,,
2024-08-01,エネルギー環境設計株式会社,ガス,求人なし,東京都千代田区永田町2-17-5,2001,代表取締役 加治 均,10 百万円,,,,,
2024-08-01,コスモルブサービス株式会社,石油・資源,求人なし,和歌山県海南市下津町下津27-1,2007,代表取締役 城山 秋人,5 百万円,,,,,
2024-08-01,株式会社ウインドテックエンジニアリング,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,三重県津市観音寺町604-79,2008,代表取締役 村上 貴允,20 百万円,,,,,
2024-08-01,株式会社北電社,石油・資源,無,埼玉県入間郡三芳町大字藤久保830,2002,代表取締役 中里 良平,10 百万円,,,,,
2024-08-01,有限会社カミヤ設備サービス,ガス,求人なし,愛知県岡崎市宇頭町字下山田9-1,1991,代表取締役 神谷 育由,3 百万円,,,,,
2024-08-01,株式会社大崎クリエーション,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,宮城県大崎市古川七日町11-1なのかまち交流プラザ 302,1993,代表取締役 佐々木 貴之,20 百万円,,,,,
2024-08-01,カンキョー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都練馬区東大泉7-21-39イズミ第一 102,1997,代表取締役 大塚 博久,25 百万円,,,,,
2024-08-01,株式会社クオリティーライフ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,愛知県名古屋市中村区太閤4-1-18フタバビル 2Ｆ,2009,代表取締役 原田 誠,1 百万円,,,,,
2024-08-01,株式会社大林クリーンエナジー,石油・資源,求人なし,東京都港区港南2-15-2,2012,代表取締役 菊谷 晋吾,10 百万円,,,,,
2024-08-01,株式会社ワイヤーエナジー,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,徳島県徳島市東船場町1-13-3Ｆ,2012,代表取締役 浦野 広樹,30 百万円,,,,,
2024-08-01,有限会社エポック機械,電力,求人なし,神奈川県横須賀市池田町4-1-9,2001,取締役 髙橋 真一,3 百万円,,,,,
2024-08-01,Ａｇｇｒｅｋｏ　Ｊａｐａｎ株式会社,電力,求人なし,東京都千代田区丸の内1-6-5丸の内北口ビルディング9ＦＷｅＷｏｒｋ内,2011,代表取締役 ヴィンセント・ルリー,33 百万円,,,,,
2024-08-01,有限会社都市電気,石油・資源,無,埼玉県越谷市大字袋山1915-21,2005,代表取締役 佐藤 俊行,3 百万円,,,,,
2024-08-01,株式会社エバークラフト,エネルギー（電力・ガス・石油・新エネルギー）業界,求人なし,愛知県清須市春日中沼20,2012,代表取締役 村本 健,,,,,,
2024-08-01,株式会社大千,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都あきる野市油平217-10,2012,代表取締役 大野 俊輔,3 百万円,,,,,
2024-08-01,しずおか未来エネルギー株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,静岡県静岡市葵区黒金町12-5丸伸ビル,2012,代表取締役 服部 乃利子,7 百万円,,,,,
2024-08-01,株式会社パネイル,電力,求人なし,東京都中央区東日本橋2-28-4ＣＥＴビル 2Ｆ,2012,代表取締役 山西 加織,10 百万円,,,,,
2024-08-01,美環ソーラーバレイ株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,徳島県美馬市脇町木ノ内3788-2,2012,代表取締役 喜多 輝光,50 百万円,,,,,
