更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,上野油業株式会社,石油・資源,求人なし,,岡山県倉敷市玉島八島1302,1961,,25 百万円,,,,代表取締役 上野 洋輔
2024-08-01,九石プロパンガス株式会社,ガス,求人なし,,福岡県直方市大字上境2742-1,1959,,25 百万円,,,,代表取締役 角田 恭三
2024-08-01,倉敷運輸株式会社,石油・資源,求人なし,,岡山県倉敷市水島海岸通2-1-48,1953,,20 百万円,,,,代表取締役 酒井 忠之
2024-08-01,直方ガス株式会社,石油・資源,求人なし,,福岡県直方市新町3-3-10ここちビル 2Ｆ,1965,,30 百万円,,,,
2024-08-01,酒津商事株式会社,石油・資源,求人なし,,岡山県倉敷市平田831-1,1971,,10 百万円,,,,代表取締役 三宅 顕隆
2024-08-01,有限会社倉田電気工事商会,石油・資源,無,,岐阜県高山市桐生町3-201,1971,,5 百万円,,,,代表取締役 倉田 英明
2024-08-01,大内田産業株式会社,ガス,求人なし,,福岡県飯塚市川津351-1,1961,,30 百万円,,,,代表取締役 大内田 仁嗣
2024-08-01,九州酸素株式会社,石油・資源,求人なし,,福岡県飯塚市目尾398,1940,,50 百万円,,,,
2024-08-01,株式会社九酸ガス住設,石油・資源,求人なし,,福岡県飯塚市目尾398,1976,,10 百万円,,,,代表取締役 有吉 慶祐
2024-08-01,株式会社シンエイ溶工,石油・資源,求人なし,,埼玉県熊谷市広瀬123,1976,,10 百万円,,,,代表取締役 茂木 俊宏
2024-08-01,株式会社飯塚電設,石油・資源,求人なし,,福岡県飯塚市大日寺1319-7,1987,,30 百万円,,,,代表取締役社長 坂口 天志
2024-08-01,株式会社福島オーツー,ガス,求人なし,,埼玉県熊谷市石原1711-1,1952,,10 百万円,,,,代表取締役 福島 俊則
2024-08-01,下妻液化ガス株式会社,ガス,求人なし,,埼玉県深谷市上柴町西1-18-3,1961,,20 百万円,,,,代表取締役 下妻 慶悟
2024-08-01,株式会社しんかい,ガス,求人なし,,岐阜県関市神明町1-1-3,1951,,10 百万円,,,,代表取締役 新海 正美
2024-08-01,合同ガス株式会社,ガス,求人なし,,福岡県田川市大字伊田2824,1968,,10 百万円,,,,代表取締役 園 明夫
2024-08-01,共栄液化瓦斯株式会社,ガス,求人なし,,岐阜県中津川市千旦林814-2,1965,,40 百万円,,,,代表取締役 宮川 直明
2024-08-01,株式会社日光溶材,石油・資源,求人なし,,埼玉県川口市領家1-17-2,1971,,10 百万円,,,,代表取締役 小林 克徳
2024-08-01,朝日興産株式会社,石油・資源,求人なし,,埼玉県川口市栄町2-3-12,1967,,19 百万円,,,,代表取締役 朝日 恵子
2024-08-01,丸喜石油株式会社,石油・資源,求人なし,,岐阜県美濃市極楽寺331-1,1972,,30 百万円,,,,代表取締役 村下 彰浩
2024-08-01,川口液化ケミカル株式会社,ガス,求人なし,,埼玉県川口市赤井4-16-20,1985,,30 百万円,,,,代表取締役 外塚 博圭
2024-08-01,美濃加茂ガス株式会社,ガス,求人なし,,岐阜県美濃加茂市前平町1-65,1971,,30 百万円,,,,代表取締役 則竹 浩明
2024-08-01,ツチダ産業株式会社,ガス,求人なし,,岡山県津山市一方335-1,2004,,20 百万円,,,,代表取締役 永山 久一朗
2024-08-01,株式会社青野石油店,ガス,求人なし,,岡山県津山市二宮598,1958,,20 百万円,,,,代表取締役 松田 敏之
2024-08-01,株式会社ナカツカ,石油・資源,求人なし,,岡山県津山市河辺1059-1,1972,,19 百万円,,,,代表取締役 中塚 一
2024-08-01,川口總合ガスセンター株式会社,ガス,求人なし,,埼玉県川口市東領家5-1-25,1987,,90 百万円,,,,代表取締役 新井 孝幸
2024-08-01,日東石油株式会社,石油・資源,求人なし,,北海道旭川市本町3-437-239タカハタ・日東ビル 2Ｆ,1961,,32 百万円,,,,代表取締役 岡本 尚利
2024-08-01,株式会社角藤田,石油・資源,求人なし,,岡山県総社市中央2-5-1,1953,,10 百万円,,,,代表取締役 浅野 哲志
2024-08-01,佐藤設備工業株式会社,石油・資源,求人なし,,北海道室蘭市築地町138-7,1968,,10 百万円,,,,代表取締役 松坂 順平
2024-08-01,宇島瓦斯株式会社,石油・資源,求人なし,,福岡県豊前市大字市丸351-1,1967,,10 百万円,,,,代表取締役 住吉 弘太郎
2024-08-01,キムラ石油株式会社,石油・資源,求人なし,,埼玉県行田市大字埼玉4516,1971,,10 百万円,,,,代表取締役 木村 峰子
