更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,Ａｔｉｋｕｓ　Ｃｏｎｓｕｌｔｉｎｇ株式会社,人材紹介・職業紹介,3,■事業内容： 医療／IT／コンサル業界に特化したヘッドハンティング事業ミドルキャリア～エグゼクティブ層を主なキャンディデイトとし、上記領域の法人顧客に対して人材紹介を行なっています。■組織について：当社の組織構成は20代が中心となっています。歳が近いことで発揮できる高いチームワークや、仕事を通じて自然と英語に触れられる環境も当社の魅力の一部です。頑張り次第で全員が成功できる平等なフィールドなので、やりがいに溢れています。,東京都中央区八重洲1-1-8,2016,,25,9百万円,31.0,https://www.atikus.jp/home-ja,
2024-08-01,ＲＦＣパートナーズ株式会社,人材紹介・職業紹介,求人なし,,神奈川県座間市相武台1-34-22丸一ビル 4Ｆ,2016,,,10 百万円,,"Failed to retrieve page, status code: 410",代表取締役 中野 慶太
2024-08-01,株式会社ＪＴビジネスコム,その他,求人なし,,東京都港区東新橋2-14-1ＮＢＦコモディオ汐留 6Ｆ,2016,,,100 百万円,,"Failed to retrieve page, status code: 410",代表取締役 奥野 秀雄
2024-08-01,プロハント株式会社,人材紹介・職業紹介,4,■事業内容：サーチ型人材紹介事業（総合人材会社・マンパワーグループ）■事業の特徴：・世界最大級人材総合サービス企業のネットワークを活かした日本全国の情報収集が可能・リテーナー型サービス提供による、より確実且つニーズに近い人材獲得が可能・いわゆる「登録型」人材をメインとせず、全労働人口からの人材発掘が可能・ハイクラスに限らず、専門職や研究職といった広範囲に亘る人材ニーズに的確に対応が可能・事業承継や事業譲渡及びM＆Aを視野に入れた戦略的人材計画を積極的に推進・「三方良し」を目指す丁寧な活動・それぞれに多大な実績を持つコンサルタント並びにリサーチャーによる活動,東京都港区芝浦3-1-1田町ステーションタワーN 30F,2016,,16,5百万円,39.0,http://www.prohunt.co.jp/,
2024-08-01,ルシア株式会社,人材紹介・職業紹介,2,■事業内容： ・労働者派遣事業及び有料職業紹介事業・土木、建築工事の請負・前各号に附帯する一切の業務,愛知県名古屋市南区中割町1-44,2016,,17,23百万円,,https://lu-cia.com/,
2024-07-01,株式会社ｎＴＥＣＨ,人材派遣,1,■航空機部品向け切削工具の設計・生産■航空機業界への労働者派遣事業労働者派遣事業許可番号 派23‐301797,愛知県春日井市高山町2-16-9,2016,,18,"2,600万円",,https://ntech-tool.co.jp,代表取締役 長江 晃
2024-08-01,株式会社ＮＯＶＥＬ,人材紹介・職業紹介,2,■事業内容： ・採用ブランディング事業・ドーピングしない採用支援事業…私たちNOVEL（ノーベル）は「ドーピングしない採用支援」をスローガンに、お互い凸凹同士の企業と働く人たちの真のマッチングを追求するHRベンチャーです。人材採用の知見を活かしたコンサルティングと得意のクリエイティブを用いてクライアントを「働きたくなるような魅力的な会社」へとブランディングします。,大阪府大阪市中央区南船場3-1-91F,2016,,21,5百万円,32.0,"Failed to retrieve page, status code: 410",
2024-08-01,ＴＤＣＸ　Ｊａｐａｎ株式会社,アウトソーシング,6,■事業内容：外資系企業に対するアウトソーシング事業■事業の特徴：・B2Bインサイドセールス／ソリューション営業…同社の持つ経験、知識、技術、戦略を駆使し、顧客のより高度なセールスを実現しています。最適な成果を得るためにビジネス戦略を考案し、顧客の目標を達成しています。・カスタマーサポート…最先端のシステムとメソッドにより、より低コストで高品質、プロフェッショナルなサービスを提供できるように努めています。アジア、英語圏全てをカバーする14の言語でサービスを提供しています。,神奈川県横浜市神奈川区金港町1-7横浜ダイヤビルディング24F,1995,,500,,,https://www.tdcx.com/jp-ja/,
2024-08-01,株式会社マイナビワークス,人材紹介・職業紹介,12,■事業内容：・労働者派遣事業、有料職業紹介事業・求人および採用活動に関するコンサルティング・宣伝、広告、ピーアール業および広告代理店業・ウェブコンテンツ、制作物等のデザインおよび制作業・ビジネスプロセスアウトソーシング業,東京都新宿区西新宿1-6-1新宿エルタワー27F,2016,,512,100百万円,31.0,https://mynavi-works.jp/,
2024-08-01,名東技研株式会社,人材派遣,5,＜企業概要＞■事業内容：自動車内装樹脂部品 設計、モデリング,愛知県名古屋市名東区高社1-263一社中央ビル2F,2011,,42,23百万円,41.8,https://www.meitogiken.co.jp/,
