更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-08-01,オランジェ株式会社,ブライダル・ウェディング,求人なし,,三重県伊勢市中村町355-1,1979,代表取締役 濵田吉司,,,,30 百万円,
2024-08-01,株式会社錦,ブライダル・ウェディング,無,,京都府京都市左京区一乗寺向畑町8-2,1992,代表取締役 鎌田 九美夫,,,,10 百万円,
2024-08-01,株式会社三輪本店,葬儀,求人なし,,愛知県名古屋市瑞穂区船原町1-11,1979,代表取締役 三輪 誠,,,,15 百万円,
2024-08-01,有限会社八百傳商店,葬儀,求人なし,,新潟県新潟市江南区亀田本町3-3-8,1967,代表取締役 野口 正晴,,,,50 百万円,
2024-08-01,株式会社セレマ,ブライダル・ウェディング,求人なし,,京都府京都市中京区西ノ京中御門東町134,1967,代表取締役 齋藤 秀市,,,,100 百万円,
2024-08-01,株式会社小松屋,ブライダル・ウェディング,求人なし,,京都府京都市中京区高倉通六角下る和久屋町342,1952,代表取締役 吉田 泰久,,,,20 百万円,
2024-08-01,株式会社清水康益社,葬儀,求人なし,,神奈川県横浜市港南区港南中央通4-11,1970,代表取締役 清水 一明,,,,10 百万円,
2024-08-01,株式会社ジロイム,葬儀,求人なし,,千葉県山武市小松3798,1984,代表取締役 古沢 弘,,,,10 百万円,
2024-08-01,株式会社さんぶ,葬儀,求人なし,,千葉県山武市津辺258-1,1988,代表取締役 花澤 等吉,,,,45 百万円,
2024-08-01,オタギ株式会社,ブライダル・ウェディング,求人なし,,神奈川県横浜市戸塚区秋葉町504-1,1980,代表取締役 小田切 和栄,,,,30 百万円,
2024-08-01,株式会社京都山中商会,ブライダル・ウェディング,求人なし,,京都府京都市東山区粟田口三条坊町14,1968,代表取締役 山中 達郎,,,,98 百万円,
2024-08-01,株式会社君商,葬儀,求人なし,,千葉県南房総市和田町松田768,1981,代表取締役 三浦 太,,,,10 百万円,
2024-08-01,株式会社出雲殿互助会,葬儀,求人なし,,愛知県名古屋市瑞穂区堀田通3-11,1982,代表取締役 浅井 秀明,,,,50 百万円,
2024-08-01,株式会社グレース,ブライダル・ウェディング,求人なし,,京都府京都市下京区柳馬場通松原下る忠庵町310,1985,代表取締役 野秋弘,,,,10 百万円,
2024-08-01,株式会社丸三屋,ブライダル・ウェディング,求人なし,,東京都港区高輪3-7-6丸三屋ビル,1960,代表取締役 湯浅 泰敏,,,,50 百万円,
2024-08-01,株式会社花六総本店,葬儀,無,,兵庫県神戸市東灘区住吉南町3-2-31,1973,代表取締役 塚本 勝規,,,,10 百万円,
2024-08-01,エンプレス株式会社,ブライダル・ウェディング,求人なし,,東京都港区六本木5-18-21六本木ファイブプラザ4Ｆ,2007,代表取締役 国貞 和宏,,,,24 百万円,
2024-08-01,株式会社公益社,葬儀,求人なし,,奈良県奈良市法蓮町413,1951,代表取締役 河口 昌司,,,,10 百万円,
2024-08-01,株式会社及川装飾店,葬儀,求人なし,,東京都中央区築地3-15-1築地本願寺第二伝道会館地下1Ｆ,1977,代表取締役 及川 明義,,,,10 百万円,
2024-08-01,株式会社リビエラ東京,ブライダル・ウェディング,無,,東京都港区南青山3-3-3,1994,代表取締役 小林 昭雄,,,,50 百万円,
2024-08-01,株式会社オフィース・マリアージュ,ブライダル・ウェディング,求人なし,,東京都港区南青山2-4-16ＡＮＮＯＢＬＤＧ 1Ｆ,1989,取締役会長 安部 トシ子,,,,50 百万円,
2024-08-01,株式会社アニヴェルセルＨＯＬＤＩＮＧＳ,ブライダル・ウェディング,求人なし,,東京都港区北青山3-5-27,1965,代表取締役 青木 柾允,,,,100 百万円,
2024-08-01,いのうえ株式会社,ブライダル・ウェディング,無,,兵庫県神戸市長田区細田町1-4-1,1968,代表取締役 井上 芳昌,,,,30 百万円,
2024-08-01,株式会社花内屋,ブライダル・ウェディング,求人なし,,奈良県大和高田市永和町11-12,1977,代表取締役 吉川 雅章,,,,20 百万円,
2024-08-01,ジュノー株式会社,ブライダル・ウェディング,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 写真撮影・アルバム制作・ビデオ撮影・ビデオアルバム制作・デザイン・プロモーション・パンフレット制作・Web制作企業ＶＴＲ・映像企画制作・音響・ステージエフェクト・ウェイトドール販売オンライン配信事業、動画スタジオ運営事業、フォトスクール事業等ウエディング業界を主軸に写真撮影・映像制作等のクリエイティブを提供しております。 2022年3月doda掲載求人より引用,神奈川県横浜市都筑区茅ケ崎南3-11-10,1983,代表取締役 飯岡大昇,,,,50 百万円,
2024-08-01,有限会社鱸猛麟石材店,葬儀,求人なし,,東京都港区南青山2-17-3モーリンビル 1Ｆ,1983,代表取締役 鈴木 悦生,,,,5 百万円,
2024-08-01,株式会社川嶋本店,ブライダル・ウェディング,求人なし,,兵庫県神戸市須磨区中島町2-4-10,1979,代表取締役社長 江見 小夜子,,,,15 百万円,
2024-08-01,株式会社セレモジャパン,ブライダル・ウェディング,求人なし,,神奈川県川崎市川崎区本町1-9-1,1987,代表取締役 渡邊 正典,,,,50 百万円,
2024-08-01,株式会社白欧企画,ブライダル・ウェディング,無,,東京都港区新橋4-24-10三協ビル 602,1973,代表取締役 大塚 明,,,,20 百万円,
2024-08-01,有限会社第一社,葬儀,求人なし,,東京都港区南青山6-8-2第一社ビル,1953,代表取締役 田中 謙一,,,,3 百万円,
2024-08-01,株式会社エルブレイン,ブライダル・ウェディング,求人なし,,兵庫県神戸市北区北五葉6-14-30レックビル 1Ｆ,1997,代表取締役 高橋 泉,,,,26 百万円,
2024-08-01,ＢＬＤ　ＷＥＤＤＩＮＧＳ株式会社,ブライダル・ウェディング,無,,東京都中央区銀座2-4-9ＳＰＰ銀座ビル 8Ｆ,1998,代表取締役 高杢 康成,,,,50 百万円,
2024-08-01,東海典礼株式会社,ブライダル・ウェディング,求人なし,,愛知県名古屋市名東区高針原2-1704,1992,代表取締役 植木 広次,,,,35 百万円,
2024-08-01,有限会社山本石材店,葬儀,求人なし,,京都府京都市山科区御陵大津畑町53-27,1962,代表取締役 山本 恭義,,,,5 百万円,
2024-08-01,株式会社公詢社,葬儀,求人なし,,兵庫県神戸市兵庫区西宮内町2-18,1940,代表取締役 吉田 長二,,,,40 百万円,
2024-08-01,有限会社佐野商店,ブライダル・ウェディング,無,,神奈川県川崎市川崎区鋼管通1-1-1,1949,代表取締役 鈴木 康伸,,,,3 百万円,
