更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,株式会社芝製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■企業概要： 同社はキユーピー株式会社の100％子会社で、マヨネーズを充填する機械、卵を割る機械、ゆで卵設備を設計及び製作、設置まで一貫して行っています。・各種自動化機械・充填ライン・包装機械等創業75年の同社は、キユーピー株式会社との関係は30年にも渡り、強固な信頼関係を築いております。これまでの実績と歴史から、多くの外部関連会社と連携して事業を行っております。,神奈川県川崎市川崎区小島町2-5,1947,45.0,35,20百万円,https://www.shiba-ss.co.jp/,,
2024-07-01,美和ロック株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,7,～1度は目にしたことがあるMIWAの文字/建築用錠前の生産・販売においては国内シェア60%以上の住生活に欠かせない企業～【当社の柱となる3事業】(１)セキュリティ事業当社の一番の柱となる事業。ドアロック業界では断トツ60％以上のシェアを有するトータルセキュリティメーカーとして、IoTやAIなどを活用して、より高品質な製品を皆様に提供し、安全で安心な暮らしを実現することを目指しています。(２)SD事業（サービス代行事業）全国に技術と信用のあるサービス代行店網を構築している事業。 (３)サイン事業当社の挑戦的新事業のひとつとして発足しました。,東京都港区芝3-1-12,1945,45.0,1393,610百万円,http://www.miwa-lock.co.jp/,,
2024-06-01,株式会社河合電器製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容： ・熱技術に関するコンサルティング・電気ヒーターの開発・設計・製造・販売,愛知県名古屋市天白区中平1-803,1954,35.0,154,98百万円,https://www.kawaidenki.co.jp/,,
2024-06-01,辻村電工株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■概要：創業以来、産業用ロボットの周辺設備の設計、製作、電気工事を手掛け、確かな技術力で信頼を得て参りました。現在、産業用ロボットを用いた自動化ラインシステムと塗装プラントシステムの2つを主力事業として展開しています。(1)産業用ロボットを用いた自動化ラインシステム…様々なメーカーの産業用ロボットの中から最適なロボットや周辺装置を選定し、製造現場の課題を解決できるシステムを構築。(2)塗装プラントシステム…前処理から塗装プラントの全工程で電気（設計・製造・工事）全般をワンストップで対応。,愛知県名古屋市天白区焼山2-1907,1983,37.0,43,99百万円,http://www.tsujimura-dk.co.jp/,,
2024-07-01,薮内産業株式会社,機械部品・金型メーカー,1,■事業内容： ・塵埃回収装置（イオンクリーンボックス）総発売元・静電気応用商品販売・自動化機器設計製作・機械、機具、工具販売・機械加工及び住宅機器販売・住宅マンション賃貸業務・上記に付帯又は関連する一切の業務,大阪府大阪市大正区三軒家東1-12-27,1952,,20,20百万円,http://yabuuti.co.jp/,,
2024-05-01,株式会社芳川鉄工所,受託加工業（各種加工・表面処理）,1,■事業内容：◇当社は新日鐵住金グループより高い評価を頂き、様々な製品の加工を行っています。・機械加工・製缶加工・仕上げ組立・機械設計・製鉄関連設備等の修繕・整備部品製作補修・一般産業機械装置等の設計製作,山口県光市大字小周防1100-12,1960,,24,10百万円,https://yoshikawa-tk.com/,,
2024-06-01,株式会社シンキ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■事業内容：一般廃棄物処理施設の運転管理並びに工場内諸施設の保守整備業務の請負、上下水道処理施設の運転管理・工場内諸施設の保守整備業務の請負、ビル管理業・保守警備業、駐車場管理・保安警備業、電機・管・消防施設・清掃施設の工事業等,兵庫県神戸市中央区海岸通8-206,1973,50.0,336,80百万円,http://www.e-shinki.co.jp/index.html,,
2024-08-01,株式会社協成,総合電機メーカー,3,■事業内容： フォトエッチング加工によるエレクトロニクス関連部品の製造・販売,東京都千代田区紀尾井町3-23,1951,,68,10百万円,http://www.kyoseiltd.co.jp/,,
2024-08-01,日本エヤークラフトサプライ株式会社,機械部品・金型メーカー,18,■事業概要： 1．防衛、航空、宇宙、海洋、医療、車両、通信に関する機械器具、部品の国内販売、輸出入及び、製造、修理2．電気部品、電子部品、その他各種機械器具の国内販売、輸出入及び製造、修理3．工作用機械・器具及び産業用ロボットの国内販売、輸出入及び製造、修理 4．化学製品（塗料、接着剤等）の国内販売及び輸出入,東京都新宿区愛住町3-3,1958,44.0,62,50百万円,https://www.nasco.co.jp/j_profile.html,,
2024-06-01,株式会社 シグマシステムエンジニアリング,計測機器・光学機器・精密機器・分析機器メーカー,1,■事業内容：・業務用放送音響機器の設計・製造・検査・販売,東京都新宿区大久保3-5-2,1972,44.0,16,10百万円,http://www.kamesan.co.jp/,,
2024-07-01,マーテック株式会社,機械部品・金型メーカー,1,■事業内容：下記事業を展開。・吊り具関連機器の輸入・製造・販売・環境関連機器の販売・産業用機器類の輸入・製造・販売・建設機械用アタッチメントの開発・製造・販売,兵庫県神戸市中央区港島中町5-1-1,1974,44.4,102,99百万円,http://www.martec.co.jp/index.html,,
2024-08-01,株式会社ハーテック・ミワ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■事業内容：コンプレッサの製作・販売及びサービス業務（KOBELCO製や自社製コンプレッサの販売及び使用工場へのメンテナンス業務が中心）,兵庫県神戸市中央区脇浜町2-1-16,1974,,317,50百万円,http://www.h-miwa.co.jp/,,
2024-08-01,魔法株式会社,アミューズメント・エンタメ・ゲームメーカー,7,■概要：わたしたちは、ファミリーコンピュータが登場した1983年に神戸で産声を上げました。それ以来35年以上経ち、家庭用ゲーム・アーケードゲーム・パソコンゲーム・携帯アプリ・スマートフォンアプリと、時代とともにプレイヤーが遊ぶ環境は変わっていきました。そんな中でもわたしたちは一貫してエンターテイメントソフトウェアを通じて感動や楽しさ、豊かな人生を、ユーザーに届けることを目標にしています。ゲームやエンターテイメントを通じて、たくさんの人に笑顔と刺激と豊かな人生を提供することが、私たちの願いです。,兵庫県神戸市中央区葺合町馬止1-10マジカルビル,1985,35.0,35,70百万円,http://www.mahou.co.jp/,,
2024-07-01,サンショウ株式会社,自動車部品メーカー,2,■事業内容： 静岡県浜松市に本拠を置き、70年以上の歴史を誇る自動車用純正用品（内装品）の開発・販売を行うメーカーです。国内完成車メーカー全てに納入されていますが、その中でもトヨタ自動車向けが70%と安定しています。,静岡県浜松市中央区薬師町70,1948,37.0,102,110百万円,http://www.sansho-g.co.jp,,
2024-08-01,株式会社宝計機製作所,計測機器・光学機器・精密機器・分析機器メーカー,4,■事業内容：一般及び特殊計量機の製造・販売、電子制御システム機器の製造・販売、データ処理装置の製造販売■事業の特徴：「進んで常に最高の顧客満足を志向する。」この品質方針を具体化するために、2002年6月に「ISO9001」を取得し、「進取創造」の精神で常に前向きな姿勢を失うことなく、ものづくりを進めています。社員一人ひとりが「品質」に対する意識を高めることで、顧客に「満足」と「安心」をしてもらえる製品を送り出すことができます。,山口県柳井市柳井3889,1950,44.0,47,10百万円,http://www.takara-scale.co.jp/,,
2024-08-01,大和冷機工業株式会社,機械部品・金型メーカー,75,■概要：大和冷機工業は、1997年に東証・大証一部へ指定替えを行い、現在では、30営業部､202営業所､法人営業部24ヶ所､厨房部7ヶ所､店厨部8ヶ所､サービス技術部2ヶ所､サービスセンター8ヶ所､配送センター3ヶ所とサービスネットワークを構築し、迅速かつ的確なサービスを実施している冷機業界2位の企業です。,大阪府大阪市天王寺区小橋町3-13大和冷機上本町DRKビル,1962,38.5,2391,"9,907百万円",http://www.drk.co.jp/,プライム市場,
2024-07-01,枚岡合金工具株式会社,機械部品・金型メーカー,2,■事業内容：・文書管理／図面管理システム「デジタルドルフィンズ」(自社パッケージシステム)の開発・販売※200社の企業様に導入いただいています。・工場視える化IoTシステム【現場の妖精】の開発・販売・システム開発とIT活用トータルサポート・冷間鍛造金型の設計、製作・ボルト／パーツフォーマー金型の設計、製作・工場見学会・3S実践講座,大阪府大阪市天王寺区烏ケ辻2-1-2,1950,43.1,24,10百万円,http://www.sg-loy.co.jp/,,
2024-07-01,グローバル電子 株式会社,電子部品メーカー,4,■事業内容：～電子部品の輸出入及び販売～現在では、商社機能に加えて設計・製造・技術サポートを提供するメーカー機能を複合させ、より付加価値の高い商品・技術を提供し、お客様の要望と信頼に応えられるように商社機能とメーカー機能を融合させた業態に進化させています。さらに、医療機器、金属加工、住宅建材の製造・販売など、これまでと全く違う分野へ進出しており、エレクトロニクス商社としてスタートした創業時から大きな変貌を遂げております。,東京都新宿区箪笥町35日米タイム24ビル,1978,47.0,159,83百万円,http://www.gec-tokyo.co.jp/,,
2024-07-01,シグノード株式会社,機械部品・金型メーカー,5,■事業内容：シカゴに本社を持つ世界で業界ナンバー1の工業用パッケージングシステムメーカーです。グローバルなネットワークにより、他社に比べ最新の製品、技術を提供することが出来ております。中でも日本製の製鉄所用自動結束機は、中国・インド・ブラジルなどの過酷な工場環境においても長期間稼働し続けることが出来ている実績から、お客様より大きな信頼を得ています。,兵庫県神戸市中央区港島中町1-2-4,1965,45.0,61,50百万円,http://www.signode.co.jp/,,
2024-06-01,オオシマ自工株式会社,自動車（四輪・二輪）メーカー,2,■企業概要：お店がまるごと来てくれたらいいな。もっとたくさん安全に運べないだろうか。どんなに便利な社会になっても人の夢が果てることはありません。当社は「夢を運ぶ車づくり」をしています。,山口県柳井市南浜4-3-7,1984,45.0,,90百万円,https://oshimajiko.co.jp/,,
2024-08-01,株式会社三ッ星,電子部品メーカー,4,■事業内容：同社は、産業の第一線で活躍するキャブタイヤケーブルを主とした「電線事業」、樹脂の押出成形技術を応用した異形押出成形品を主とした「ポリマテック事業」、電熱線・帯およびステンレス鋼線・帯を主とした「電熱線事業」の3事業で構成されています。,大阪府大阪市中央区本町1-4-8エスリードビル本町5F,1947,41.1,231,"1,136百万円",http://www.kk-mitsuboshi.co.jp/,スタンダード市場,
2024-06-01,株式会社村越機型製作所,機械部品・金型メーカー,3,■事業内容：自動車のエンジンやトランスミッションの部品製造時に使用する鋳造用金型・木型の設計製造（DC型、GDC型、LP型、シェル型、樹脂型、試作木型）を行っています。（主要製品：シリンダーヘッド・シリンダーブロックなど各種自動車部品）,神奈川県川崎市幸区南幸町3-86,1935,43.0,33,30百万円,https://murakoshi-mold.com/,,
2024-07-01,兼八産業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,4,■事業内容：・厨房設備の設計施工、厨房機器メンテナンスサービス・各種洗剤の販売／厨房機器、食品加工機器の製造販売・厨房クリーンシステム・中古厨房機器、販売、買取,愛知県豊橋市飯村町字浜道上4-5,1965,,40,20百万円,http://www.kane8.co.jp/,,
2024-06-01,川崎化工機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容： ・精密機械設計製造業・超純水製造装置設計開発販売ﾒﾝﾃﾅﾝｽ・半導体関連製造装置・バイオ関連製造装置・各種試験装置・理化学装置の設計製作,神奈川県横浜市鶴見区駒岡2-12-1,1976,35.0,17,10百万円,https://www.k-kakoki.co.jp/,,
2024-06-01,株式会社データコントロール,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■事業内容とビジョンネットワークの安心・安全をサポートするセキュリティインテグレータとして、優れたセキュリティ製品を世界中から選りすぐり、日本の環境に合わせた導入サポートとともに提供します。主力取扱い製品である「FortiGate」や「SubGate」とともに事業拡大を続けてきた当社ですが、今後は次世代ITセキュリティクラウドサービスにも注力し、巧妙化かつ複雑化するネットワークの脅威に対する高度なセキュリティを実現します。,大阪府大阪市天王寺区小橋町11-19,1979,,30,70百万円,https://www.datacontrol.co.jp/,,
2024-08-01,徳機株式会社,機械部品・金型メーカー,7,■事業内容：・鏡板、熱交換器／塔／槽等圧力容器の設計、製作・プラント設備/配管工事、メンテナンス工事・環境関連機器の設計、組立,山口県周南市港町11-1,1934,45.0,220,50百万円,http://www.tokkiltd.co.jp/,,
2024-06-01,正栄工業株式会社,機械部品・金型メーカー,2,■事業内容：プレス金型設製作、試作、プレス加工、タップ加工、溶接等。協力会社にてメッキ等、2次処理も行います。■取扱い製品：端子、カーナビ、カーオーディオ・音響機器、プリンタ部品、自動車関連部品の製造、組み立て。2次加工の品目としては、タップ加工、アーク溶接、スポット溶接、ASSY、メッキ、バレル研磨、脱脂、テンパー、浸炭焼入れ等。,神奈川県川崎市幸区戸手4-1-19,1956,,50,50百万円,http://www.shoei-kgy.co.jp/,,
2024-07-01,株式会社松田鉄工所,機械部品・金型メーカー,3,■事業内容： ・各種プラント部品製作、修理・精密機械加工・計装、電気工事・製缶、溶接加工・各種容器製作・機械保全、機械器具設置工事 ■ビジョン： 当社は昭和23年に創業、小型船舶の内燃機関修理を主とした鉄工所として発足しました。その後、化学機械の部品製作及び整備を手掛けるようになり、現在は機械部品製作・修理、計装工事、各種容器製作、機械保全部門に分かれ、お客さまは県内化学コンビナート各社、医療、食品、船舶関連へ広がっております。今後もお客さまにご満足いただける製品とサービスを提供することで、社会に貢献し皆様方の信頼に応えて参ります。,山口県周南市港町6-47,1948,,,10百万円,http://www.matsudatekko.co.jp,,
2024-08-01,日本ベンチャー工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容： 自動製造装置、自動検査装置等の省力化装置の開発・製造現在そして今後も産業界に必要なのは省力化装置（自動機）です。何故なら、現状以上に労働力の不足、労働時間の短縮、コスト低減、品質維持が求められる社会になるからです。これまで勘と経験が必要であった仕事も早くやってのける装置、２４時間休むことなく物言わず作業をこなす装置、あるいは人の目では追いきれないミクロの世界、その中での測定・検査・組み立てを行うこれら省力化装置をオーダーメイドにて提供してまいりました。高い信頼性と豊かな想像力を今後も追求する当社は、あなたの参加を期待しています。,埼玉県所沢市大字松郷154-2,1973,39.0,27,70百万円,http://www.nihonventure.co.jp/,,
2024-07-01,株式会社岸本製作所,機械部品・金型メーカー,1,■概要： 同社は自動車部品メーカー協力会社として自動車関連部品を製造しております。その内でも重要保安部品といわれるシートベルト部品、エアーバック部品、電動シェード部品、センサー部品等が90％をしめており、その他オートバイ、農業機械、建設機械、建築金物等の金属部品の製造をしております。加工内容として、試作から金型の設計、製作そして機械加工（プレス加工、切削加工）、熱処理、表面処理、部品の組立まで一貫生産を行います。また設備内容としましては金型製作設備一プレスライン、溶接設備、バレル研磨、電気亜鉛めっきライン、コーティングライン等の設備を社内で備えております。,奈良県北葛城郡広陵町大字安部135,1976,,100,50百万円,http://kishimoto-ss.co.jp/,,
2024-07-01,カネキタ株式会社,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容：ステンレス精密機械加工／精密研磨／電解研磨／不動態化処理／各種溶接／精密洗浄の受託加工精密樹脂加工／精密洗浄の受託加工各種工業用並びに半導体製造装置の精密配管及びその装置部品の製造／開発／仕入販売精密ろ過システム並びにその装置部品の製造／開発／仕入販売特殊ステンレス鋼材の販売粉粒体関連機器の製造／販売,大阪府大阪市天王寺区味原町2-7,1967,,124,80百万円,http://www.kanekita.com/index.html,,
2024-08-01,株式会社サンケイマニュファテック,自動車部品メーカー,2,自動車用電装部品メーカー各種センサー類・スイッチ類・ディーゼル用点火プラグ・機構部品等を製造・販売,大阪市生野区巽北4-12-37,1950,,31,"1,404万円",http://www.kk-sankei.jp/,,代表取締役 加堂 勝則
2024-07-01,福知山重工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■事業内容： 溶接材料製造設備の設計・製作／一般産業用自動化設備の設計・製作／大型機械加工及び組立,京都府福知山市字堀1965-2,1943,40.0,40,"1,920百万円",http://www.fhi-eng.co.jp/index.html,,
2024-07-01,福知山興業株式会社,機械部品・金型メーカー,2,■事業内容： 電動・空気・手動工具用金切鋸刃の設計・製造（セーバーソー､ジグソー､エアソー､ハンドソー､パワーソー等の各種ブレード）設立から80年の歴史がある同社。2021年2月には、ベッセルグループとの資本提携により、ベッセルグループの一員に。経営者が変わり、会社の変革及び、ベッセルグループの販路を活用し、業績も改善。赤字が慢性化していた中、1年で黒字化へ。積極的に設備投資も実施し、この2年弱では年商以上の設備投資金額。売上増に対応すべく、今後、新設工場も建設にも着手する予定です。また今までなかった人事考課制度も導入しております。,京都府福知山市和久寺145,1942,39.9,24,10百万円,https://www.vessel.co.jp/fukuchiyama-kogyo/#gaiyou,,
2024-08-01,産機設計株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,5,当社は、周南市に本社を置く産業機械・化学プラント・鉄道の高度エンジニア集団です。■事業内容： 大手・中堅メーカーに向け、産業機械・化学プラント・鉄道の請負設計、設計技術者派遣などを通じて世界に通じる製品の制作を担っています。お客様のご要望に応えられるよう、下記３つ業務形態を用意しています。(1)受託型請負業務(2)常駐型請負業務(3)技術者派遣業務,山口県周南市古泉3-7-25,1974,40.0,21,6百万円,https://www.sanki-sekkei.co.jp/,,
2024-07-01,株式会社辻本金属製作所,受託加工業（各種加工・表面処理）,2,■事業内容： ●当社は、大きくは金属加工業、そのなかで「建築装飾金物」とよばれる業種に属します。 ●具体的には、レストラン、映画館、ホテル、ショッピング・モールなど、各種商業ビルの入り口にある、ドアを開閉するためのハンドル製品を主な主力製品として、 材料から完成品までの一環製造を行います。 ●デザイン性に優れ、ジュエリーと称される美しい仕上げの製品を、60年の伝統技術と最新鋭マシンが結びついた技（ワザ）で創り出します。 ●詳細は「辻本金属製作所」でweb検索し、当社HP（東大阪技術交流プラザ）および当社facebookを参照願います。,大阪府大阪市天王寺区真法院町4-8,1964,52.0,27,28百万円,なし,,
2024-06-01,株式会社サンテック,受託加工業（各種加工・表面処理）,1,■事業内容：高精度、高品質の各種金属部品加工。特に、宇宙開発、防衛装備品、マイクロ波通信用の金属部品加工及び導波管製造。■会社特徴：モノづくりは、ヒトづくりから私たちは創業以来、常に最新の加工技術を導入し、伝統的な技能を駆使し無線通信用機器に利用される部品や航空宇宙・防衛に利用される部品づくりの分野で貢献しております。今後も更なる先端加工技術と伝統技術の融合をもって事業を展開し、社会に貢献して参ります。,神奈川県川崎市中原区宮内2-28-2,1968,44.0,94,12百万円,http://www.e-santec.com/index.html,,
2024-08-01,株式会社シュテルン天王寺,自動車（四輪・二輪）メーカー,15,■事業内容：メルセデス・ベンツ車の販売および修理,大阪府大阪市天王寺区生玉寺町3-2,1989,37.7,140,45百万円,http://www.stern-tennoji.co.jp/,,
2024-07-01,株式会社湘南サンライズ工業,機械部品・金型メーカー,3,■企業情報：当社は神奈川に本社、長崎に製造拠点を構える業歴40年の精密加工技術に高い評価のある金型部品の製造会社です。全国に300社の取引先を有しています。製造環境は最新の加工設備・検査設備が整えられており、工場内も24°Cに管理されており快適です。当社の製造する金型部品は、スマートフォンや家電、車載部品等の電子部品製造の際に利用されます。IOTやAIなどのロボット、電気自動車業界の拡大に伴い、精密金型部品の需要も増えることが想定されるため、技術の研鑽と製造力の拡充を見据え、日々精進していきます。■事業内容：超精密金型部品の製造及び販売,神奈川県鎌倉市七里ガ浜東2-39-3,1984,,28,20百万円,https://shonansunrise.com/,,
