更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,泰和電気工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,8,■事業内容：電気機械器具設計・製造販売事業,東京都港区浜松町2-7-16第3小森谷ビル2F,1956,74,70百万円,,http://www.taiwadenki.co.jp/,,
2024-08-01,ニデック株式会社,電子部品メーカー,54,■事業概要:精密小型モータ、車載及び家電・商業・産業用モータ、機器装置、電子・光学部品、その他の開発・製造・販売■ビジョン：100年を超えて成長し続けるグローバル成長企業 ・人類が抱える多くの課題を解決する世界No.1のソリューション企業集団,京都府京都市南区久世殿城町338,1973,106592,"87,784百万円",40.0,http://www.nidec.com/ja-JP/,プライム市場,
2024-08-01,ダイコー株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■エレベーター／カーリフト／エスカレーター／機械式立体駐車場／装置階段昇降機／ターンテーブル・回転展望台／駐車場運営管理システムの販売・設計・製作・施工・保守（※上記ISO登録事業）■バイオマス・エネルギー発電事業■新設企画・発電設備、設置、運営、保守,東京都港区芝大門1-1-1,1958,210,"1億8,509万5,200円",,http://www.daiko-s.co.jp/,,代表取締役 社長 兒玉 康智
2024-07-01,株式会社佐野テック,機械部品・金型メーカー,2,■事業内容： 【インフラ事業部】 一般・高速道路、橋梁関連部品などの監理から製造 （支承金物、ジョイント、落橋防止金物など） 鉄道部品などの倉庫業 【建築事業部】 鉄骨・木造建築の新築・増改築などの設計から施工 （住宅、工場、倉庫、店舗など）,三重県三重郡菰野町大字千草5051-9,1932,69,30百万円,,https://www.sano-tec.jp/,,
2024-07-01,株式会社明和製作所,機械部品・金型メーカー,2,■事業内容： ・アルミダイカスト金型の設計／製作及び金型部品製作・プラスチックインジェクション金型の設計／製作・2500Tonクラスの大型のダイカスト金型まで設計／製作します。・当社は、自動車をはじめとするアルミダイカスト部品において、金型設計、製作、メンテナンスまで一貫して行う 金型専業メーカーです。創業より積み重ねた熟練の金型技術により、難易度の高い金型設計・製作にご対応。 金型の自社規格を備え、製品図のみのご依頼でも、ご要望の形状／精度をスピーディーに対応します。,三重県三重郡菰野町小島2461-32,1979,70,60百万円,40.0,https://meiwa-jpn.co.jp/,,
2024-06-01,吉野ゴム工業　株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,当社はベルトコンベヤを専門に扱う、研究開発型メーカーです。素材・機械・部品・メンテナンスの「運ぶコト」に関するすべてを担っています。お客様は各種メーカー、製鉄業、建設業、造船業、物流業、製紙業、セメント業、電力業、産業廃棄物処理業、官公庁に対して事業を展開しています。◆大手コンベヤベルトメーカーと比べて、1つの業界に大きなシェアを持たない同社は、業界問わず様々なお客様とお取引を行っています。その為ある業界で景気悪化が起きたとしても同社の事業は大きな影響を受けにくい特徴があります。,大阪府大阪市福島区吉野4-26-14,1963,122,30百万円,40.9,https://www.yoshino-rubber.com/,,
2024-08-01,共立マテリアル株式会社,電子部品メーカー,2,■事業内容： ・電子部品用セラミック原料、ファインセラミックス用原料の製造、販売・陶磁器、高機能ガラス、耐火レンガ等の原材料、金属間化合物の販売,愛知県名古屋市港区築三町2-41,1936,277,"2,387百万円",,https://www.kyoritsu-kcm.co.jp/,,
2024-07-01,京滋ユアサ電機株式会社,自動車部品メーカー,1,■事業内容・電装事業部：昭和9年（1934年）、蓄電池、電装品の販売・取付・メンテナンス業務をスタート。以来、モータリゼーションの進展とともに、常に地域と密着した企業活動を展開し、京都・滋賀エリアでのオンリーワンを目指して成長を続けています。 近年はEV車用の充電設備にも力を入れており、防災用としての設置も提案させていただいております。,京都府京都市下京区五条通堀川東入小泉町113-1,1941,198,33百万円,,https://www.keijiyuasa.com/,,
2024-08-01,東洋電装株式会社,自動車部品メーカー,21,■事業内容：1947年の創業以来、一貫してエンドユーザーの視点に立って高い品質と信頼性を両立し、自動車に搭載されるパワーウインドウスイッチ・オーディオパネルスイッチをはじめとする電装品の開発・生産を行っております。製品数は四輪、二輪、汎用の電装品を中心に4000種以上、約130か国ものエンドユーザーに安全で快適な空間を提供し続けます。技術力と生産量で二輪電装部品は高いシェアを誇っています。,東京都港区新橋2-10-4,1947,9242,596百万円,44.7,http://www.toyo-denso.co.jp/,,
2024-06-01,ナスコフィッティング株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■会社概要：当社は流体継手の専門メーカーとして、製品開発・製造・販売を一貫して手掛けております。スタートは自動車業界向けの製品でしたが、今では、一般産業分野から、FA、メカトロ、電子部品、空調、住宅配管まで、幅広い分野で使用されています。,愛知県名古屋市港区名四町9,1982,35,55百万円,49.0,http://www.nasco-f.co.jp/,,
2024-07-01,イーグル工業株式会社,自動車部品メーカー,22,■事業内容：各種メカニカルシール、特殊バルブ、プラント機器、舶用製品、金属ベローズ応用品等の製造・販売 並びに機械器具設置工事等上記に付帯する業務,東京都港区芝公園2-4-1芝パークビル14F,1964,6492,"10,490百万円",40.4,http://www.ekkeagle.com/jp/,プライム市場,
2024-08-01,朝明精工株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,,三重県三重郡川越町大字豊田1042-3,1965,,48 百万円,,"Failed to retrieve page, status code: 410",,代表取締役 廣田 吉泰
2024-08-01,株式会社光伸舎,計測機器・光学機器・精密機器・分析機器メーカー,2,■事業内容：計数システム（冷凍食品計数機・部品計数機・画像選別機）、環境改善機器（ホコリ対策機器・油煙対策機器・油水分離装置・凝集装置）、冷熱機器（ペルチェチラー・機器組込み用ペルチェ冷却器・熱交換器）、制御機器（センサー・冷熱機器）の開発・製造・販売,京都府京都市南区上鳥羽仏現寺町61-3,1978,19,50百万円,46.0,http://www.koshinsha.jp/,,
2024-08-01,株式会社桶谷製作所,受託加工業（各種加工・表面処理）,6,■企業概要：製缶／板金／機械／金属加工業を行っている会社です。■営業内容： ・自動車、産業機械、重機械、建設機械、光学精密機械、造船、情報通信機器などの生産工場への工具、用品、部品、治具、設備・装置等の製造販売・計測機器・装置、工作機械、産業機械、電子機器、自動車用品、自動車整備機器、空調整備機器、自動車給油脂装置等の部品加工・省力化機器、搬送機器、塗装等の部品製造・部品加工などの生産受託,京都府京都市南区久世築山町377-4,1990,110,20百万円,46.0,http://www.e-oketani.co.jp/,,
2024-08-01,株式会社グローウィル,電子部品メーカー,17,■企業概要：当社は電源トランス（変圧器）やコイルなど電子部品を製造・販売している電子部品メーカーです。トランス（変圧器）やコイルなどの電子部品や家電（法人向け）商品をお客様のニーズに合わせてご提案します。小ロット生産にも強く、品質・納期に魅力を感じる大手顧客からオーダーを多数受注し、電気やガス業界の国内トップメーカーをはじめ、300以上の業界にマーケットがございます。,新潟県糸魚川市大字桂14-1,1974,70,10百万円,,https://growwill.co.jp/,,
2024-07-01,株式会社アイテクニカ,自動車部品メーカー,1,～日産自動車グループの一翼を担う、愛知機械工業の100%出資により設立されたアウトソーシング・カンパニー～■企業概要当社は、日産自動車グループの一翼を担う、愛知機械工業の100%出資により設立された、アウトソーシング・カンパニーです。電気自動車向けパワートレインなどに関するエンジニアリング業務を中心に、バックオフィス分野などの幅広い分野において各種サービスを提供し、信頼と実績を築きあげてきました。高度な知性と人間の豊かな発想を大切にしながら、常にプラスαの価値をプレゼンテーションしていきます。人間尊重によるハイテクノロジーへの挑戦、それがわたくしたちのテーマです。,愛知県名古屋市熱田区川並町2-12,1991,82,30百万円,,http://www.aitecnica.jp,,
2024-08-01,株式会社東邦大信,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,6,■事業内容：(1)搬送ラインシステム・物流システム用機器におけるプロダクト・サービス・ソリューションの提供(2)省力化機器(各種コンベヤやFA等)の設計・製作・販売・施工・メンテナンス※取扱製品：搬送ラインシステム・食品機械・産業機械・搬送機・パレタイザー・物流用オリジナル機器・その他マテハン機器全般,愛知県名古屋市港区入場2-1706,1995,28,30百万円,44.0,"Failed to retrieve page, status code: 410",,
2024-08-01,菱有工業株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,4,■事業内容：・カーボンブラックグラフトポリマー（グラフトカーボンＧＰ）の製造販売・面状発熱体（グラフトカーボンＨＥ）の製造販売・金属系ヒーター（ダイヤクロンＳＲ、ダイヤクロンＰＣ）の製造販売・コード状発熱体応用製品の製造販売・蓄熱材及び応用製品の製造販売,新潟県上越市板倉区稲増192-5,1972,55,20百万円,47.0,https://www.ryoyu-k.co.jp,,
2024-07-01,有限会社飯田製作所,自動車部品メーカー,2,■事業内容： フッ素樹脂（PTFE）の切削加工をはじめ、軟部材樹脂の高度精密切削加工による樹脂切削加工品を生産しています。・パッキン、シール・バックアップリング、特殊シール他フッソ樹脂製品・組立て高級オイルシール・各種エンプラ製樹脂部品,神奈川県横浜市泉区上飯田町823,1964,170,50百万円,,https://iidaf.com/,,
2024-07-01,ダイソウ工業株式会社,自動車部品メーカー,5,■事業内容：・建設重機部品の製造、塗装・自動車用プレス部品の製造・医療、介護用ベッド部品の製造,三重県津市芸濃町北神山1470-3,1955,210,10百万円,37.0,https://daiso-ind.co.jp/,,
2024-06-01,株式会社ベルテックス,機械部品・金型メーカー,1,■事業内容： 射出成形用金型の設計・製作／射出成形品の製造／省力化設備の設計・製作／精密成形品関連ユニットアセンブリー■特徴精密射出成形用金型の設計・製作や精密射出成形品の製造を手がける当社は、金型の設計製作から成形量産、2次加工、組立までをすべて自社工場内で行う「一貫生産体制」を強みに、試作から量産までの工程をスムーズに行っています。また、高品質＆超小型の成形品の生産ができるのも当社ならではの特徴です。,京都府京都市南区上鳥羽中河原町64,1989,280,80百万円,,http://www.v-tex.co.jp/,,
2024-07-01,美和工業株式会社,自動車部品メーカー,2,■事業内容： 工業用ゴム、プラスチック製品製造・加工・販売,愛知県名古屋市南区鶴里町3-32,1954,105,10百万円,,https://www.miwa-ind.com/,,
