更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,大和無線電器株式会社,電子部品メーカー,求人なし,,大阪府大阪市浪速区日本橋東2-1-3ＤＧ本社ビル 4Ｆ,1960,129,337 百万円,,,代表取締役 坂本 賀津也,
2024-08-01,日本鍛工株式会社,機械部品・金型メーカー,求人なし,,兵庫県尼崎市大浜町2-1,1948,128,310 百万円,,,代表取締役 野口 裕明,
2024-08-01,富士電波工業株式会社,電子部品メーカー,求人なし,,大阪府大阪市淀川区新高2-4-36,1948,128,336 百万円,,,代表取締役 横畠 俊夫,
2024-08-01,マツモト機械株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,大阪府八尾市老原4-153,1964,127,159 百万円,,,代表取締役 清水 弥,
2024-08-01,株式会社プロセス・ラボ・ミクロン,受託加工業（各種加工・表面処理）,求人なし,,埼玉県川越市芳野台1-103-52,1967,127,100 百万円,,,代表取締役 木全 幸治,
2024-08-01,山梨電子工業株式会社,電子部品メーカー,求人なし,,静岡県沼津市西沢田146-1,1968,127,410 百万円,,,代表取締役 箕輪 英範,
2024-08-01,ＣＳＴ株式会社,受託加工業（各種加工・表面処理）,無,,神奈川県高座郡寒川町大曲3-20-29,1977,127,50 百万円,,,代表取締役 井上 正二,
2024-08-01,みづほ工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,大阪府大阪市西成区南津守6-1-109,2021,127,60 百万円,,,代表取締役 田中 啓史,
2024-08-01,株式会社島津理化,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,東京都千代田区神田神保町1-32出版クラブビル,1969,126,30 百万円,,,代表取締役 中井 泉,
2024-08-01,ニッコー厚産株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,,東京都品川区大崎1-11-1ゲートシティ大崎ウエストタワー 23Ｆ,1978,126,65 百万円,,,代表取締役 奥山 貴久,
2024-08-01,三明機工株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,静岡県静岡市清水区袖師町940,1947,125,10 百万円,,,代表取締役 久保田 和雄,
2024-08-01,株式会社東洋機工製作所,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,長崎県島原市有明町大三東乙813,1951,125,50 百万円,,,代表取締役 髙谷 士郎,
2024-08-01,株式会社ウエムラテック,自動車部品メーカー,求人なし,,熊本県球磨郡あさぎり町上南777,1990,125,100 百万円,,,代表取締役 志賀 幸光,
2024-08-01,菱電旭テクニカ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,静岡県菊川市川上930-1,1990,125,380 百万円,,,代表取締役 和田 勝,
2024-08-01,ジェイ・エス・ピー・モールディング株式会社,自動車部品メーカー,無,発泡プラスチックの製造・販売 2024年4月doda掲載求人より引用,栃木県鹿沼市さつき町5,1977,125,300 百万円,,,代表取締役 尼崎 照幸,
2024-08-01,ＰＩＡＡ株式会社,自動車（四輪・二輪）メーカー,求人なし,,東京都文京区水道1-12-15白鳥橋三笠ビル,1963,125,475 百万円,,,代表取締役 寺田 浩康,
2024-08-01,東海マテリアル株式会社,自動車部品メーカー,求人なし,,千葉県八千代市吉橋1095-6,2003,125,250 百万円,,,代表取締役 髙橋 宏,
2024-08-01,株式会社中山鉄工所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,佐賀県武雄市朝日町大字甘久2246-1,2022,125,86 百万円,,,代表取締役 中山 弘志,
2024-08-01,株式会社九州エフ・シー・シー,自動車部品メーカー,求人なし,,熊本県宇城市松橋町浦川内74-1,1982,124,30 百万円,,,代表取締役 山田 智彦,
2024-08-01,双日エアロスペース株式会社,建設機械・その他輸送機器メーカー,求人なし,,東京都千代田区丸の内1-8-3丸の内トラストタワー本館 4Ｆ,1975,124,"1,410 百万円",,,代表取締役 長谷川 章,
2024-08-01,エィ・ケィ・ケィ・エム株式会社,アミューズメント・エンタメ・ゲームメーカー,求人なし,,愛知県西尾市吉良町友国道ケ圦132-246,1995,123,40 百万円,,,代表取締役 鈴木 勝敏,
2024-08-01,盟友技研株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,福井県福井市片山町2-1,1981,122,40 百万円,,,代表取締役 小清水 治之,
2024-08-01,株式会社ミロクテクノウッド,半導体メーカー,求人なし,,高知県南国市篠原537-1,1999,122,80 百万円,,,代表取締役 片山 弘紀,
2024-08-01,安曇野本多通信工業株式会社,電子部品メーカー,求人なし,,長野県安曇野市三郷温4604,1972,121,50 百万円,,,代表取締役 増田 英治,
2024-08-01,東洋システム株式会社,計測機器・光学機器・精密機器・分析機器メーカー,無,■二次電池の充放電評価装置の設計・開発・製造・販売■電池試作装置・安全性試験装置の設計開発・販売■受託評価サービス（充放電・安全性・分析）■リチウムイオン電池パックの設計開発・製造 2024年3月doda掲載求人より引用,福島県いわき市常磐西郷町銭田106-1,1989,121,100 百万円,,,代表取締役 庄司 秀樹,
2024-08-01,株式会社アイテス,自動車部品メーカー,求人なし,,神奈川県横浜市戸塚区上矢部町2258,1995,121,50 百万円,,,代表取締役社長 小野 達朗,
2024-08-01,ローヤル電機株式会社,電子部品メーカー,求人なし,,東京都港区高輪2-16-37高輪ＪＥＢＬ 6Ｆ、7Ｆ,1955,121,480 百万円,,,代表取締役 井上 孝雄,
2024-08-01,東邦化工建設株式会社,機械部品・金型メーカー,求人なし,,静岡県駿東郡長泉町上土狩234,1975,121,400 百万円,,,代表取締役 大滝 昭仁,
2024-08-01,古河ケミカルズ株式会社,電子部品メーカー,求人なし,,大阪府大阪市西淀川区大野3-7-196,2005,121,300 百万円,,,代表取締役 今井 伸,
2024-08-01,坂田電機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,東京都西東京市柳沢2-17-20,1952,120,90 百万円,,,代表取締役 坂田 進,
