更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,ベッコフオートメーション株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,神奈川県横浜市中区桜木町1-1-8日石横浜ビル 18Ｆ,2005,代表取締役 川野 俊充,31,10 百万円,,,,
2024-08-01,日本リニアツクス株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,大阪府高槻市春日町7-16,1968,代表取締役 吉原 久喜,30,15 百万円,,,,
2024-08-01,ＮＡＤＩＸ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,大阪府池田市神田2-21-1,1973,代表取締役 中村 浩,30,60 百万円,,,,
2024-08-01,株式会社甲府共和電業,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,山梨県甲府市下曽根町1486-1,1986,代表取締役 西川 清彦,30,20 百万円,,,,
2024-08-01,日造精密研磨株式会社,受託加工業（各種加工・表面処理）,1,神奈川県横須賀市平成町1-1-1,1987,,34,89百万円,41.0,,■事業内容： 研磨事業■主要営業品目：下記製品の研磨加工半導体製造装置及び周辺機器超高真空装置医薬機器環境測定機器 石油化学プラント原子力・精密機械・他,
2024-08-01,ブルーム－ノボテスト株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,愛知県小牧市大字大山小牧大山2202-1,1999,代表取締役 山田 亨,30,10 百万円,,,,
2024-08-01,エフシーアイジャパン株式会社,電子部品メーカー,求人なし,東京都品川区大井1-47-1ＮＴビル 2Ｆ,1992,代表取締役 リチャード・アダム・ノーウィット,30,358 百万円,,,,
2024-08-01,マーケム・イマージュ株式会社,計測機器・光学機器・精密機器・分析機器メーカー,無,東京都渋谷区神宮前3-1-30ＨＩＯ青山,1987,代表取締役 ビンセント・バンダーポール,30,150 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 スイス本社で製造しているインクジェット・プリンター（付属品、部品、消耗品）、レーザーマーカー等のマーキング機器の販売及び保守サービス 2022年2月doda掲載求人より引用,
2024-08-01,ダイナトロン株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都北区滝野川7-2-13ベルテックス 5Ｆ,1990,代表取締役 伊藤 幹根,30,21 百万円,,,,
2024-08-01,日本メルセン株式会社,機械部品・金型メーカー,求人なし,東京都新宿区西新宿2-7-1小田急第一生命ビルディング 3Ｆ,1981,代表取締役 佐々木 淳也,30,75 百万円,,,,
