更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-05-01,株式会社栄電舎,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,8,■事業概要：同社は1958年に設立し、生産工場のシステム設計、ソフトウェア開発、製作、設置工事・試運転、メンテナンスまでトータルにプロデュースしています。配電盤・制御盤などハードウェア技術から創造的な技術開発を推進するソフトエンジニアリング企業への転換を終え、現在は次世代へ向けて第3の創生期に突入しています。,福岡県久留米市津福本町南津留2348-8,1958,45.0,165,40百万円,https://www.eidensha-group.com/,,
2024-07-01,黒木コンポジット株式会社,受託加工業（各種加工・表面処理）,2,■企業概要：自動車や船舶用エンジン部品や造船、半導体製造装置などの金属部品の熱処理や加工を行う企業です。黒木工業所、黒木工業、技術研究所、そして同社（黒木コンポジット）からなる黒木グループを形成しており、全国7ケ所で事業展開を行っています。黒木コンポジット：自動車、船舶、半導体製造メーカーなどに、金属の熱処理や加工などを行っています。,福岡県鞍手郡鞍手町大字古門字兵丹3109-9鞍手工業団地内,1986,,81,40百万円,https://www.kuroki.co.jp/composit/,,
2024-07-01,有限会社黒田工業,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■会社概要：製鋼圧延ラインの機械設備、産廃処理設備などの工場内製造ラインの設計から施工、修理・メンテナンスまでを一貫して行う会社です。,熊本県宇土市花園町西原2053-1,1989,,7,3百万円,https://kuroda-ind.jp/,,
2024-07-01,株式会社マイスティア,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■事業内容： ・製造装置、精密機械の企画開発から製造販売 ・組込みIoTシステム及び周辺機器の企画開発から製造販売・自社ブランドAI（イメージプロセッシング）ソフトウエアの研究開発から販売 ・精密機械等のメンテナンス、フィールドサービス・半導体及び材料の評価、解析サービス ・製造業全般における業務請負・キャリアコンサルティング、人財紹介、人材派遣,熊本県上益城郡益城町田原2081-17,1990,,1168,50百万円,https://www.meistier.co.jp/,,
2024-08-01,株式会社アムコー・テクノロジー・ジャパン（旧ジェイデバイス）,半導体メーカー,39,■事業内容： 当社は半導体製造の中でも「後工程」と呼ばれる分野に特化した、受託専業メーカーです「後工程」とは、「前工程」で製造されたIC（集積回路）を、最終製品にまで仕上げる工程です。ICが形成されたシリコンウェハを、主要顧客である大手半導体メーカーからお預かりし、ウェハテスト～パッケージアセンブリ（組立）～ファイナルテスト（完成品検査）～出荷まで一貫して受託しています,大分県臼杵市大字福良字竹ヶ下1913-2,1970,46.0,3215,"5,100百万円",https://amkor.com/jp/,,
2024-07-01,株式会社ニチワ,自動車部品メーカー,1,■事業内容：自動車用冷間圧造部品、切削加工部品および小物プレス部品の製造販売（参考表現）自動車用精密金属小物部品,宮崎県日南市上方1765,1973,44.0,150,30百万円,http://www.nichiwa-corp.co.jp/,,
2024-08-01,株式会社小滝電機製作所,電子部品メーカー,3,■事業内容：・部品購買、受託設計、受託生産、製品OEM供給・自社製品販売■生産カテゴリー：・車載製品（サイドターンランプ・ストップランプ等の各種標識灯、冷凍車ユニット）・無線製品（Bluetooth R・2.4GHz無線モジュール）・映像製品（CCDカメラモジュール）・センサー製品（圧力・画像センサー）,秋田県大館市釈迦内字上袋6-6,1980,42.0,212,10百万円,http://www.otaki-elc.co.jp/,,
2024-07-01,栃木日産自動車販売株式会社,自動車（四輪・二輪）メーカー,1,■事業内容・私ども栃木日産自動車販売株式会社は第二次大戦中の昭和１８年に重要産業団体令に基づき栃木県における自動車配給を担うべく設立された『栃木県自動車配給株式会社』から始まっています。・すべてのニーズに、フルラインアップで応える。日産販売会社グループは、それを実現できるカーディーラーです。,栃木県宇都宮市不動前5-1-29,1943,34.0,485,50百万円,https://ni-tochigi.nissan-dealer.jp/,,
2024-06-01,エヌ・ティ・ティ・レンタル・エンジニアリング株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,1,■事業内容： 次に定める物品のレンタル、リース、販売及び保守並びに技術指導（１）情報通信機器及び情報処理機器 （２）電気通信設備工事及び保守用機器・工具 （３）クリーンエネルギー設備工事及び保守用機器・工具 （４）土木インフラ設備の点検、調査、工事及び保守用機器・工具,東京都千代田区岩本町2-9-7RECビル,1985,49.0,150,380百万円,https://www.nttrec.co.jp/,,
2024-08-01,日本駐車場救急サービス株式会社,警備・清掃,無,,東京都中央区日本橋蛎殻町1-6-1第三彦田ビル 3Ｆ,1993,,,20 百万円,"Failed to retrieve page, status code: 410",代表取締役社長 森井 清,
