更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,酒井重工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,6,■事業内容： 建設機械の製造販売及び産業機械の製造販売、仕入販売が主な事業であり、主要製品は次のとおりであります。 ・締固め機械 ロードローラ、タイヤローラ、振動ローラ、コンバインドローラ、タンピングローラ、ハンドガイドローラ 、振動プレートコンパクタ、ランマ ・道路維持補修機械 ロードカッタ、ロードスタビライザ、アスファルトフィニッシャ、排水性舗装機能回復車 ・産業機械 廃棄物処理機器、散水車,東京都港区芝大門1-9-9,1949,,611,"3,295百万円",http://www.sakainet.co.jp/index.html,プライム市場,
2024-08-01,株式会社三英社製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,4,■事業内容：（1）電力会社用機器の製造、販売…架空配電用機器や地中配電用機器など、皆様の元に電力を配電するための機器を製造・販売しています。（2）電鉄用機器、一般の顧客用機器等の製造販売…鉄道会社向けの各種機器のほか、高圧開閉器や受変電施設など、電気を一般の建物内に安全に送るための機器を製造・販売しています。その他、通信機器や各種電気機器、輸入品の取り扱い、光通信技術、情報通信、環境リサイクル等の製品開発も行っています。,東京都品川区荏原5-2-1,1940,40.0,341,96百万円,https://san-eisha.co.jp/,,
2024-08-01,アズビル株式会社（旧株式会社山武）,計測機器・光学機器・精密機器・分析機器メーカー,90,～創業117年／東証プライム上場／制御・計測機器メーカー国内トップシェア／「人を中心としたオートメーション」～◆事業概要：同社はazbilグループ（元山武グループ）の中核として、1906年の創業以来、計測と制御の技術を追求し、独自のソリューションをお届けしてきました。2012年4月には、社名を株式会社山武からアズビル株式会社に変更し、azbilブランドの下、グローバルで「ビルディングオートメーション」「アドバンスオートメーション」「ライフオートメーション」の3つの事業を推進しています,東京都千代田区丸の内2-7-3東京ビル,1949,45.1,5329,"10,522百万円",http://www.azbil.com/jp/,プライム市場,
2024-06-01,株式会社シンクロン,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,■事業内容： 真空薄膜形成装置ならびに各種キーコンポーネンツの研究、開発、設計、製造、販売、技術サービスを提供しています。■製品：ロードロック式スパッタ成膜装置、高速(IAD)真空薄膜形成装置、連続式真空薄膜形成装置、精密真空薄膜形成装置等※真空薄膜形成装置はデジタルカメラ、携帯電話、タブレット端末等様々な製品を生産する企業の工場に配置され、製造ラインの中で真空薄膜形成工程を担う装置です。,神奈川県横浜市西区みなとみらい4-3-5,1951,,323,73百万円,http://www.shincron.co.jp/,,
2024-08-01,シンフォニアテクノロジー株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,41,~創業100年を超える総合電機メーカー/航空宇宙から自動車、社会インフラなど12の分野で事業を展開/新たな100年へ向けて成長し続ける企業を目指しています~【企業概要】シンフォニアテクノロジー株式会社は、1917年の創業以来、電気制御技術をコアに、半導体搬送装置から宇宙ロケット用の電装品、試験装置、振動搬送機器、小型モーター、電磁クラッチ/ブレーキ、プリンターといった多彩な製品を提供してきた企業です。現在は、12の事業部門で製品群を構成し、その製品はグローバルな視点から未来を支えています。,東京都港区芝大門1-1-30芝NBFタワー,1949,39.6,3680,"10,156百万円",http://www.sinfo-t.jp/,プライム市場,
2024-08-01,新電元工業株式会社,半導体メーカー,22,■事業概要：パワー半導体・電源・電装製品等を、家電・情報通信・二輪車・四輪車等の産業に供給するメーカーです。創業70周年を迎える、世界各国に拠点を有するグローバル企業です。すべての電化製品に組み込まれ、製品を動かす為には必要不可欠な「電源」。新電元では電力変換効率を極限まで追求することでエネルギー資源を節減し、地球温暖化対策や環境負荷の低減に向けた技術開発を続けています。半世紀以上にわたり蓄積した独創的なテクノロジーを駆使し、新しい機能・性能、付加価値を持つ電源を創造しています。,東京都千代田区大手町2-2-1新大手町ビル4F,1949,43.1,5276,"17,823百万円",http://www.shindengen.co.jp/top_j/index.html,プライム市場,
2024-08-01,芝浦メカトロニクス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,17,【東証プライム上場／半導体製造装置、FPD製造装置、真空や成膜を用いた応用装置などの製造、販売、サービスを行っています】■詳細： (1)半導体製造装置事業洗浄装置・エッチング装置・アッシング装置・検査装置・ダイボンダ・フリップチップボンダ(2)フラットパネルディスプレイ製造装置洗浄装置・剥離装置・エッチング装置・現像装置・インクジェット塗布装置・アウトリードボンダ装置等(３)真空応用装置事業スパッタリング装置・真空貼り合わせ装置等＊同社の製品はPC・スマートフォン、液晶など幅広い製品の製造に使用されています。,神奈川県横浜市栄区笠間2-5-1,1939,44.7,1211,"6,761百万円",http://www.shibaura.co.jp/,プライム市場,
2024-08-01,ＳＭＫ株式会社,電子部品メーカー,16,■事業内容：同社は1925年ＮＨＫのラジオ放送開始に合わせて、良い品質の電子部品を提供するという理念のもと設立されました。国内で順調にシェアを伸ばし、1970年代他社に先駆けて早い段階で海外に進出しています。海外進出のため「昭和無線工業株式会社」から「ＳＭＫ株式会社」に社名を変更しました。現在、売上の8割が海外、社員数も8割以上が外国籍の方と名実ともにグローバルメーカーとなっています。,東京都品川区戸越6-5-5,1929,45.0,4104,"7,996百万円",http://www.smk.co.jp,プライム市場,
2024-07-01,島津金属株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,■電気炉（ヒーター）の開発・製造・販売■当社ヒーターを使用した応用製品,神奈川県横浜市金沢区福浦2-17-4,1958,42.3,20,1600万円,http://www.shimazu-metal.com/,,代表取締役社長 大塚 俊彦
2024-08-01,スタンレー電気株式会社,自動車部品メーカー,99+,■概要：自動車照明電装品および電子機器製品の開発・製造・販売,東京都目黒区中目黒2-9-13,1933,,16778,"30,514百万円",http://www.stanley.co.jp/,プライム市場,
2024-08-01,須川工業株式会社,機械部品・金型メーカー,8,■企業概要同社は金属加工の総合メーカーとして、創業100年以上の歴史を有し、本社は東京足立区にあり、埼玉、山形、群馬に生産拠点を保有しています。創業以来、金属加工の事業に重点をおき、中でも輸送用機械(自動車、オートバイ、新幹線等)の器具製造において、非常に洗練された技術力を有しています。,東京都足立区千住東2-14-3,1917,41.0,200,50百万円,https://www.skk-sugawa.com/,,
