更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-06-01,株式会社愛鶏園,水産・農林・鉱業,2,■まもなく創業100年「更なる成長」を求め新規人材を募集しています・「たまごを通じて大切な人を幸せにする」をコーポレートメッセージとし、次の100年を創造する第2創業期に入った会社です。・経営者も世代交代し、新たな体制づくりのため、人財の強化に取り組んでいます。・愛鶏園を2031年までに関東一の「パワーブランド」にすることを目指して、新商品開発・業態開発など様々な取り組みが行われています。,神奈川県横浜市神奈川区菅田町2954,1955,41.0,230,42百万円,http://www.ikn.co.jp/,,
2024-08-01,株式会社秀鶏園,水産・農林・鉱業,3,・鶏卵生産、販売・堆肥生産、販売,千葉県香取郡東庄町笹川ろ1012,1970,,30,,https://www.shimadaegg.co.jp/producer/shukeien,,代表者 保立 克之
2024-08-01,株式会社松坂屋,水産・農林・鉱業,1,■事業内容：農業資材（種子、肥料、ビニール）販売の卸売、小売業。農産物の生産販売■当社について：当社は農業資材全般・種子の販売・農業用施設の設計および施工・農業用フィルムの加工業務を行っております。また、オリジナル商品として「農ビ・ＰＯフィルムのらく展加工」「水稲育苗箱 ねはり君」を提供しております。家庭菜園の道具や種も取り揃えております。■主力製品：・農業用ビニールハウスの建設・農業用フィルムの加工、販売・種子、肥料の販売■今後の事業展開：2023年より開始したキュウリ、トマトの先端技術栽培を拡大していく計画です。,茨城県小美玉市中延146,1960,45.0,30,12百万円,http://matuzakaya.co.jp/,,
2024-08-01,株式会社高田魚市場,水産・農林・鉱業,4,■事業内容：生鮮委託販売・生鮮魚介類卸売・冷凍、塩干品、活魚卸売・練り製品製造販売,大分県豊後高田市高田2247-1,1928,,33,45百万円,http://takadauoichiba.co.jp/,,
2024-06-01,農林水産省（近畿農政局）,水産・農林・鉱業,1,農林水産業に関する政策の実行・情報収集等関連事務＜地方農政局の運営体制＞■企画調整室■総務管理官■消費・安全部■生産部■経営・事業支援部■農村振興部■統計部■近畿各府県の拠点及び事業所,京都府京都市上京区西洞院通下長者町下る丁子風呂町,,,,,https://www.maff.go.jp/kinki/index.html,,近畿農政局長 安東 隆
2024-06-01,株式会社佐藤工業,水産・農林・鉱業,1,■事業内容： 採石業■特徴：採掘事業はどの事業者も運営できるわけではなく、国の方針のもと、採掘できる権利を持っています。,宮崎県西臼杵郡日之影町大字七折9774-5,2015,,15,1百万円,なし,,
2024-05-01,有限会社中月産業,水産・農林・鉱業,1,■事業内容：・総羽数362千羽を擁する地場中規模鶏卵業者（鶏舎数：20棟、1日の生産量：280千個/日）。・一般の白色卵のみ生産。発酵鶏糞製造販売も行う。八戸市金浜地区に本社兼農場（鶏舎、GPセンター）、三戸郡階上町に階上農場（主に仕入した雛の育成）を運営。・育雛（生後50日程度の雛を仕入して育成）から採卵出荷までを一貫して行う。■経営理念「自然と芝生に囲まれたきれいな農場を目指して」「食の安心・安全は人任せにしない。自分の手で守る」,青森県八戸市大字新井田字常光田25-3,1994,,35,30百万円,なし,,
2024-06-01,株式会社岡宗農園,水産・農林・鉱業,1,■主な事業内容・苗木の生産販売（緑化木苗木、鉢物等）・果樹の生産販売（マンゴー、ライチ、パッションフルーツ、ブルーベリー、かんきつ類（小夏、花良治、ポンカン、黄金柑、温州みかん、レモン）等）・直売店・カフェの運営（メリーガーデン、下山販売所（夏季のみ））わたしたちは花木苗木の生産・直売・果樹生産を行っている農家です。自分たちの育てた植物が全国で必要とされているという誇りをもって、30年にわたり業務用苗木を生産・販売してきました。,高知県安芸市川北甲97,2014,,14,1百万円,https://okamune.no-en.net/,,
2024-06-01,有限会社井上誠耕園,水産・農林・鉱業,1,■事業内容：オリーブ及び柑橘類の栽培、加工、販売等■事業の特徴：同園は初代園主・井上太子治（たすじ）氏が1940年の春、小豆島の大地に植えた一本のみかんの苗木から始まり、1946年にオリーブの苗木を植えたことによりオリーブ園が始まりました。二代目の勝由（かつよし）氏、そして三代目の智博（ともひろ）氏と、親子三代続くオリーブ・柑橘の農家です。現在では、オリーブの品質を活かした化粧品の製造・販売も行っています。自然の恵みに感謝して、「誠」実に大地を「耕」し、立派な農「園」にしたいという想いから名づけられた同園は、小豆島からオリーブを通して全国に島の素晴らしさや豊かさを提供しています。,香川県小豆郡小豆島町池田2352,1997,41.0,170,3百万円,https://www.inoueseikoen.co.jp/,,
2024-06-01,有限会社中山農場,水産・農林・鉱業,1,■事業内容： 酪農業および加工品の製造・乳牛数:経産牛:700頭(うち搾乳牛:600頭)・育成牛:550頭・経営面積:305ha,北海道野付郡別海町中春別307-2,1996,,30,3百万円,http://www.nakayama-farm.com/,,
2024-06-01,農事組合法人椎名牧場,水産・農林・鉱業,2,■企業概要：椎名牧場は、昭和41年に乳用仔牛1頭を飼いはじめたのがスタートです。その後、法人化。規模拡大をしながら現在に至っております。現在は黒毛和種とホルスタインの交雑種を中心に約700頭の飼育しております。おいしい牛肉作りのため、独自の発酵飼料の添加など日々工夫しております。お客様にホンモノの牛肉をお届けしたいとの思いから、平成14年に「農産物直 売所あんしん村」を創め、自家産牛肉の直売をスタートさせました。平成25年春には「焼肉 しいな牧場」という直営レストランをオープンしました。,千葉県旭市井戸野1147,1994,,20,3百万円,http://shiina-farm.com,,
2024-07-01,有限会社楽園の果実,水産・農林・鉱業,3,■事業内容： ・農業、農産物の販売・農産物の加工および販売・農家レストランの運営・宮古島特産品の販売、ネットショップなど,沖縄県宮古島市下地字来間259-2,2002,,17,9百万円,https://rakuen-kajitsu.jp/,,
