更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-07-01,INSOUホールディングス株式会社,レジャー・アミューズメント,1,■事業内容（1）各種飲食店事業法人への投資業務、新規業態・店舗の企画・開発・プロデュース（2）人事労務／経理／法務、店舗開発などの関連業務代行、店舗経営、コンサルティング業務,大阪府大阪市西区新町3-6-10INSOUホールディングスビル,2007,77,100百万円,38.0,http://insou-hd.co.jp/,,
2024-07-01,株式会社アイ・グラン・ソリューション,スポーツ・ヘルス関連施設,2,■事業内容：フィットネスジム「エニタイムフィットネス」の運営事業,広島県広島市西区庚午中1-7-24,2014,164,50百万円,,https://aigran-solution.jp/,,
2024-06-01,株式会社千歳ホールディングス,レジャー・アミューズメント,2,■事業内容： 「株式会社千歳観光」の管理部門を担っています。事業会社である千歳観光は、パチンコなどのアミューズメント＆フードサービス事業を展開しており、地域密着の事業運営を行っています。神奈川県内の顧客満足度の高いパチンコ店舗ランキングには常に同社の複数店舗がTOP5にランクインしています。,神奈川県横浜市中区長者町5-56-1,2014,5,10百万円,,なし,,
2024-08-01,株式会社フィットクルー,スポーツ・ヘルス関連施設,3,■当社は「フィットネスで社会を明るくする」という企業理念のもと、東京・大阪・名古屋・福岡といった大都市圏を中心に、宅配食付き女性専用パーソナルトレーニングジム“UNDEUX SUPER BODY（アンドゥ・スーパー・ボディ）”を34店舗（2024年1月1日現在）展開しております。また、性別問わず健康問題に対応するパーソナルトレーニングジム“Dr.plusFit（ドクター・プラス・フィット）”を大阪に３店舗出店するなど、新たなビジネスモデルの構築に取り組んでおります。 当社では、これらのサービスをより多くの方へ提供することで「健康社会」への貢献、フィットネスの価値の向上を目指しております。,大阪府大阪市西区靱本町1-13-9中央ビル1F,2015,226,100百万円,,https://fitcrew.co.jp/,,
2024-06-01,株式会社雲水,スポーツ・ヘルス関連施設,2,■事業内容： 健康増進事業※ワールドウィング雲水グループの各施設は、（株）ワールドウィングエンタープライズ（代表：小山裕史氏）との提携契約により、（株）雲水が運営しております。,愛知県小牧市大字大草5232,,,,,https://www.worldwing-unsui-group.com/team,,
2024-06-01,ジャスマックプラザ株式会社,ホテル・旅館・宿泊施設,1,■事業内容：（定款上）1.商業ビル、ホテル、レストラン等の商業施設の開発、経営、賃貸、管理及びコンサルティング2.不動産の売買、仲介、賃貸、管理及び斡旋3.ホテル、宿泊施設、温泉利用施設等の運営・管理4.酒類、清涼飲料、嗜好飲料、食料品及び雑貨の販売5.各種イベント、パーティーの企画、運営6.パーティー、会議、式場、撮影等の場所の賃貸、管理7.結婚式の企画、運営者の養成事業8.有料職業紹介事業9.労働者派遣事業10.前各号に付帯関連する一切の業務,北海道札幌市中央区南七条西3-425,2015,150,10百万円,,http://www.jasmacplaza.jp/,,
2024-07-01,株式会社ＢＯＤＹ　ＲＵＮ　Ａｌｉｖｅ　Ｓｏｕｌ,スポーツ・ヘルス関連施設,1,■『Dr.stretch（ドクターストレッチ）』の運営■女性専用ジム『MITTNESS』の運営■『Gym Spicy』の運営,＜本社＞〒274-0063千葉県船橋市習志野台2-26-11-201＜東京オフィス＞〒150-0001東京都渋谷区神宮前6丁目23-2 第25 SYビル9F,2015,206,3000万円,26.0,https://bodyrun.co.jp/,代表取締役 都築 学,
2024-08-01,Ａｇｏｄａ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｊａｐａｎ株式会社,旅行・旅行代理業,1,"■ホテル予約サイト運営／旅行代理店事業オンラインホテル予約サービス「Agoda.com」を世界規模で提供。世界中200万軒以上の宿泊施設を取り扱っており、1500万件以上のリアルなクチコミを掲載しています。【 アゴダについて 】本社はシンガポール。世界200カ国以上の主要都市50カ国以上にオフィスを設置し、4,000名を超える多国籍スタッフによって運営されています。",東京都渋谷区恵比寿南1丁目7番8号恵比寿サウスワン,2005,100,,31.0,https://careersatagoda.com/,代表取締役 大尾嘉 宏人,
2024-06-01,株式会社黒川温泉御処月洸樹,ホテル・旅館・宿泊施設,1,旅館運営,熊本県阿蘇郡南小国町大字満願寺6777-2,,,,,https://gekkoujyu.com/,代表取締役 烏星 孝行,
2024-06-01,株式会社７ｇａｒｄｅｎ,ホテル・旅館・宿泊施設,1,■事業内容： ホテルの企画・開発・運営事業／システム開発事業／コンサルティング事業■ビジョン：ホテル経営のあらゆるボーダーを取り除く私たちは、ホテルの企画・開発・運営が個人でも実現できる「ホテル経営ソリューション」を提供しています。個性豊かなホテルを数多く作ることで、ユーザーが自分のライフスタイルに合わせてホテルを選べるようになる世界を描いています。“関わるひと全てが誇りを持てるホテルを共につくる”をミッションに、ホテル経営に必要なすべての要素が行き交わう「ホテル経営プラットフォーム」を目指しています。,東京都品川区荏原1-3-15,2015,10,17百万円,33.0,https://7garden.co.jp/,,
2024-07-01,株式会社ジャストイン,ホテル・旅館・宿泊施設,1,■貸し会議室「タイムオフィス」└https://timeoffice.nagoya■レンタルオフィス「オフィスプラス」└https://www.officeplus.jp■ビジネスホテル『ジャストイン』└http://www.just-inn.jp,愛知県名古屋市中区栄町4丁目12番26号 栄CDビル4F,2015,53,500万円,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010838120/: 'NoneType' object has no attribute 'get',代表取締役 奥田 慶太,
2024-07-01,株式会社ＬＯＴＴＥ　Ｈｏｔｅｌ　Ａｒａｉ,ホテル・旅館・宿泊施設,6,"■事業内容：ロッテアライリゾートは全257室で長期滞在にも対応。 敷地内には全14コースあるスキー場やスパ、プール、エステ、 レストラン、カフェ、ファンクションルーム、1,501mのアジア最長のジップツアーやツリーアドベンチャーなどアクティビティを完備した、アジアでもトップクラスの規模を誇るレジャー施設です。",新潟県妙高市両善寺1966,2015,280,"7,000百万円",38.0,https://www.lottehotel.com/arai-resort/ja.html,,
2024-06-01,株式会社エヌ・ケイ商事,レジャー・アミューズメント,1,＜企業概要＞■概要当社はパチンコホールの運営を主目的として1995年に設立しました。現在は、パチンコホール事業のほか、不動産賃貸業、介護施設紹介業など、経営環境の変化に強い事業体を目指し、「コミュニティ形成」をコンセプトに、新たな事業展開に取組んでいます。＜パチンコホール事業＞＜不動産賃貸業＞＜介護施設紹介業＞,広島県広島市中区大手町1-7-21,1995,35,15百万円,,なし,,
2024-07-01,株式会社新和ホールディングス,レジャー・アミューズメント,3,■事業内容：パチンコ店（プレイランドハッピー）の経営、不動産賃貸業、航空機リース事業■売上：847億円札幌市内14店舗、小樽市2店舗、千歳市1店舗、苫小牧市1店舗、函館市1店舗、当別町1店舗,北海道札幌市中央区北五条西6-2-2,1982,520,120百万円,,http://www.playland-happy.co.jp/outline/,,
2024-07-01,大阪関西エアポートホテル（ｉ Ｐｒｏｐｅｒｔｙ Ｊａｐａｎ株式会社）,ホテル・旅館・宿泊施設,1,ホテル運営事業,大阪府泉佐野市日根野4066,,,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010743476/: 'NoneType' object has no attribute 'get',代表取締役 中村 武,
2024-08-01,合同会社ユー・エス・ジェイ,レジャー・アミューズメント,21,■事業内容：同社はテーマパーク「ユニバーサル・スタジオ・ジャパン TM」の運営を行っています。,大阪府大阪市此花区桜島2-1-33,1994,9269,"5,000百万円",36.9,http://www.usj.co.jp/,,
2024-05-01,株式会社セブン＆ワン,レジャー・アミューズメント,1,■事業内容： 遊技場「P-STATION」の経営、前名号に関連する一切の業務,宮城県仙台市若林区新寺1-5-7,2015,60,10百万円,,http://www.p-station.co.jp/,,
2024-06-01,ジャパンリゾート株式会社,ホテル・旅館・宿泊施設,1,■事業内容： 2017年4月、世界遺産 清水寺付近にてカフェ運営スタートを皮切りに、京都市内にてホテル・カフェを展開しております。,京都府京都市西京区嵐山上海道町48,2015,30,10百万円,,https://www.japan-resort.co.jp/,,
2024-08-01,株式会社福栄商事,ホテル・旅館・宿泊施設,1,■会社概要・2005年設立のまだ新しい温泉宿泊施設です。・自然と共に過ごし、静かな佇まいを守り続けております。タイプの異なる18部屋を用意・事業展開をしております。■事業内容・ 温泉浴場事業「天然温泉 佐野温泉 福の湯」,福井県福井市佐野町14-8,2005,8,10百万円,,"Failed to retrieve page, status code: 410",,
2024-07-01,公益財団法人日本財団パラスポーツサポートセンター,スポーツ・ヘルス関連施設,1,■事業内容：（１）パラスポーツ競技団体・パラアスリート支援（２）DE&I プログラム「あすチャレ！」：小・中・高・特別支援学校向け教育プログラムや、企業・団体・自治体・大学向け研修プログラムを行っています。（３）DE&Iプログラム「パラサポ！インクルーシブ運動会」（４）メディア運営（５）パラスポーツの調査・研究,東京都港区赤坂1-2-2日本財団ビル4F,2015,,,,https://www.parasapo.or.jp/,,
2024-07-01,株式会社リクリエ,旅行・旅行代理業,5,■事業内容・省人化ホテル運営事業・SaaS事業・企画開発事業,福岡県福岡市博多区博多駅前4-3-22産恵ビル8F,2016,85,20百万円,32.0,https://reqrea.co.jp/,,
2024-07-01,株式会社ティ・エ・エス,旅行・旅行代理業,1,弊社は旅行事業を展開、東南アジア諸国を初めとした多くの国から観光客を受け入れており、お客様のご意志・ご要望を最大限に生かしたツアー内容をアレンジしております。,東京都中央区銀座7-17-1銀座武蔵野ビル2F,1999,20,30百万円,33.0,https://tas-japan.net/jp,,
2024-07-01,ＷＡｍａｚｉｎｇ株式会社,旅行・旅行代理業,1,■事業内容： （１）訪日外国人旅行者向けにオンライン旅行予約プラットフォーム事業：オンライン上で宿泊、交通、アクティビティなど旅行予約手配や免税品ECサービスを提供（２） 地域観光DX事業：インバウンド集客や地域・観光のDXのために、調査・戦略策定から、コンテンツ開発、販売・受入環境整備、プロモーションまでをワンストップで支援（３）訪日マーケティングパートナー事業：国内の企業向けに、訪日インバウンド向けのマーケティング戦略立案、集客施策の実行や、他社媒体の買い付けなどを行う,東京都台東区三筋1-17-12長沼ビル201,2016,264,"3,968百万円",35.0,https://corp.wamazing.com/info/,,
2024-08-01,ＫＯＹＡＳＵ　Ｒｅｓｏｒｔ　Ｉｎｔｅｒｎａｔｉｏｎａｌ株式会社,ホテル・旅館・宿泊施設,4,■会社概要・当社は、2015年に株式会社k-style Holdingsとして設立後、2021年7月にKOYASU Resort International株式会社に社名変更しました。不動産事業や健康関連商材の輸出入、卸売及び販売業等を行っていましたが、今後はホテル事業を強化していく予定です。■事業内容（グループ事業）・宿泊事業…板室リトリート宿SPA和薬草／ホテルフォレストヒルズ那須／DOG LOVER’S VILLA Leaf・教育事業…HITOZIKU・外食事業…森のばあちゃん食堂・ビレッジ構想…森とヒトの那須村・不動産事業…ASOBIBA Labo／那須デベロップメント,栃木県那須塩原市板室841-14,2015,20,1百万円,32.0,https://koyasu-resort.com/,,
2024-08-01,ＬＥＧＯＬＡＮＤ　Ｊａｐａｎ合同会社,レジャー・アミューズメント,13,■事業内容：2～12歳のお子様と、そのご家族をターゲットに、LEGOブロックをテーマにした屋外テーマパーク、LEGOLAND。2018年4月にはレゴランド・ジャパン・ホテル、シーライフ名古屋（水族館）もオープンし、LEGOLAND(R)Japan Resortとして運営しています。,愛知県名古屋市港区金城ふ頭2-2-1,2013,1000,100百万円,30.0,https://www.legoland.jp/,,
2024-06-01,トヨタアルバルク東京株式会社,スポーツ・ヘルス関連施設,1,■事業内容：・プロバスケットボールチーム「アルバルク東京」の運営・アルバルク東京アカデミーの運営,東京都文京区後楽1-4-18,2016,,100百万円,,https://www.alvark-tokyo.jp/,,
2024-05-01,「Dr.stretch」那覇新都心店・国際通り店・イオンモール沖縄ライカム店・浦添サンエーパルコシティー店 ／ 株式会社ＤＩＧプライミング沖縄,スポーツ・ヘルス関連施設,1,■フィットネス事業■飲食店経営■雑貨卸事業■ペット関連事業他,沖縄県那覇市上之屋1-20-9 富士屋オーシャンビル2階（本社オフィス）,,,,26.0,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010421450/: 'NoneType' object has no attribute 'get',代表取締役 伊藤 大介,
2024-06-01,株式会社ぬくもりの宿ふる川,ホテル・旅館・宿泊施設,3,■事業内容： ・宿泊施設の運営・飲食サービスの提供■事業の特徴：ぬくもりの宿 ふる川は、自然豊かな温泉観光地にて運営しており、その他道内に姉妹館を4店舗展開しています。ふる川では料理において、「手づくり」と「出来たて」を提供するというこだわりに重きを置いています。また、入浴法や空間の演出においても「昔ながら」を心がけており、気持ちよく、ゆったりとした、ほっとするサービスを顧客に提供しています。,北海道札幌市南区定山渓温泉西4-353,1969,40,43百万円,,https://www.yado-furu.com/,,
2024-07-01,株式会社ホテルサンルート熊本,ホテル・旅館・宿泊施設,2,■企業概要：ホテルサンルートフランチャイズとして「ホテルサンルート熊本」の運営を行っている、金剛グループの一社です。同ホテルは、熊本市の観光・ビジネス・ショッピングをするにあたり非常に便利な場所にあり、熊本城まで徒歩約10分と熊本市内随一の立地です。また、ここは夏目漱石が新婚時に初めて住居を構えた地でもあり、挙式をあげた史跡でもあります。漱石の小説に表現される美と癒しにあふれたおもてなし空間と、「熊本を愉しむ、旅先のマイルーム」をコンセプトに、心から寛げるホテルライフを目指しています。,熊本県熊本市中央区下通1-7-18,1950,13,20百万円,,http://www.sunroute-kumamoto.jp/,,
2024-08-01,株式会社ヒップアップ,ホテル・旅館・宿泊施設,2,■事業内容：ホテル経営、不動産管理業 他■特徴：宿泊に必要なサービスに特化し、利便性と機能性を兼ね備えたホテルです。静岡県内外のビジネスマンを中心に、観光やイベントの関係者、学生の方など、幅広い層にご利用いただいています。ビジネスホテルの他、不動産関連の事業を展開 しております。,静岡県浜松市中央区松小池町657-1,1988,70,23百万円,,http://www.hotel-gen.co.jp/corporate/,,
2024-08-01,株式会社FEEL CONNECTION,スポーツ・ヘルス関連施設,7,＜事業概要＞■フィットネス事業■アパレル事業■オンラインフィットネス事業,東京都中央区銀座6-10-1GINZASIX 10F,2016,5406,10百万円,,https://www.feelconnection.co.jp/,,
2024-07-01,株式会社ザ・ビー・ホテルズ・マネジメント,ホテル・旅館・宿泊施設,1,■事業内容ホテル「the b Hotels」の運営■会社の特徴ビジネスパーソンや都市観光客などをターゲットにした都市型ホテル「the b hotels」を運営するイシンホテルズグループ の中の一法人です。■ミッション「the b hotels」は、豊かで刺激的な”旅”を求めるすべての人のために、快適さと機能性のバランスにこだわった居心地の良い滞在空間を提供いたします,東京都中央区銀座1-2-3,2016,47,3百万円,,https://www.theb-hotels.com/,,
2024-07-01,株式会社Ｔｒｉｐ．ｃｏｍ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｔｒａｖｅｌ　Ｊａｐａｎ,旅行・旅行代理業,2,旅行予約サイト「Ｔｒｉｐ．ｃｏｍ」の運営■親会社携程網／中国 上海市長寧区金鐘路968号凌空ＳＯＨＯ,東京都千代田区大手町2-6-4ＴＯＫＹＯＴＯＲＣＨ常盤橋タワー 24Ｆ,2017,230,"6,000万円",,https://jp.trip.com/,代表取締役 池尾 智之（高田 智之）,
2024-05-01,エクスペリサス株式会社,旅行・旅行代理業,1,■企業概要：五つ星の体験の創出をMissionに掲げ、高付加価値な体験プログラムを日本全国で開発し、国内外の富裕層に対して販売している。,東京都渋谷区渋谷1-15-12LAIDOUT SHIBUYA,2017,10,57百万円,30.0,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社ルークス,ホテル・旅館・宿泊施設,1,「株式会社 ルークス」は、若い世代が活躍する新しい会社です。楽しみながら様々なことにチャレンジし、規模を拡大しながら成長を続けています！■コンセプト京都を訪れる人たちに、観光だけにとどまらない、京都の楽しさを伝えたい。”町屋に泊まる”京舞シリーズを展開しております。,京都府京都市左京区上高野車地町145-3075-707-3003,2017,5,300百万円,,http://kyobu.kyoto/,,
