更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社ＨＯＧ,レジャー・アミューズメント,求人なし,大阪府大阪市中央区南新町1-2-4椿本ビル 3Ｆ,2003,代表取締役 安田 庸秀,48 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ウェブライド,レジャー・アミューズメント,求人なし,神奈川県川崎市多摩区西生田2-6-7西川ビル 4Ｆ,2005,代表取締役 中山 智文,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新拓,レジャー・アミューズメント,求人なし,大阪府大阪市福島区海老江1-1-59301,1999,代表取締役 松浦 拓也,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リブート,レジャー・アミューズメント,求人なし,東京都豊島区西池袋3-21-4,2011,代表取締役 郷演 仁,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アゴーラホテルマネジメント大阪,ホテル・旅館・宿泊施設,無,大阪府守口市河原町10-5,2011,代表取締役 ウィニー・チュウ・ウィン・クワン,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ｆａｎ’ｓ,スポーツ・ヘルス関連施設,求人なし,千葉県流山市おおたかの森西1-31-3ハナミズキテラス 1Ｆ,2011,代表取締役 古郡 雅昭,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ＳＥＮインターナショナル株式会社,旅行・旅行代理業,求人なし,広島県広島市東区光町1-11-5チサンマンション広島 321,2011,代表取締役 戦 爽爽,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社セントラル伸光,レジャー・アミューズメント,求人なし,宮城県仙台市青葉区福沢町3-33福沢ビル 4Ｆ,1982,代表取締役 清水 文徳,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コーボー,レジャー・アミューズメント,求人なし,兵庫県姫路市白浜町宇佐崎北1-182,2005,代表取締役 籠谷 康弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社岩手ビッグブルズ,スポーツ・ヘルス関連施設,無,岩手県盛岡市向中野字細谷地95-1,2010,代表取締役 水野 哲志,274 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アクタス,旅行・旅行代理業,無,千葉県柏市若柴69-1柏市公設市場内,2011,代表取締役 細田 啓介,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＪＣインターナショナル,旅行・旅行代理業,求人なし,東京都千代田区隼町2-13Ｊプロ半蔵門ビル 5Ｆ,2011,代表取締役 黒木 賢司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社さとう,スポーツ・ヘルス関連施設,求人なし,愛知県名古屋市中区千代田3-22-9,2011,代表取締役 佐藤 公治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ドリームハント,レジャー・アミューズメント,求人なし,佐賀県三養基郡基山町大字長野597-15オフィスパレア基山1 Ｃ1号室,2008,代表取締役 山口 克也,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
