更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,株式会社ストラテジー,Webマーケティング（広告代理店・コンサルティング・制作）,1,■Webサイトの制作プロデュース・運営管理,東京都港区港南1-9-36,2018,,,300万円,https://strategy-i.com/,代表取締役 野口 雅巳,
2024-08-01,株式会社コールドクター,Webサービス・Webメディア（EC・ポータル・ソーシャル）,2,事業内容：オンライン医療サービス【みてねコールドクター】の運営,東京都渋谷区神泉町9-1Daiwa渋谷神泉ビル7F,2018,34.0,50,200百万円,https://calldoctor.co.jp/,,
2024-08-01,株式会社ｉｎｄｉ,Webマーケティング（広告代理店・コンサルティング・制作）,5,■事業内容： indiは文化産業にマーケティングを持ち込み、事業の開発・推進支援を行う会社です。文化産業とは、音楽、テレビ、映画、出版、工芸、デザイン、ゲーム、舞台芸術、スポーツ、広告、文化観光、飲食、アパレル…文化商材を扱う事業すべてを指します。文化産業に特化したマーケティングで「toBソリューションビジネス」と「toC事業開発」を行います。知見と人材を集結させ、メディアやコンテンツのあらゆるプロジェクトに参画し、戦略企画からプロデュースまで手掛けてます。,東京都目黒区目黒2-9-5ブラッサム目黒2F,2018,30.0,13,80百万円,https://indi.co.jp/,,
2024-07-01,株式会社ピアトゥー,Webマーケティング（広告代理店・コンサルティング・制作）,2,■事業概要株式会社ピアトゥーは20年以上にわたる旅行業界の経営改善・システム構築等の経験を持つメンバーが、「Peer to Peer」の直販型の次世代旅行プラットフォームの提供を目指して創業しました。これまでの業界の常識に捉われない新たな仕組み、旅行者・宿泊事業者に寄り添ったサービスの開発・提供を通じて、観光関連業界、地方活性化に貢献していきます。現在は、ToC向け事業“STAYNAVI”、ToB向け事業“STAYNAVI Biz”を中心に事業展開しております。事業全体を通じて、旅行者と宿泊施設が直接繋がる世界を提供するために、事業を拡大しているタイミングとなります！,東京都千代田区丸の内1-8-3丸の内トラストタワー本館20F,2018,,5,30百万円,https://peerto.jp/,,
2024-07-01,株式会社カムラッド,Webマーケティング（広告代理店・コンサルティング・制作）,2,■コンサルティング■WEBサイトの企画・構築・運用・メンテナンス■WEBプロモーション■その他、上記に付随する業務全般,東京都港区芝浦4-12-38 CANAL GATE SHIBAURA 2F,2018,32.0,9,,https://comrade-inc.co.jp/,代表取締役 梅原 一郎,
2024-07-01,株式会社ＴＲｉＣＥＲＡ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,2,「創造力に国境なんてない」というVisionの元、あらゆる可能性を秘めているアーティストが、自国だけではなく世界中で活躍できるように、様々なアートサービスを提供しています。主力プロダクトである、現代アートのグローバルアートマーケットプレイス「TRiCERA ART」は、世界126カ国以上の国のアーティストによる絵画・写真・彫刻を取り扱うオンラインギャラリーで、アジア最大級のアートマーケットプレイスです。▷ https://www.tricera.net/jaアーティストが世界進出するためには、物流の煩雑さや言語などは多くの壁が存在します。,東京都港区西麻布4-2-4TheWall3F,2018,29.0,14,485百万円,https://tricera.co.jp/,,
2024-08-01,株式会社クルイト,Webサービス・Webメディア（EC・ポータル・ソーシャル）,36,当社は、教育サービスを通して、日本の教育／子育て環境を変え、幸せになれる子どもを増やします【事業紹介】（１）キミノスクール事業（https://kimino-school.com/)首都圏で「キミノスクール」というブランドの新型の教育事業を展開しております。（２）子育て支援サービス事業（https://mamanoko.jp/）（３）教育事業者向けITソリューション事業（https://jyukumiru.com/）（４）自立型学習支援 受験予備校事業（https://www.takedajuku-chiba.com/）,東京都品川区西五反田1-25-1KANOビル6F,2018,27.0,46,10百万円,https://clueit.co.jp/,,
2024-07-01,Ｗｅｅｋｌｙ＆Ｍｏｎｔｈｌｙ株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,■事業内容：・マンスリーポータル運営・Webサイト制作・Webシステム制作、運用・自社マンスリー物件運営■特徴：笑顔あふれる暮らしづくりを目指し、社員も生き生き働けるよう、フレックスタイム制の実施や独自の福利厚生を導入しています。■ビジョン：私たちは住まいの選択肢を増やすことにより、豊かな暮らしに貢献し、次世代のスタンダードを創出します。■ミッション：自由な発想で新しい価値をお客様・社会に提案し、新しい住まいのプラットフォームを創ります。■バリュー：新たなことにチャレンジし、情報技術とアイディアをもって課題を解決する力を持ちます。,北海道札幌市北区北六条西1-3-8,2018,35.0,,152百万円,https://weeklyandmonthly.co.jp/,,
2024-05-01,株式会社Ｎａｔｅｅ,Webマーケティング（広告代理店・コンサルティング・制作）,4,当社は、「クリエイターを起点としたマーケティング支援事業」「アバターライブ配信事業」を運営するクリエイターエコノミーカンパニーです。「個」の時代を牽引する企業として、クリエイターにまつわる事業を展開しております。■当社のミッション：当社は、「人類をタレントに！」をミッションとして掲げております。誰もが生まれながらに持った個性があるにも関わらず、社会では、型にはまる生き方がよしとされることが現状です。当社では、一人一人が個性と才能を発揮し、ありのまま生きられる社会を実現したいと考えております。,東京都渋谷区渋谷1-3-15,2018,,35,100百万円,https://natee.jp/company/,,
2024-05-01,Ｍａｔｔｒｚ株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,9,Mattrz株式会社は、ウェブマーケティングツールの開発および販売事業、DX支援事業、メディア事業を行っております。2018年、株式会社CyberKnotと株式会社Free Sparkの持ち株会社として設立しました。今後も2つの事業会社を軸に、ウェブ上での集客からコンバージョンまでの一貫したサービスを提供し、企業向けのDX支援サービスを更に強化していきます。Mattrzグループは「Technology Matters」をスローガンに、未来のTECHNOLOGYを見据え、人々のあらゆる課題を自分事として捉え、解決する企業を目指します。,東京都目黒区東山1-4-4目黒東山ビル8F,2018,29.0,62,100百万円,https://mattrz.co.jp/,,
2024-06-01,株式会社クラウドシード,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,■システム開発■Webサイト制作■Webマーケティング■オリジナルサービス開発■サーバーホスティング■Webコンサルティング【主要取引先】株式会社スノーピークビジネスソリューションズ株式会社長大GMOインターネット株式会社Fireworkベリトランス株式会社、他（順不同）,大阪府大阪市北区堂島2-3-2 堂北ビルディング406,2018,,5,100万円,https://cloudseed.co.jp/,代表取締役 日高 守,
2024-08-01,株式会社Ａｎｔｗａｙ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,23,■企業概要：当社は自社キッチンを設け、プロの調理人や栄養士が手作りした家庭料理提供する、共働き世帯向けフードデリバリー サービス「つくりおき.jp」を提供しています。「あらゆる家庭から義務をなくす」の義務の解消による家庭内の時間を豊かにしたり、自己実現ができる社会を目指し、事業を展開しております。,東京都千代田区神田三崎町3-6-14THE GATE 水道橋6F,,,297,535百万円,https://antway.co.jp/,,
2024-08-01,株式会社LHL,Webサービス・Webメディア（EC・ポータル・ソーシャル）,3,■事業内容：・広告事業…「保険相談ニアエル」の運営・募集代理店事業…「くらべる保険なび」「保険ノリアル」の運営・持株会社としての保険代理店グループ事業（子会社の経営・事業管理）■社風・文化：【ビジョン】「安心で笑顔あふれる未来」にあえる、最高のプラットフォームを創る。私たちは先進的な技術を活用し、挑戦し、成長し続け、人の「つながり」を創造する、社会に「なくてはならない」最高のサービスを提供します。そして、ＬＨＬに関わるすべての人たちが「安心と喜び・笑顔」で満ち溢れている未来を約束します。,東京都新宿区西新宿2-4-1新宿NSビル4F,2018,41.2,56,100百万円,https://www.lhl.co.jp/,,
2024-07-01,株式会社ＫｅｎＴｏ,ゲーム（オンライン・ソーシャル）,6,■事業内容：KenToの初期メンバーはゲームアプリ業界出身者が多く、創業以来、中国to日本への数多くのゲームアプリを支援してきました。また、ゲームアプリのみならず、Made in Chinaのソーシャルアプリや、メーカー、ブランド、EC商材など幅広いコンテンツにおいて、日本進出のためのマーケティングサポートを行っています。,東京都渋谷区渋谷2-21-1渋谷ヒカリエ33F,2018,,9,88百万円,https://www.kentokento.com/,,
2024-08-01,株式会社ＡＣＲＯＶＥ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,10,■企業概要： 自社開発のBIツールACROVEFORCEを用いてブランドのEC売上向上をワンストップで支援するECプラットフォーム事業と、ECブランドのM&Aを通じてメーカー・ブランドの価値の最大化を目指すECロールアップ事業を展開するECプラットフォームカンパニーです。,東京都千代田区麹町6-6-2,2018,25.0,75,100百万円,https://acrove.co.jp/,,
