更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社Ｄｉｃｏ,理容・美容・エステ,求人なし,,福岡県福岡市中央区天神2-4-11パシフィーク天神 7Ｆ,2011,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 杉山 直樹
2024-08-01,株式会社アユザック,理容・美容・エステ,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ホワイトニングカフェ直営店の運営フランチャイズ店の展開・運営および技術指導ホワイトニングシステム・用品の販売 2023年8月doda掲載求人より引用,兵庫県神戸市中央区旭通5-3-4アクティブ88－7Ｆ,2012,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐藤 和也
2024-08-01,タチバナメディック株式会社,理容・美容・エステ,求人なし,,愛知県海部郡大治町大字砂子字大宮崎2657-5,2012,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 兼子 誠吉
2024-08-01,株式会社プライマルビューティージャパン,理容・美容・エステ,求人なし,,長野県佐久市佐久平駅南7-52001ビル Ｆ号,2011,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 上嶋 信彦
2024-08-01,株式会社ＴＲＣ,理容・美容・エステ,求人なし,,東京都豊島区南池袋2-29-16ルボワ平喜 302,2012,,,,2 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松田 早恵子
2024-08-01,株式会社トータルヘルスケア,理容・美容・エステ,無,,東京都練馬区石神井町4-1-12クレスト石神井公園 401,2011,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 檜野 貴一
2024-08-01,株式会社グローバルシステム,理容・美容・エステ,求人なし,,群馬県高崎市筑縄町48-10,2005,,,,13 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 堀込 優一
2024-08-01,株式会社ヒーリングスパ,理容・美容・エステ,求人なし,,東京都港区南麻布4-5-48,2006,,,,13 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙橋 尚子
2024-08-01,株式会社インプレスマネージ,理容・美容・エステ,求人なし,,東京都渋谷区恵比寿西2-3-13,2012,,,,7 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松本 保奈美（岩瀨保奈美
2024-08-01,株式会社バトリョ,理容・美容・エステ,求人なし,,愛知県名古屋市東区東桜1-9-19成田栄ビル 2Ｆ,2012,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 日比野 聡
